,Player,Season,Age,Position,Team,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Competition
0,Asmir Begovic,2022-23,37,GK,Everton,1,1,90,0,0,1,7.82,ENG Premier League
1,Kevin De Bruyne,2022-23,33,"M(CLR),FW",Man City,32,28,2425,7,16,9,7.58,ENG Premier League
2,Stefan Ortega,2022-23,31,GK,Man City,3,3,270,0,0,1,7.56,ENG Premier League
3,Erling Haaland,2022-23,24,FW,Man City,35,33,2779,36,8,6,7.54,ENG Premier League
4,Harry Kane,2022-23,31,"AM(C),FW",Tottenham,38,38,3408,30,3,8,7.51,ENG Premier League
5,Bruno Fernandes,2022-23,29,M(CLR),Man Utd,37,37,3320,8,8,6,7.44,ENG Premier League
6,Gabriel Jesus,2022-23,27,"AM(LR),FW",Arsenal,26,24,2075,11,6,4,7.42,ENG Premier League
7,Kieran Trippier,2022-23,33,"D(LR),M(R)",Newcastle,38,38,3348,1,7,8,7.41,ENG Premier League
8,Bukayo Saka,2022-23,23,"D(L),M(CLR)",Arsenal,38,37,3195,14,11,4,7.40,ENG Premier League
9,Solly March,2022-23,30,M(CLR),Brighton,33,31,2728,7,7,6,7.38,ENG Premier League
0,Jack Grealish,2022-23,28,"AM(CL),FW",Man City,28,23,2064,5,7,3,7.33,ENG Premier League
1,Martin Ødegaard,2022-23,25,AM(CR),Arsenal,37,37,3149,15,7,7,7.29,ENG Premier League
2,Rodri,2022-23,28,"D(C),DMC",Man City,36,34,2921,2,6,3,7.26,ENG Premier League
3,Gabriel Martinelli,2022-23,23,"AM(L),FW",Arsenal,36,34,2806,15,5,4,7.25,ENG Premier League
4,Ivan Toney,2022-23,28,FW,Brentford,33,33,2955,20,4,5,7.25,ENG Premier League
5,Joelinton,2022-23,28,"AM(CLR),FW",Newcastle,32,30,2664,6,1,3,7.24,ENG Premier League
6,James Maddison,2022-23,27,AM(CLR),Leicester,30,28,2486,10,9,3,7.24,ENG Premier League
7,Rodrigo Bentancur,2022-23,27,M(C),Tottenham,18,17,1506,5,2,1,7.22,ENG Premier League
8,Bruno Guimarães,2022-23,26,DMC,Newcastle,32,32,2735,4,5,1,7.21,ENG Premier League
9,Casemiro,2022-23,32,DMC,Man Utd,28,24,2126,4,3,5,7.17,ENG Premier League
0,Mohamed Salah,2022-23,32,"AM(CLR),FW",Liverpool,38,37,3297,19,12,3,7.16,ENG Premier League
1,Phil Foden,2022-23,24,"AM(CLR),FW",Man City,32,22,1844,11,5,3,7.13,ENG Premier League
2,Ilkay Gündogan,2022-23,33,M(C),Man City,31,27,2359,8,4,2,7.11,ENG Premier League
3,Trent Alexander-Arnold,2022-23,25,"D(R),DMC,M(R)",Liverpool,37,34,2932,2,9,2,7.11,ENG Premier League
4,Ethan Pinnock,2022-23,31,D(C),Brentford,30,30,2700,3,0,2,7.11,ENG Premier League
5,Aleksandar Mitrovic,2022-23,29,FW,Fulham,24,23,2015,14,1,4,7.08,ENG Premier League
6,Marcus Rashford,2022-23,26,"AM(CLR),FW",Man Utd,35,32,2890,17,5,6,7.08,ENG Premier League
7,Reece James,2022-23,24,"D(CR),DMC,M(R)",Chelsea,16,14,1244,1,1,0,7.07,ENG Premier League
8,Thomas Partey,2022-23,31,"D(R),M(CR)",Arsenal,33,28,2487,3,0,1,7.06,ENG Premier League
9,Felipe,2022-23,35,D(C),Nottingham Forest,16,15,1419,0,1,0,7.06,ENG Premier League
0,Cody Gakpo,2022-23,25,"AM(CL),FW",Liverpool,21,17,1465,7,2,0,7.06,ENG Premier League
1,Alexander Isak,2022-23,24,"AM(L),FW",Newcastle,22,17,1527,10,1,1,7.06,ENG Premier League
