,Player,Season,Age,Position,Team,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Competition
0,Antoine Griezmann,2022-23,33,"AM(CLR),FW",Atletico,38,31,2863,15,16,13,7.69,ESP La Liga
1,Karim Benzema,2022-23,36,FW,Real Madrid,24,24,2044,19,3,6,7.53,ESP La Liga
2,Robert Lewandowski,2022-23,36,FW,Barcelona,34,33,2852,23,7,7,7.49,ESP La Liga
3,Leo Román,2022-23,24,GK,Mallorca,1,1,90,0,0,0,7.38,ESP La Liga
4,Vinícius Júnior,2022-23,24,"AM(L),FW",Real Madrid,33,32,2833,10,9,4,7.35,ESP La Liga
5,Rodrygo,2022-23,23,"AM(CLR),FW",Real Madrid,34,25,2382,9,8,4,7.26,ESP La Liga
6,Memphis Depay,2022-23,30,"AM(CL),FW",Barcelona,2,2,116,1,0,0,7.23,ESP La Liga
7,Pedri,2022-23,21,AM(CL),Barcelona,26,22,1983,6,1,4,7.20,ESP La Liga
8,Joselu,2022-23,34,FW,Espanyol,34,33,2989,16,2,5,7.15,ESP La Liga
9,Frenkie de Jong,2022-23,27,"D(C),DMC",Barcelona,33,29,2539,2,4,4,7.15,ESP La Liga
0,Gerónimo Rulli,2022-23,32,GK,Villarreal,14,14,1260,0,0,2,7.14,ESP La Liga
1,Ousmane Dembélé,2022-23,27,"AM(CLR),FW",Barcelona,25,16,1416,5,7,3,7.14,ESP La Liga
2,Mikel Merino,2022-23,28,M(C),Real Sociedad,33,28,2500,2,9,7,7.13,ESP La Liga
3,Gonzalo Escalante,2022-23,31,DMC,Cadiz,14,13,1126,4,1,2,7.10,ESP La Liga
4,Lee Kang-In,2022-23,23,"AM(CLR),FW",Mallorca,36,33,2841,6,6,6,7.09,ESP La Liga
5,Federico Valverde,2022-23,26,M(CLR),Real Madrid,34,29,2509,7,4,4,7.08,ESP La Liga
6,Sergi Darder,2022-23,30,M(CL),Espanyol,38,38,3325,6,3,5,7.08,ESP La Liga
7,Enes Ünal,2022-23,27,FW,Getafe,35,35,2986,14,3,5,7.07,ESP La Liga
8,Juan Foyth,2022-23,26,"D(CR),DMC",Villarreal,24,22,1960,1,0,1,7.06,ESP La Liga
9,Isi Palazón,2022-23,29,AM(R),Rayo Vallecano,37,36,2990,9,5,3,7.05,ESP La Liga
0,Raphinha,2022-23,27,"AM(LR),FW",Barcelona,36,25,2087,7,7,6,7.04,ESP La Liga
1,Toni Kroos,2022-23,34,M(C),Real Madrid,30,25,2164,2,4,1,7.04,ESP La Liga
2,Aleix García,2022-23,27,DMC,Girona,30,26,2341,1,5,2,7.04,ESP La Liga
3,Aurélien Tchouaméni,2022-23,24,DMC,Real Madrid,33,24,2120,0,4,2,7.04,ESP La Liga
4,David Gil,2022-23,30,GK,Cadiz,4,4,360,0,0,0,7.04,ESP La Liga
5,Jeremías Ledesma,2022-23,31,GK,Cadiz,34,34,3060,0,0,5,7.03,ESP La Liga
6,Éder Militão,2022-23,26,D(CR),Real Madrid,33,30,2703,5,0,2,7.03,ESP La Liga
7,Vedat Muriqi,2022-23,30,FW,Mallorca,35,34,2953,15,3,4,7.01,ESP La Liga
8,Sergio Busquets,2022-23,36,DMC,Barcelona,30,28,2347,0,4,0,6.99,ESP La Liga
9,Takefusa Kubo,2022-23,23,"AM(CLR),FW",Real Sociedad,35,29,2452,9,4,4,6.98,ESP La Liga
0,Guido Rodríguez,2022-23,30,DMC,Real Betis,34,33,2878,1,0,3,6.98,ESP La Liga
1,José Gayà,2022-23,29,"D(L),M(L)",Valencia,31,31,2716,1,3,3,6.98,ESP La Liga
2,Javi Galán,2022-23,29,"D(L),M(L)",Celta Vigo,37,36,3163,0,3,5,6.98,ESP La Liga
3,Jules Koundé,2022-23,25,D(CR),Barcelona,29,28,2429,1,3,1,6.97,ESP La Liga
4,José Giménez,2022-23,29,D(CR),Atletico,28,26,2421,2,1,2,6.96,ESP La Liga
5,Dani Parejo,2022-23,35,M(C),Villarreal,37,37,3289,3,4,2,6.96,ESP La Liga
6,Marco Asensio,2022-23,28,"AM(CLR),FW",Real Madrid,31,15,1436,9,6,3,6.94,ESP La Liga
7,Thibaut Courtois,2022-23,32,GK,Real Madrid,31,31,2790,0,0,2,6.94,ESP La Liga
8,Gerard Moreno,2022-23,32,"AM(CR),FW",Villarreal,21,14,1227,7,3,1,6.94,ESP La Liga
9,Brais Méndez,2022-23,27,"AM(CR),FW",Real Sociedad,34,28,2418,8,4,2,6.93,ESP La Liga
0,Loïc Badé,2022-23,24,D(C),Sevilla,19,16,1448,1,0,3,6.92,ESP La Liga
1,Iago Aspas,2022-23,37,"AM(CR),FW",Celta Vigo,37,31,2868,12,3,2,6.91,ESP La Liga
2,Viktor Tsygankov,2022-23,26,AM(CLR),Girona,19,17,1494,3,6,1,6.91,ESP La Liga
3,Ronald Araújo,2022-23,25,D(CR),Barcelona,22,21,1802,0,2,0,6.91,ESP La Liga
4,Yeremy Pino,2022-23,21,AM(LR),Villarreal,36,31,2465,4,5,2,6.91,ESP La Liga
5,Lucas Robertone,2022-23,27,M(C),Almeria,37,34,2860,2,7,2,6.91,ESP La Liga
6,Reinildo,2022-23,30,"D(CL),M(L)",Atletico,22,22,1860,0,0,1,6.91,ESP La Liga
7,Félix Garreta,2022-23,20,D(CLR),Real Betis,1,1,90,0,0,0,6.90,ESP La Liga
8,Alejandro Balde,2022-23,20,D(LR),Barcelona,33,30,2477,1,6,1,6.90,ESP La Liga
9,Nico Williams,2022-23,22,AM(LR),Athletic Bilbao,36,32,2675,6,4,3,6.89,ESP La Liga
0,Samuel Chukwueze,2022-23,25,AM(CR),Villarreal,37,27,2350,6,5,3,6.89,ESP La Liga
1,Claudio Bravo,2022-23,41,GK,Real Betis,12,12,1080,0,0,1,6.88,ESP La Liga
2,Antonio Raíllo,2022-23,32,D(C),Mallorca,31,31,2767,2,3,1,6.88,ESP La Liga
3,Nicolas Jackson,2022-23,23,FW,Villarreal,26,16,1603,12,4,4,6.87,ESP La Liga
4,Ayoze Pérez,2022-23,31,"AM(CLR),FW",Real Betis,19,17,1395,3,1,1,6.87,ESP La Liga
5,Marc-André ter Stegen,2022-23,32,GK,Barcelona,38,38,3349,0,0,0,6.86,ESP La Liga
6,Yannick Carrasco,2022-23,31,"D(L),M(CLR),FW",Atletico,35,26,2330,7,3,0,6.85,ESP La Liga
7,Umar Sadiq,2022-23,27,FW,Almeria,3,3,242,2,0,0,6.85,ESP La Liga
8,Alexander Sørloth,2022-23,28,"AM(R),FW",Real Sociedad,34,28,2398,12,3,3,6.85,ESP La Liga
9,David Silva,2022-23,38,"M(CLR),FW",Real Sociedad,28,25,1958,2,5,2,6.85,ESP La Liga
0,Álvaro Morata,2022-23,31,"AM(L),FW",Atletico,36,23,1906,13,2,2,6.85,ESP La Liga
1,Gerard Piqué,2022-23,37,D(C),Barcelona,7,5,383,0,0,0,6.85,ESP La Liga
2,Aitor Fernández,2022-23,33,GK,Osasuna,21,21,1890,0,0,2,6.85,ESP La Liga
