,Player,Season,Age,Position,Team,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Competition
0,Lionel Messi,2023-24,36,"AM(CR),FW",Argentina,7,7,692,7,3,2,8.25,FIFA World Cup
1,Bruno Fernandes,2023-24,28,M(CLR),Portugal,4,4,357,2,3,2,8.15,FIFA World Cup
2,Kylian Mbappé,2023-24,24,"AM(LR),FW",France,7,6,598,8,2,3,8.00,FIFA World Cup
3,Wojciech Szczesny,2023-24,33,GK,Poland,4,4,360,0,0,1,7.88,FIFA World Cup
4,Juan Vargas,2023-24,28,D(CLR),Costa Rica,1,1,90,1,0,0,7.72,FIFA World Cup
5,Jean-Charles Castelletto,2023-24,28,D(C),Cameroon,2,2,180,1,1,0,7.71,FIFA World Cup
6,Bukayo Saka,2023-24,22,"D(L),M(CLR)",England,4,4,293,3,0,1,7.68,FIFA World Cup
7,Jamal Musiala,2023-24,20,M(CL),Germany,3,3,259,0,1,1,7.64,FIFA World Cup
8,Jude Bellingham,2023-24,20,M(CLR),England,5,5,415,1,1,1,7.58,FIFA World Cup
9,Cody Gakpo,2023-24,24,"AM(CL),FW",Netherlands,5,5,456,3,0,1,7.53,FIFA World Cup
0,Casemiro,2023-24,31,DMC,Brazil,4,4,391,1,0,0,7.53,FIFA World Cup
1,Mohammed Kudus,2023-24,23,"M(CR),FW",Ghana,3,3,250,2,0,0,7.53,FIFA World Cup
2,Antoine Griezmann,2023-24,32,"AM(CLR),FW",France,7,6,538,0,3,2,7.52,FIFA World Cup
3,Paik Seung-Ho,2023-24,26,M(CL),South Korea,1,0,25,1,0,0,7.50,FIFA World Cup
4,Eduardo Camavinga,2023-24,20,"D(L),DMC",France,2,1,140,0,0,1,7.49,FIFA World Cup
5,Neymar,2023-24,31,"AM(CLR),FW",Brazil,3,3,282,2,1,1,7.45,FIFA World Cup
6,Richarlison,2023-24,26,"AM(CLR),FW",Brazil,4,4,326,3,0,2,7.41,FIFA World Cup
7,Nader Ghandri,2023-24,28,M(CLR),Tunisia,1,1,90,0,0,0,7.40,FIFA World Cup
8,Devis Epassy,2023-24,30,GK,Cameroon,2,2,180,0,0,1,7.39,FIFA World Cup
9,Rodri,2023-24,27,"D(C),DMC",Spain,4,4,391,0,0,1,7.37,FIFA World Cup
0,Giorgian de Arrascaeta,2023-24,29,"AM(CLR),FW",Uruguay,2,1,108,2,0,1,7.37,FIFA World Cup
1,Harry Maguire,2023-24,30,D(C),England,5,5,430,0,1,1,7.35,FIFA World Cup
2,Harry Kane,2023-24,30,"AM(C),FW",England,5,5,404,2,3,0,7.34,FIFA World Cup
3,César Azpilicueta,2023-24,34,"D(CLR),M(R)",Spain,2,2,136,0,1,0,7.32,FIFA World Cup
4,Mehdi Taremi,2023-24,31,"AM(L),FW",Iran,3,3,270,2,1,1,7.31,FIFA World Cup
5,Edson Álvarez,2023-24,25,"D(C),DMC",Mexico,2,2,176,0,0,0,7.31,FIFA World Cup
6,Serge Gnabry,2023-24,28,"AM(CLR),FW",Germany,3,3,265,1,1,0,7.31,FIFA World Cup
7,Enner Valencia,2023-24,33,"AM(LR),FW",Ecuador,3,3,257,3,0,1,7.30,FIFA World Cup
8,Diogo Dalot,2023-24,24,"D(LR),M(R)",Portugal,3,3,259,0,1,0,7.27,FIFA World Cup
9,Mohammed Al Owais,2023-24,31,GK,Saudi Arabia,3,3,270,0,0,1,7.27,FIFA World Cup
0,Frenkie de Jong,2023-24,26,"D(C),DMC",Netherlands,5,5,477,1,1,2,7.27,FIFA World Cup
1,Enzo Ebosse,2023-24,24,D(C),Cameroon,1,1,90,0,0,0,7.26,FIFA World Cup
2,Jordi Alba,2023-24,34,"D(L),M(L)",Spain,4,3,266,0,2,1,7.26,FIFA World Cup
3,Munir Mohamedi,2023-24,34,GK,Morocco,1,1,90,0,0,0,7.26,FIFA World Cup
4,Rodrigo Bentancur,2023-24,26,M(C),Uruguay,3,3,214,0,0,0,7.24,FIFA World Cup
5,Ramin Rezaeian,2023-24,33,D(R),Iran,2,2,180,1,0,0,7.23,FIFA World Cup
6,Théo Hernández,2023-24,25,"D(L),M(L)",France,6,5,508,1,2,1,7.22,FIFA World Cup
7,Simon Kjær,2023-24,34,D(C),Denmark,1,1,65,0,0,0,7.22,FIFA World Cup
8,Olivier Giroud,2023-24,36,FW,France,6,6,424,4,0,0,7.21,FIFA World Cup
9,Vinícius Júnior,2023-24,23,"AM(L),FW",Brazil,4,4,302,1,2,0,7.20,FIFA World Cup
0,Daley Blind,2023-24,33,"D(CL),DMC,M(L)",Netherlands,5,5,424,1,1,1,7.19,FIFA World Cup
1,David Raum,2023-24,25,"D(L),M(LR)",Germany,3,3,244,0,1,0,7.19,FIFA World Cup
2,Adrien Rabiot,2023-24,28,"DMC,M(L)",France,6,5,483,1,1,0,7.18,FIFA World Cup
3,Kai Havertz,2023-24,24,"M(CR),FW",Germany,2,1,103,2,0,0,7.18,FIFA World Cup
4,Randal Kolo Muani,2023-24,24,"AM(R),FW",France,3,1,181,1,0,0,7.17,FIFA World Cup
5,Ritsu Doan,2023-24,25,"AM(CLR),FW",Japan,4,2,218,2,0,1,7.17,FIFA World Cup
6,Robert Lewandowski,2023-24,35,FW,Poland,4,4,360,2,1,1,7.16,FIFA World Cup
7,Joshua Kimmich,2023-24,28,"D(CR),DMC,M(R)",Germany,3,3,270,0,0,0,7.15,FIFA World Cup
8,Phil Foden,2023-24,23,"AM(CLR),FW",England,4,3,259,1,2,0,7.15,FIFA World Cup
9,Alex Sandro,2023-24,32,"D(CL),M(L)",Brazil,3,2,192,0,0,1,7.14,FIFA World Cup
0,Dani Olmo,2023-24,25,"AM(CLR),FW",Spain,4,4,368,1,1,1,7.14,FIFA World Cup
1,Yasir Al Shahrani,2023-24,31,D(CLR),Saudi Arabia,1,1,90,0,0,0,7.13,FIFA World Cup
2,Lucas Paquetá,2023-24,26,"M(CLR),FW",Brazil,4,4,317,1,1,0,7.13,FIFA World Cup
3,Andreas Christensen,2023-24,27,"D(C),DMC",Denmark,3,3,270,1,0,0,7.12,FIFA World Cup
4,Ángel Di María,2023-24,35,"M(CLR),FW",Argentina,5,4,291,1,1,0,7.12,FIFA World Cup
5,Thibaut Courtois,2023-24,31,GK,Belgium,3,3,270,0,0,2,7.11,FIFA World Cup
6,Alexis Mac Allister,2023-24,24,"M(CL),FW",Argentina,6,6,556,1,1,0,7.11,FIFA World Cup
7,Luis Chávez,2023-24,27,M(CLR),Mexico,3,3,270,1,0,1,7.10,FIFA World Cup
8,João Félix,2023-24,23,"AM(CL),FW",Portugal,4,4,333,1,2,0,7.10,FIFA World Cup
9,Leroy Sané,2023-24,27,"M(CLR),FW",Germany,2,1,110,0,1,0,7.10,FIFA World Cup
0,Cheikhou Kouyaté,2023-24,33,"D(CR),DMC",Senegal,1,1,73,0,0,0,7.09,FIFA World Cup
1,Ivan Perisic,2023-24,34,"M(CLR),FW",Croatia,7,7,673,1,3,1,7.08,FIFA World Cup
2,Henry Martín,2023-24,30,FW,Mexico,2,2,148,1,0,0,7.08,FIFA World Cup
3,Christian Pulisic,2023-24,24,"M(CLR),FW",USA,4,4,316,1,2,1,7.07,FIFA World Cup
4,Thiago Silva,2023-24,38,D(C),Brazil,4,4,391,0,1,0,7.07,FIFA World Cup
5,Eric Choupo-Moting,2023-24,34,"M(CLR),FW",Cameroon,3,3,254,1,0,0,7.07,FIFA World Cup
6,Enzo Fernández,2023-24,22,M(C),Argentina,7,5,565,1,1,0,7.06,FIFA World Cup
7,Silvan Widmer,2023-24,30,"D(CR),M(R)",Switzerland,3,3,266,0,1,0,7.04,FIFA World Cup
8,Achraf Hakimi,2023-24,24,"D(LR),M(R)",Morocco,7,7,634,0,1,0,7.04,FIFA World Cup
9,Mathías Olivera,2023-24,25,"D(L),M(L)",Uruguay,3,3,255,0,0,0,7.03,FIFA World Cup
0,Álvaro Morata,2023-24,30,"AM(L),FW",Spain,4,1,184,3,1,0,7.03,FIFA World Cup
1,Ismaïla Sarr,2023-24,25,"AM(CLR),FW",Senegal,4,4,344,1,0,0,7.02,FIFA World Cup
2,Pedri,2023-24,20,AM(CL),Spain,4,4,358,0,0,0,7.01,FIFA World Cup
3,Mateo Kovacic,2023-24,29,M(CL),Croatia,7,7,640,0,0,0,7.00,FIFA World Cup
4,Leander Dendoncker,2023-24,28,"D(C),M(C)",Belgium,2,2,162,0,0,0,7.00,FIFA World Cup
5,Andrija Zivkovic,2023-24,27,M(CLR),Serbia,3,3,213,0,2,0,6.99,FIFA World Cup
6,Aymeric Laporte,2023-24,29,D(CL),Spain,3,3,301,0,0,0,6.99,FIFA World Cup
7,Cho Gue-Sung,2023-24,25,FW,South Korea,4,3,276,2,0,1,6.99,FIFA World Cup
8,Jurriën Timber,2023-24,22,D(CR),Netherlands,4,4,391,0,0,0,6.99,FIFA World Cup
9,Hirving Lozano,2023-24,28,"AM(LR),FW",Mexico,3,3,253,0,0,0,6.99,FIFA World Cup
0,Dominik Livakovic,2023-24,28,GK,Croatia,7,7,692,0,0,1,6.99,FIFA World Cup
1,Gonçalo Ramos,2023-24,22,"AM(C),FW",Portugal,4,2,153,3,1,1,6.98,FIFA World Cup
2,Gavi,2023-24,19,AM(CL),Spain,4,4,287,1,0,0,6.98,FIFA World Cup
3,Federico Valverde,2023-24,25,M(CLR),Uruguay,3,3,270,0,0,0,6.98,FIFA World Cup
4,Ibrahima Konaté,2023-24,24,D(C),France,5,3,294,0,0,0,6.98,FIFA World Cup
5,Luka Modric,2023-24,37,M(C),Croatia,7,7,657,0,0,0,6.97,FIFA World Cup
6,Julián Álvarez,2023-24,23,"AM(CR),FW",Argentina,7,5,467,4,0,1,6.97,FIFA World Cup
7,Ilkay Gündogan,2023-24,32,M(C),Germany,3,3,192,1,0,1,6.96,FIFA World Cup
8,Raphaël Guerreiro,2023-24,29,"D(L),M(CL)",Portugal,4,3,279,1,2,0,6.96,FIFA World Cup
9,Pepe,2023-24,40,D(C),Portugal,4,4,360,1,0,0,6.96,FIFA World Cup
0,Jan Vertonghen,2023-24,36,D(CL),Belgium,3,3,270,0,0,0,6.96,FIFA World Cup
1,Dejan Lovren,2023-24,34,D(C),Croatia,6,6,602,0,1,1,6.95,FIFA World Cup
2,Borna Barisic,2023-24,30,D(L),Croatia,1,1,121,0,0,0,6.95,FIFA World Cup
3,Aleksandar Mitrovic,2023-24,28,FW,Serbia,3,3,263,2,0,0,6.95,FIFA World Cup
4,Harry Souttar,2023-24,24,D(C),Australia,4,4,360,0,0,1,6.94,FIFA World Cup
5,Marcus Rashford,2023-24,25,"AM(CLR),FW",England,5,1,137,3,0,1,6.94,FIFA World Cup
6,Josko Gvardiol,2023-24,21,D(CL),Croatia,7,7,692,1,0,0,6.94,FIFA World Cup
7,Otávio,2023-24,28,"AM(CLR),FW",Portugal,3,3,199,0,0,0,6.93,FIFA World Cup
8,Kalidou Koulibaly,2023-24,32,D(C),Senegal,4,4,360,1,0,1,6.93,FIFA World Cup
9,Cameron Carter-Vickers,2023-24,25,D(C),USA,1,1,90,0,0,0,6.93,FIFA World Cup
0,Luke Shaw,2023-24,28,"D(CL),M(L)",England,5,5,425,0,1,0,6.93,FIFA World Cup
1,Aurélien Tchouaméni,2023-24,23,DMC,France,7,7,624,1,0,0,6.93,FIFA World Cup
2,Ellyes Skhiri,2023-24,28,DMC,Tunisia,3,3,270,0,0,0,6.92,FIFA World Cup
3,Nuno Mendes,2023-24,21,"D(L),M(L)",Portugal,1,1,42,0,0,0,6.92,FIFA World Cup
4,João Cancelo,2023-24,29,"D(LR),M(R)",Portugal,4,3,309,0,0,0,6.92,FIFA World Cup
5,Dusan Tadic,2023-24,34,"AM(CLR),FW",Serbia,3,3,258,0,2,0,6.92,FIFA World Cup
6,Kieran Trippier,2023-24,32,"D(LR),M(R)",England,3,2,205,0,0,0,6.92,FIFA World Cup
7,Diego Godín,2023-24,37,D(C),Uruguay,2,2,152,0,0,1,6.91,FIFA World Cup
8,Pervis Estupiñán,2023-24,25,D(L),Ecuador,3,3,270,0,0,0,6.91,FIFA World Cup
9,Declan Rice,2023-24,24,"D(C),DMC",England,5,5,418,0,0,0,6.90,FIFA World Cup
0,Montassar Talbi,2023-24,25,D(C),Tunisia,3,3,270,0,0,0,6.90,FIFA World Cup
1,Mohamed Ben Romdhane,2023-24,24,M(CLR),Tunisia,1,1,74,0,0,0,6.90,FIFA World Cup
2,Famara Diédhiou,2023-24,30,FW,Senegal,2,1,92,1,0,1,6.90,FIFA World Cup
