,Player,Season,Age,Position,Team,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Competition
0,Tjark Ernst,2022-23,21,GK,Hertha Berlin,1,1,90,0,0,0,7.70,GER Bundesliga
1,Jude Bellingham,2022-23,21,M(CLR),Borussia Dortmund,31,30,2693,8,4,6,7.58,GER Bundesliga
2,Joshua Kimmich,2022-23,29,"D(CR),DMC,M(R)",Bayern,33,32,2815,5,6,4,7.47,GER Bundesliga
3,Niclas Füllkrug,2022-23,31,FW,Werder Bremen,28,28,2479,16,5,5,7.38,GER Bundesliga
4,Christopher Nkunku,2022-23,26,"M(CLR),FW",RBL,25,20,1899,16,4,8,7.35,GER Bundesliga
5,Jamal Musiala,2022-23,21,M(CL),Bayern,33,26,2212,12,10,4,7.34,GER Bundesliga
6,Dominik Szoboszlai,2022-23,23,AM(CLR),RBL,31,28,2453,6,8,4,7.32,GER Bundesliga
7,Randal Kolo Muani,2022-23,25,"AM(R),FW",Eintracht Frankfurt,32,31,2648,15,11,10,7.29,GER Bundesliga
8,Julian Brandt,2022-23,28,"M(CLR),FW",Borussia Dortmund,32,29,2412,9,8,3,7.28,GER Bundesliga
9,Raphaël Guerreiro,2022-23,30,"D(L),M(CL)",Borussia Dortmund,27,26,2296,4,12,3,7.27,GER Bundesliga
0,Vincenzo Grifo,2022-23,31,AM(CL),Freiburg,33,30,2427,15,5,5,7.26,GER Bundesliga
1,Jonas Hofmann,2022-23,32,"D(R),M(CLR)",Borussia M.Gladbach,31,30,2693,12,9,7,7.25,GER Bundesliga
2,Sébastien Haller,2022-23,30,FW,Borussia Dortmund,19,15,1232,9,3,1,7.21,GER Bundesliga
3,Donyell Malen,2022-23,25,"AM(LR),FW",Borussia Dortmund,26,22,1724,9,5,3,7.20,GER Bundesliga
4,Julien Duranville,2022-23,18,FW,Borussia Dortmund,1,0,28,0,0,0,7.20,GER Bundesliga
5,Kingsley Coman,2022-23,28,"M(LR),FW",Bayern,24,16,1421,8,5,4,7.20,GER Bundesliga
6,João Cancelo,2022-23,30,"D(LR),M(R)",Bayern,15,11,1015,1,4,0,7.20,GER Bundesliga
7,Eric Choupo-Moting,2022-23,35,"M(CLR),FW",Bayern,19,14,1117,10,2,3,7.19,GER Bundesliga
8,Benjamin Pavard,2022-23,28,"D(CLR),M(R)",Bayern,30,27,2432,4,1,2,7.17,GER Bundesliga
9,Alphonso Davies,2022-23,23,"D(L),M(LR)",Bayern,26,24,2049,1,4,2,7.14,GER Bundesliga
0,Florian Wirtz,2022-23,21,"AM(CL),FW",Leverkusen,17,11,1092,1,6,3,7.14,GER Bundesliga
1,Yann Sommer,2022-23,35,GK,Borussia M.Gladbach,10,10,900,0,0,2,7.13,GER Bundesliga
2,Thomas Müller,2022-23,34,"M(CLR),FW",Bayern,27,21,1672,7,8,1,7.12,GER Bundesliga
3,Jeff Chabot,2022-23,26,D(C),FC Koln,21,21,1806,0,2,2,7.12,GER Bundesliga
4,Jeremie Frimpong,2022-23,23,"D(R),M(R)",Leverkusen,34,32,2723,8,7,4,7.12,GER Bundesliga
5,Michael Gregoritsch,2022-23,30,"AM(CR),FW",Freiburg,30,27,2173,10,4,5,7.11,GER Bundesliga
6,Serge Gnabry,2022-23,29,"AM(CLR),FW",Bayern,34,22,1943,14,5,4,7.10,GER Bundesliga
7,Marcus Thuram,2022-23,27,"AM(L),FW",Borussia M.Gladbach,30,28,2519,13,6,4,7.09,GER Bundesliga
8,Leroy Sané,2022-23,28,"M(CLR),FW",Bayern,32,20,2012,8,7,1,7.09,GER Bundesliga
9,Nico Schlotterbeck,2022-23,24,D(C),Borussia Dortmund,28,27,2255,4,5,0,7.09,GER Bundesliga
0,Frederik Winther,2022-23,23,D(CLR),Augsburg,1,1,90,0,1,0,7.08,GER Bundesliga
1,Florian Kainz,2022-23,31,AM(CLR),FC Koln,32,31,2372,6,10,3,7.06,GER Bundesliga
2,Moussa Diaby,2022-23,25,"M(CLR),FW",Leverkusen,33,33,2716,9,8,3,7.06,GER Bundesliga
3,Willi Orbán,2022-23,31,D(C),RBL,33,33,2951,4,0,0,7.04,GER Bundesliga
4,Ellyes Skhiri,2022-23,29,DMC,FC Koln,32,32,2857,7,1,2,7.04,GER Bundesliga
5,Maximilian Arnold,2022-23,30,M(CR),Wolfsburg,32,32,2775,5,3,2,7.02,GER Bundesliga
6,Frederik Rønnow,2022-23,32,GK,Union Berlin,29,29,2610,0,0,3,7.01,GER Bundesliga
7,Borna Sosa,2022-23,26,"D(L),M(L)",Stuttgart,25,22,1961,2,7,2,7.01,GER Bundesliga
8,Philipp Hofmann,2022-23,31,FW,Bochum,34,31,2643,8,2,3,7.00,GER Bundesliga
9,Konstantinos Mavropanos,2022-23,26,D(CR),Stuttgart,28,26,2288,2,1,2,7.00,GER Bundesliga
0,Paulo Otávio,2022-23,29,"D(L),M(L)",Wolfsburg,25,25,2051,0,5,1,7.00,GER Bundesliga
1,Marvin Ducksch,2022-23,30,"AM(C),FW",Werder Bremen,34,34,2867,12,6,2,7.00,GER Bundesliga
2,Patrick Wimmer,2022-23,23,"AM(LR),FW",Wolfsburg,26,23,1665,4,8,0,6.99,GER Bundesliga
3,Jonas Hector,2022-23,34,"D(L),M(CL)",FC Koln,32,32,2826,0,2,1,6.99,GER Bundesliga
4,Danilho Doekhi,2022-23,26,D(C),Union Berlin,25,25,2218,5,1,4,6.99,GER Bundesliga
5,Mats Hummels,2022-23,35,D(C),Borussia Dortmund,30,24,2022,1,0,0,6.98,GER Bundesliga
6,Wataru Endo,2022-23,31,DMC,Stuttgart,33,33,2925,5,4,1,6.97,GER Bundesliga
7,Ørjan Nyland,2022-23,33,GK,RBL,2,2,180,0,1,0,6.97,GER Bundesliga
8,Ludovic Ajorque,2022-23,30,FW,Mainz,17,15,1220,6,1,2,6.97,GER Bundesliga
9,Ramy Bensebaïni,2022-23,29,"D(CL),DMC,M(L)",Borussia M.Gladbach,28,28,2487,6,1,1,6.96,GER Bundesliga
0,Matthias Ginter,2022-23,30,"D(CR),DMC",Freiburg,34,34,3060,4,1,1,6.95,GER Bundesliga
1,Ralf Fährmann,2022-23,35,GK,Schalke,12,12,1026,0,0,0,6.94,GER Bundesliga
2,Diant Ramaj,2022-23,22,GK,Eintracht Frankfurt,1,1,90,0,0,0,6.94,GER Bundesliga
