,Player,Season,Age,Position,Team,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Competition
0,Salvatore Sirigu,2022-23,37,GK,Fiorentina,1,1,90,0,0,0,7.63,ITA Serie A
1,Victor Osimhen,2022-23,25,FW,Napoli,32,30,2583,26,4,5,7.45,ITA Serie A
2,Khvicha Kvaratskhelia,2022-23,23,AM(CLR),Napoli,34,30,2541,12,10,7,7.43,ITA Serie A
3,Francesco Bardi,2022-23,32,GK,Bologna,1,1,90,0,0,0,7.36,ITA Serie A
4,Sergej Milinkovic-Savic,2022-23,29,AM(C),Lazio,36,34,3030,9,8,6,7.24,ITA Serie A
5,Paulo Dybala,2022-23,30,"AM(CR),FW",Roma,26,22,1752,12,6,6,7.20,ITA Serie A
6,Rafael Leão,2022-23,25,"AM(CL),FW",AC Milan,35,28,2434,15,8,8,7.19,ITA Serie A
7,Lautaro Martínez,2022-23,27,FW,Inter,38,27,2577,21,6,8,7.18,ITA Serie A
8,Mattia Zaccagni,2022-23,29,"AM(CL),FW",Lazio,35,33,2783,10,6,5,7.16,ITA Serie A
9,Domenico Berardi,2022-23,30,"AM(R),FW",Sassuolo,26,22,1872,12,7,6,7.15,ITA Serie A
0,Armand Laurienté,2022-23,25,"AM(LR),FW",Sassuolo,28,27,2191,7,6,4,7.11,ITA Serie A
1,Adrien Rabiot,2022-23,29,"DMC,M(L)",Juventus,32,31,2751,8,4,3,7.11,ITA Serie A
2,Teun Koopmeiners,2022-23,26,"D(C),M(C)",Atalanta,33,32,2861,10,4,2,7.11,ITA Serie A
3,Felipe Anderson,2022-23,31,"M(CLR),FW",Lazio,38,35,2969,9,2,4,7.09,ITA Serie A
4,Lorenzo Pellegrini,2022-23,28,M(CL),Roma,32,29,2558,4,5,5,7.09,ITA Serie A
5,Mário Rui,2022-23,33,"D(L),M(L)",Napoli,22,21,1763,0,6,2,7.09,ITA Serie A
6,Lucas Martínez,2022-23,28,D(C),Fiorentina,27,25,2173,1,1,5,7.08,ITA Serie A
