,Player,Season,Age,Position,Team,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Competition
0,Lucas Hernández,2022-23,27,D(CL),Bayern,2,2,174,1,0,0,7.90,UEFA Champions League
1,Lionel Messi,2022-23,36,"AM(CR),FW",PSG,7,7,615,4,4,3,7.86,UEFA Champions League
2,Robert Lewandowski,2022-23,35,FW,Barcelona,5,5,442,5,0,2,7.83,UEFA Champions League
3,Vinícius Júnior,2022-23,23,"AM(L),FW",Real Madrid,12,11,975,7,5,5,7.77,UEFA Champions League
4,Joshua Kimmich,2022-23,28,"D(CR),DMC,M(R)",Bayern,9,9,810,1,3,2,7.68,UEFA Champions League
5,Kylian Mbappé,2022-23,24,"AM(LR),FW",PSG,8,7,652,7,3,3,7.60,UEFA Champions League
6,Khvicha Kvaratskhelia,2022-23,22,AM(CLR),Napoli,9,9,700,2,4,2,7.58,UEFA Champions League
7,Mohamed Salah,2022-23,31,"AM(CLR),FW",Liverpool,8,7,624,8,2,1,7.56,UEFA Champions League
8,Erling Haaland,2022-23,23,FW,Man City,11,11,848,12,1,2,7.55,UEFA Champions League
9,Gregor Kobel,2022-23,25,GK,Borussia Dortmund,4,4,316,0,0,2,7.51,UEFA Champions League
0,Kevin De Bruyne,2022-23,32,"M(CLR),FW",Man City,10,9,721,2,6,0,7.48,UEFA Champions League
1,Mehdi Taremi,2022-23,31,"AM(L),FW",Porto,7,7,614,5,2,2,7.48,UEFA Champions League
2,Victor Osimhen,2022-23,24,FW,Napoli,6,5,423,5,0,1,7.47,UEFA Champions League
3,Jude Bellingham,2022-23,20,M(CLR),Borussia Dortmund,7,7,630,4,1,1,7.46,UEFA Champions League
4,Neymar,2022-23,31,"AM(CLR),FW",PSG,6,6,540,2,2,0,7.43,UEFA Champions League
5,Giovanni Di Lorenzo,2022-23,30,"D(CLR),M(R)",Napoli,10,10,890,2,2,1,7.43,UEFA Champions League
6,Diogo Costa,2022-23,23,GK,Porto,8,8,720,0,1,2,7.43,UEFA Champions League
7,Iñaki Peña,2022-23,24,GK,Barcelona,1,1,90,0,0,0,7.42,UEFA Champions League
8,Kingsley Coman,2022-23,27,"M(LR),FW",Bayern,7,7,538,1,1,1,7.42,UEFA Champions League
9,Fernando,2022-23,24,FW,Salzburg,1,1,65,0,1,0,7.41,UEFA Champions League
0,Álex Grimaldo,2022-23,27,"D(L),M(L)",Benfica,10,10,900,2,4,2,7.39,UEFA Champions League
1,Leroy Sané,2022-23,27,"M(CLR),FW",Bayern,8,7,557,4,1,0,7.39,UEFA Champions League
2,Federico Valverde,2022-23,25,M(CLR),Real Madrid,11,11,968,2,3,2,7.36,UEFA Champions League
3,Mohammed Kudus,2022-23,23,"M(CR),FW",Ajax,6,5,452,4,2,0,7.34,UEFA Champions League
4,Jota,2022-23,24,AM(LR),Celtic,4,3,285,2,0,1,7.34,UEFA Champions League
5,Rafa,2022-23,30,"AM(CLR),FW",Benfica,10,10,827,5,1,1,7.33,UEFA Champions League
6,Jan Kliment,2022-23,30,FW,Viktoria Plzen,1,0,45,1,0,0,7.30,UEFA Champions League
7,André-Frank Zambo Anguissa,2022-23,27,M(C),Napoli,8,8,653,1,3,1,7.28,UEFA Champions League
8,Ciprian Tatarusanu,2022-23,37,GK,AC Milan,5,5,450,0,0,0,7.27,UEFA Champions League
9,Rúben Dias,2022-23,26,D(C),Man City,12,11,1048,1,0,0,7.26,UEFA Champions League
0,Rodri,2022-23,27,"D(C),DMC",Man City,12,11,997,2,0,1,7.26,UEFA Champions League
1,Ivan Perisic,2022-23,34,"M(CLR),FW",Tottenham,7,7,574,0,3,1,7.26,UEFA Champions League
2,João Mário,2022-23,30,M(CLR),Benfica,10,10,868,6,2,0,7.25,UEFA Champions League
3,Rodrygo,2022-23,22,"AM(CLR),FW",Real Madrid,12,10,824,5,2,3,7.25,UEFA Champions League
4,Giacomo Raspadori,2022-23,23,"AM(CL),FW",Napoli,7,3,250,4,3,1,7.25,UEFA Champions League
5,Mohamed Simakan,2022-23,23,D(CR),RBL,7,6,514,1,3,0,7.24,UEFA Champions League
6,Henrique Araújo,2022-23,21,FW,Benfica,1,0,8,1,0,0,7.24,UEFA Champions League
7,Piotr Zielinski,2022-23,29,M(CLR),Napoli,10,8,624,4,2,0,7.24,UEFA Champions League
8,Ángel Di María,2022-23,35,"M(CLR),FW",Juventus,3,2,146,0,3,0,7.23,UEFA Champions League
9,Bernardo Silva,2022-23,29,"M(CLR),FW",Man City,13,9,909,3,1,2,7.23,UEFA Champions League
0,Luis Díaz,2022-23,26,AM(L),Liverpool,3,3,270,1,0,0,7.23,UEFA Champions League
1,Samuel Iling-Junior,2022-23,19,FW,Juventus,1,0,20,0,1,0,7.22,UEFA Champions League
