,Player,Age,Nation,Club,Min,PSxG-GA,GA,Save %,PSxG/SoT,Save % (Pen),Clean Sheet %,Touches,Launch %,Goal Kicks,Length,Crosses Stopped %,Def. Actions,Distance,OVR
0,Alisson,30,BRA,Liverpool,3780,94,74,57,85,94,88,76,6,13,13,70,95,97,66.3076923076923
1,Alphonse Areola,30,FRA,West Ham,697,99,28,88,72,94,13,6,83,94,51,79,1,1,54.53846153846154
2,Ederson,30,BRA,Manchester City,3870,52,99,57,58,26,76,63,13,5,25,57,36,74,49.30769230769231
3,Mark Flekken,30,NED,Brentford,3330,67,46,70,58,26,59,94,56,46,95,60,42,44,58.69230769230769
4,Wes Foderingham,32,ENG,Sheffield Utd,450,99,12,83,98,-,1,73,88,99,77,8,88,98,68.66666666666667
5,Sam Johnstone,30,ENG,Crystal Palace,1260,38,63,60,7,26,53,16,59,17,51,40,63,54,42.07692307692308
6,Bernd Leno,31,GER,Fulham,3240,99,35,95,58,52,51,88,16,36,32,73,53,55,57.15384615384615
7,Emiliano Martínez,31,ARG,Aston Villa,2869,71,72,55,31,26,79,87,42,19,46,99,99,93,63.0
8,Neto,34,BRA,Bournemouth,2565,83,28,63,72,82,32,34,78,95,62,66,40,15,57.69230769230769
9,André Onana,27,CMR,Manchester Utd,3690,65,73,67,31,26,90,85,24,27,28,49,2,10,44.38461538461539
10,Jordan Pickford,29,ENG,Everton,3240,59,23,24,92,60,27,59,95,81,85,15,67,85,59.38461538461539
11,Nick Pope,31,ENG,Newcastle Utd,3171,60,95,61,31,94,85,2,26,31,72,82,97,98,64.15384615384616
12,Aaron Ramsdale,25,ENG,Arsenal,3450,32,75,40,58,26,71,15,50,3,73,52,72,79,49.69230769230769
13,David Raya,28,ESP,Arsenal,2970,97,82,99,7,26,92,93,85,48,83,94,84,65,73.46153846153847
14,José Sá,30,POR,Wolves,3060,19,16,16,85,82,48,43,30,61,66,95,38,22,47.76923076923077
15,Robert Sánchez,25,ESP,Chelsea,1980,24,41,17,43,56,37,52,5,18,5,89,37,34,35.23076923076923
16,Jason Steele,33,ENG,Brighton,1710,29,31,11,80,83,64,70,2,1,1,59,86,82,46.07692307692308
17,Matt Turner,29,USA,Nott'ham Forest,810,98,86,90,92,26,96,55,72,40,67,46,91,81,72.3076923076923
18,Guglielmo Vicario,26,ITA,Tottenham,2603,70,53,86,19,60,43,86,38,15,41,28,50,32,47.76923076923077
19,Kepa Arrizabalaga,28,ESP,Real Madrid,3555,93,82,79,71,26,81,58,7,29,18,34,79,67,55.69230769230769
20,Yassine Bounou,32,MAR,Sevilla,2616,24,24,9,85,99,33,79,31,51,62,69,71,79,55.07692307692308
21,Stole Dimitrievski,29,MKD,Rayo Vallecano,3234,34,43,27,44,26,52,14,79,75,56,45,70,68,48.69230769230769
22,Marko Dmitrović,31,SRB,Sevilla,1944,43,85,71,12,26,87,57,90,91,98,38,22,26,57.38461538461539
23,Aitor Fernández,32,ESP,Osasuna,2070,42,86,69,20,26,77,71,84,72,92,19,89,77,63.38461538461539
24,Paulo Gazzaniga,31,ARG,Girona,3060,99,50,70,91,61,22,74,47,84,75,89,63,43,66.76923076923077
25,Sergio Herrera,30,ESP,Osasuna,1350,57,33,33,71,94,29,73,92,96,76,69,62,93,67.53846153846153
