,Player,Age,Nation,Club,Min,PSxG-GA,GA,Save %,PSxG/SoT,Save % (Pen),Clean Sheet %,Touches,Launch %,Goal Kicks,Length,Crosses Stopped %,Def. Actions,Distance,OVR
0,Marco Bizot,32,NED,Brest,3150,90,65,93,20,57,52,28,66,76,50,61,27,14,53.76923076923077
1,Marcin Bułka,23,POL,Nice,540,99,99,49,80,99,99,30,1,3,14,13,2,25,47.15384615384615
2,Lucas Chevalier,21,FRA,Lille,3150,76,86,48,58,83,73,32,17,1,36,57,30,32,48.38461538461539
3,Rémy Descamps,27,FRA,Nantes,540,99,21,83,99,-,20,66,71,99,77,83,1,2,60.083333333333336
4,Arthur Desmas,29,FRA,Le Havre,450,99,65,90,99,-,93,4,72,36,52,74,3,4,57.583333333333336
5,Mory Diaw,30,SEN,Clermont Foot,3060,80,50,56,80,86,30,83,63,38,35,91,37,24,57.92307692307692
6,Yehvann Diouf,23,FRA,Reims,3150,89,86,89,44,26,96,49,21,22,20,89,54,20,54.23076923076923
7,Gianluigi Donnarumma,24,ITA,Paris S-G,3769,81,68,78,44,26,43,5,1,27,1,49,20,20,35.61538461538461
8,Philipp Köhn,25,SUI,Monaco,1080,50,37,40,71,26,69,9,65,17,36,87,28,10,41.92307692307692
9,Alban Lafont,24,FRA,Nantes,3215,88,29,91,32,26,57,41,61,52,82,85,46,15,54.23076923076923
10,Benjamin Lecomte,32,FRA,Montpellier,2790,95,59,82,44,98,55,40,83,92,56,21,7,5,56.69230769230769
11,Anthony Lopes,32,POR,Lyon,2700,91,56,90,32,26,39,56,49,36,13,59,28,37,47.07692307692308
12,Pau López,28,ESP,Marseille,3285,40,70,65,32,26,50,45,16,10,34,45,56,59,42.15384615384615
13,Steve Mandanda,38,FRA,Rennes,3500,64,88,49,71,26,86,75,26,21,46,85,83,86,62.0
14,Yvon Mvogo,29,SUI,Lorient,1632,66,26,50,58,26,7,31,33,47,19,40,1,1,31.153846153846153
15,Alexandre Oukidja,35,ALG,Metz,450,2,11,76,1,-,93,48,93,99,98,13,3,1,44.833333333333336
16,Guillaume Restes,18,FRA,Toulouse,540,59,71,99,1,26,20,11,52,22,54,1,1,3,32.30769230769231
17,Rémy Riou,36,FRA,Lyon,540,84,21,32,80,26,69,43,15,66,12,51,75,68,49.38461538461539
18,Brice Samba,29,FRA,Lens,3150,78,91,94,12,26,73,33,56,4,17,85,44,63,52.0
19,Matz Sels,31,BEL,Strasbourg,3150,14,22,29,58,26,21,4,77,8,46,21,24,34,29.53846153846154
