,Player,Age,Nation,Club,Position,Min,npG,npxG,Shots,Assists,xAG,npxG + xAG,SCA,Pass Attempts,Pass %,Prog Passes,Prog Carries,Take-Ons,Touches (Att Pen),Prog Passes Rec,Tackles,Inter,Blocks,Clears,Aerials,OVR
0,Yunis Abdelhamid,35,MAR,Reims,Center Back,3060,72,74,91,83,71,76,88,69,42,98,90,92,64,60,88,80,93,40,77,76.21052631578948
1,Salis Abdul Samed,23,GHA,Lens,Midfielder,2669,14,15,9,23,34,19,29,75,98,57,38,61,15,33,11,47,41,27,20,35.05263157894737
2,Laurent Abergel,30,FRA,Lorient,Midfielder,2189,36,21,22,48,28,20,12,80,90,64,13,76,3,11,95,87,96,82,14,47.26315789473684
3,Matthis Abline,20,FRA,Nantes,Forward,964,34,16,72,41,31,14,28,2,41,11,75,88,65,53,22,60,53,4,27,38.78947368421053
4,Zakaria Aboukhlal,23,MAR,Toulouse,Att Mid / Winger,2277,88,97,91,41,6,83,19,11,57,23,68,38,85,74,31,82,26,79,64,55.94736842105263
5,Emmanuel Agbadou,26,CIV,Reims,Center Back,2197,20,72,90,98,97,92,85,68,61,98,67,53,45,62,98,67,70,62,61,71.89473684210526
6,Ruben Aguilar,30,FRA,Lens,Fullback,995,20,33,42,9,61,47,43,89,86,99,76,26,80,93,1,58,87,26,67,54.89473684210526
7,Tosin Aiyegun,25,BEN,Lorient,Forward,518,52,63,7,70,39,54,72,21,78,12,91,95,3,43,73,57,12,18,19,46.26315789473684
8,Paul Akouokou,25,CIV,Lyon,Midfielder,784,14,13,20,10,1,1,1,35,98,4,5,37,10,4,90,98,68,99,82,36.31578947368421
9,Jim Allevinah,28,GAB,Clermont Foot,Fullback,2084,58,80,85,33,47,62,57,3,50,10,89,89,83,71,27,63,12,4,17,49.473684210526315
10,Benjamin André,33,FRA,Lille,Midfielder,2678,14,29,29,10,29,24,35,93,54,96,53,28,47,40,99,78,76,90,95,53.63157894736842
11,Komnen Andrić,28,SRB,Clermont Foot,Forward,1071,8,2,2,68,7,3,45,86,74,75,8,22,3,61,60,86,29,73,75,41.421052631578945
12,Hákon Arnar Haraldsson,20,ISL,Lille,Att Mid / Winger,474,46,45,9,2,32,32,3,45,74,38,5,57,5,14,26,1,1,68,13,27.157894736842106
13,Marco Asensio,27,ESP,Paris S-G,Att Mid / Winger,1947,99,88,92,94,94,95,81,90,92,80,62,27,61,30,13,48,17,30,18,63.73684210526316
14,Lorenz Assignon,23,TOG,Rennes,Fullback,1011,80,70,78,94,85,82,78,48,85,77,87,84,82,57,55,51,47,85,87,74.3157894736842
15,Youcef Atal,27,ALG,Nice,Fullback,839,99,86,95,9,79,87,92,77,88,60,92,99,80,65,99,57,90,3,59,74.52631578947368
16,Pierre-Emerick Aubameyang,34,GAB,Marseille,Forward,1296,52,78,91,59,39,70,26,30,80,51,68,9,59,55,10,44,39,49,15,48.63157894736842
17,Carlos Baleba,19,CMR,Lille,Midfielder,532,14,61,97,10,3,26,20,70,56,68,92,99,39,56,94,10,99,4,70,52.0
18,Leonardo Balerdi,24,ARG,Marseille,Center Back,2553,53,62,55,28,8,42,41,65,47,72,62,70,36,88,61,98,79,22,81,56.31578947368421
19,Folarin Balogun,22,USA,Monaco,Forward,2572,68,96,94,12,47,89,58,17,60,31,63,70,86,90,11,27,26,19,2,50.8421052631579
20,Bradley Barcola,21,FRA,Lyon,Att Mid / Winger,1686,65,54,20,98,67,62,7,17,26,13,47,85,92,78,60,96,98,59,92,59.78947368421053
22,Melvin Bard,22,FRA,Nice,Fullback,2355,20,22,22,28,17,13,11,66,68,44,73,77,37,53,98,99,57,19,58,46.421052631578945
23,Jérémie Bela,30,ANG,Clermont Foot,Fullback,450,20,79,99,85,25,50,37,3,12,42,78,75,65,87,1,52,53,1,2,45.578947368421055
24,Jean-Ricner Bellegarde,25,FRA,Strasbourg,Midfielder,2135,85,77,84,98,98,93,87,32,19,62,99,98,76,84,32,43,48,22,38,67.10526315789474
25,Jeanöel Belocian,18,FRA,Rennes,Fullback,990,20,7,22,9,1,1,1,74,98,17,12,8,7,31,31,70,24,66,40,28.36842105263158
26,Wissam Ben Yedder,33,FRA,Monaco,Forward,2594,90,81,65,82,78,81,62,72,72,91,68,42,85,87,43,72,50,1,5,64.57894736842105
27,Nabil Bentaleb,28,ALG,Lille,Midfielder,2044,38,45,80,84,60,52,63,87,51,66,73,99,23,31,79,72,57,49,57,61.36842105263158
