Season,Player,Position,Age,Nationality,Club,League,Matches,Goals,Assists,G/A
1956,Arnold Schütz,Sweeper,20,Germany,Werder Bremen,Germany Oberliga Nord,30,18,0,18
1956,Helmut Sadlowski,Centre-Back,26,Germany,FC Schalke 04,Germany Oberliga West,29,14,0,14
1956,Erhard Meinhold,Defender,32,Germany,Motor Zwickau,Germany DDR-Oberliga,27,13,0,13
1956,Jupp Martinelli,Sweeper,19,Germany,Alem. Aachen,Germany Oberliga West,27,13,0,13
1956,Willi Wicken,Left-Back,26,Germany,Bor. M'gladbach,Germany Oberliga West,22,12,0,12
1956,Manfred Paschke,Defender,20,Germany,VfB Oldenburg,Germany Oberliga Nord,26,12,0,12
1956,Berthold Buchenau,Defender,20,Germany,FSV Frankfurt,Germany Oberliga Süd,29,11,0,11
1956,Klaus Schwedeck,Defender,20,Germany,Spandauer SV,Germany OL Berlin,23,10,0,10
1956,Billy Elliott,Left-Back,30,England,Sunderland,England First Division (- 91/92),32,9,0,9
1956,Dieter Honecker,Defender,25,Germany,SV Saar 05,Germany OL Südwest,28,9,0,9
1956,Karl-Heinz Hellwig,Defender,27,Germany,E. Braunschweig,Germany Oberliga Nord,21,9,0,9
1956,Rolf Krauß,Defender,24,Germany,VfB Stuttgart,Germany Oberliga Süd,17,9,0,9
1956,Ernst Happel,Centre-Back,29,Austria,RC Paris,France Ligue 1,29,8,0,8
1956,Theo Kolkenbrock,Centre-Back,23,Germany,Wuppertaler SV,Germany Oberliga West,28,8,0,8
1956,Georg Stollenwerk,Right-Back,24,Germany,1.FC Köln,Germany Oberliga West,28,8,0,8
1956,Bill Slater,Defender,28,England,Wolves,England First Division (- 91/92),35,8,0,8
1956,Wilhelm Struzina,Defender,29,Germany,Schwaben Augsb.,Germany Oberliga Süd,28,8,0,8
1956,Hermann Nuber,Sweeper,19,Germany,K. Offenbach,Germany Oberliga Süd,16,7,0,7
1956,Walter Nachtwey,Centre-Back,21,Germany,Bremerhaven 93,Germany Oberliga Nord,16,6,0,6
1956,Hans Bauer,Right-Back,25,Germany,SpVgg Fürth,Germany Oberliga Süd,29,6,0,6
1956,Juan Schiaffino,Attacking Midfield,29,Italy,Milan,Italy Serie A,35,19,0,19
1956,Adriano Bassetto,Central Midfield,29,Italy,Atalanta,Italy Serie A,32,18,0,18
1956,Francisco Molina,Midfielder,25,Chile,Atlético Madrid,Spain LaLiga,24,18,0,18
1956,Fritz Walter,Attacking Midfield,34,Germany,1.FC K'lautern,Germany OL Südwest,25,17,0,17
1956,Bernard Lefèvre,Left Midfield,25,France,LOSC Lille,France Ligue 1,35,16,0,16
1956,Alfred Pfaff,Attacking Midfield,28,Germany,E. Frankfurt,Germany Oberliga Süd,28,15,0,15
1956,José Vallejo Rodríguez,Midfielder,20,Spain,CyD Leonesa,Spain LaLiga,29,15,0,15
1956,Matthias Roßbach,Midfielder,26,Germany,Alem. Aachen,Germany Oberliga West,30,15,0,15
