Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Spain,15.995493,14.223774,14.735447,13.323067,12.607859,9.710213,9.785082,7.337361,7.134337,6.193354,5.293687,4.407008,4.318626,4.087066,3.893438,4.506598,4.317325,5.383508,5.766792,5.963228,5.971251,6.147085,5.757365,5.803241,5.336703,4.840060,5.516406,5.456797,5.813971,6.889210,7.330424,6.558384,6.791387,6.462718,5.926231,5.698553,5.800615,5.477536,5.303569,6.560411,7.528168,7.943865,7.995623,8.489045,8.795684,7.938022,7.618326,7.983889,7.696996,7.409632,7.717257,7.753099,7.663912,7.772908,8.349555,8.510408,8.954593,8.825490,8.893444,8.492276,8.288064,7.866644,7.381295,6.838606,6.351751,6.146963
France,9.145701,6.556845,5.326090,5.321400,3.332642,3.073766,2.488973,2.824672,3.000760,2.323180,2.164571,2.316468,2.181348,1.533291,1.985849,2.411257,2.939813,3.143166,4.250092,4.039337,4.594417,5.025794,4.917198,4.385718,4.516450,3.749621,3.024145,3.241105,3.876092,3.847970,4.827847,5.877205,6.282700,7.040207,7.432894,6.600020,5.995500,5.383482,4.523317,5.478289,5.397004,5.159310,4.945896,4.884918,5.323167,5.326940,5.317894,5.571309,5.386036,5.005338,5.199862,5.054973,4.932119,5.209902,4.827913,4.460860,4.468191,4.762913,4.689094,4.796620,4.800908,4.508398,4.612762,4.497694,4.743532,4.756863
Italy,8.242422,7.597614,6.452763,6.327352,7.489294,8.002256,6.995399,7.336482,6.973339,6.293572,6.390607,6.626461,6.380970,6.220701,5.964754,5.544200,5.308294,5.060163,4.377762,4.319509,4.000868,4.347104,3.674503,4.070510,5.242894,6.394958,6.557742,6.898262,6.863690,7.141093,7.424232,8.170586,8.911651,10.501482,10.258382,9.311125,8.088406,7.149449,6.511009,7.562953,7.064344,6.851021,6.851289,7.002487,6.519409,6.588654,6.988212,6.862172,6.177763,6.276627,6.225320,5.702312,5.460398,5.664399,5.719838,6.000749,5.966651,6.163840,6.337653,6.127175,5.725063,6.064523,5.904207,6.024427,6.408179,6.327754
England,7.527251,8.672936,7.101317,6.035126,6.338358,7.208302,7.830927,7.996498,8.413045,9.029901,8.639493,8.538010,8.818976,8.808398,9.096196,8.084734,7.319294,7.021800,6.388805,6.353170,6.361984,6.439661,6.306993,5.708231,6.289881,6.772887,5.498793,4.291322,3.691309,1.584221,0.000000,2.120204,3.246764,3.916061,5.103427,5.587054,3.983004,3.627520,3.882806,4.532590,5.236333,6.247891,6.476540,6.556227,6.846228,6.808111,6.648389,7.116773,7.746390,7.931736,7.920355,8.078558,7.684304,7.325916,7.241698,6.841671,6.461761,6.384901,6.616596,7.007569,7.330200,8.084825,8.187440,8.057228,7.403220,7.496909
Scotland,5.871314,4.995691,5.787001,6.278680,6.744138,5.482904,5.494969,6.206332,6.127504,6.451298,6.579858,6.032304,5.694182,5.228844,4.865415,4.235860,4.275328,3.026133,2.975064,2.748415,3.187118,3.073626,3.619257,4.808537,5.295434,5.010482,5.184249,5.407354,4.510969,4.167234,4.260876,4.155599,3.331096,3.437431,2.922123,2.412171,2.185199,2.213051,2.128851,2.197687,2.589430,2.756172,3.050895,3.413531,3.538607,3.418916,3.180935,3.166933,3.413058,2.781131,2.495527,2.367582,1.924581,1.341417,1.415561,1.523378,1.465425,1.590720,1.548070,1.814168,2.258731,2.683044,2.833024,2.676673,2.558757,2.313580
Yugoslavia,5.682981,4.665976,3.813480,4.072089,4.370201,4.100581,4.146454,4.078949,3.638742,3.382534,3.278787,3.272243,3.234884,3.441714,3.667202,4.641966,4.888489,4.472324,4.166757,4.705620,4.304679,4.037249,4.792396,4.899734,4.715339,4.540750,4.843617,4.233280,3.876092,3.831167,3.642361,4.149832,4.303607,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Hungary,5.532585,4.683461,6.043063,4.639993,5.250618,6.741467,7.338674,6.739408,7.494606,9.023847,7.718852,6.776033,6.877121,5.708887,3.603018,4.187973,4.451717,4.163023,3.858417,3.772824,3.336126,3.223154,2.620842,2.570080,2.444684,2.760710,2.741670,2.728481,2.923776,2.772555,2.104666,1.738567,1.939625,1.682340,1.385498,1.736763,2.013420,1.912759,2.301670,2.070916,1.947251,1.837285,1.605618,1.437335,1.684212,1.758561,1.535750,1.470807,1.227065,0.814734,0.653127,0.800463,0.887596,1.037565,0.993354,0.936154,0.836478,0.798512,0.675333,0.860961,1.043270,1.246058,1.257203,1.516659,1.552644,1.561910
Austria,4.968035,5.203845,5.428515,5.288887,4.558848,3.463414,2.384945,2.314628,2.145313,2.017649,1.787567,2.052031,1.856852,1.696118,1.633927,1.810558,1.755488,1.830727,2.616723,2.948300,2.649033,2.242916,2.288036,1.989740,2.568990,3.708416,4.403288,4.712831,4.427433,3.595919,3.522095,3.561942,3.035935,3.167658,3.588861,3.126348,2.898195,2.937001,2.974933,2.957790,2.589430,2.893219,2.715151,2.626874,2.326944,2.678599,2.133713,1.920926,1.810071,1.778427,1.894070,1.949364,2.396509,2.240699,2.642535,2.185069,2.126137,2.130766,2.730421,2.562385,2.667936,2.880001,2.982737,2.500189,2.313883,2.372151
Germany,4.516396,4.735499,4.906148,4.701709,4.744477,4.821059,5.546892,5.778394,6.023490,5.536723,5.448014,5.359147,5.269499,5.846396,6.646981,7.839717,8.223076,8.677479,8.130676,8.764446,8.940155,8.686565,8.652771,8.973394,7.229303,6.109822,6.203153,6.007951,6.042193,6.905006,7.804790,7.394253,7.240200,6.857979,6.855219,5.874765,5.564006,5.173477,5.451169,6.014459,5.861333,5.924338,6.188208,5.746195,5.451273,5.275252,5.064781,4.606485,4.982503,5.656547,6.212645,6.538938,6.844592,7.030188,6.976206,6.758608,6.791524,6.682116,5.936859,5.897749,6.059801,5.914353,5.774533,6.065239,6.148399,5.618386
Switzerland,3.838710,3.902676,3.482239,3.114809,1.603313,2.071814,2.048642,1.963170,2.102575,1.773998,1.505022,1.578358,1.452471,1.373442,1.969091,2.072835,1.931877,2.507845,2.858395,2.939971,3.046388,3.596973,3.685819,3.606403,3.024778,3.049142,2.949372,2.687141,2.506094,2.688538,2.877809,2.544244,2.487780,2.697731,2.551713,2.259133,2.409661,2.530883,2.429074,2.643835,2.652587,2.664807,2.642163,2.949965,2.464633,2.247870,2.709685,2.476438,2.477343,2.519231,2.745554,2.344887,2.439750,2.554176,2.839069,2.925482,2.860967,2.696028,2.510159,2.205701,2.139211,2.108249,2.278320,2.329221,2.340500,2.188301
