,Player,Nation,Pos,FIFA,BDOR,UEFA,WC,NC,NSC,IC,CC,CSC,L,C,SC,LC,YC,O,Total
0,Ryan Giggs,Wales,LM,0,0,0,0,0,0,2,2,1,13,4,9,4,0,0,35
1,Gary Neville,England,RB,0,0,0,0,0,0,2,2,0,12,4,7,3,0,0,30
2,Paul Scholes,England,CM,0,0,0,0,0,0,2,2,0,11,4,5,2,0,0,26
3,Nicky Butt,England,CM,0,0,0,0,0,0,1,1,0,8,3,4,0,0,0,17
4,Alan Hansen,Scotland,CB,0,0,0,0,0,0,0,3,0,8,2,5,4,0,0,22
5,Kenny Dalglish,Scotland,CF,0,0,0,0,0,0,0,3,1,8,2,7,4,0,0,25
6,Phil Neal,England,RB,0,0,0,0,0,0,0,5,1,8,0,5,4,0,0,23
7,Wes Brown,England,CB,0,0,0,0,0,0,0,2,0,7,2,2,3,0,0,16
8,Roy Keane,Ireland,DM,0,0,0,0,0,0,1,1,0,7,4,4,0,0,0,17
9,Denis Irwin,Ireland,LB,0,0,0,0,0,0,1,2,1,7,3,4,1,0,0,19
10,Phil Thompson,England,CB,0,0,0,0,0,0,0,5,1,7,1,6,2,0,0,22
11,Rio Ferdinand,England,CB,0,0,0,0,0,0,1,1,0,6,0,4,3,0,0,15
12,Ole Gunnar Solskjaer,Norway,CF,0,0,0,0,0,0,1,1,0,6,2,4,0,0,0,14
13,David Beckham,England,RM,0,0,1,0,0,0,1,1,0,8,2,5,0,0,0,18
14,Phil Neville,England,RB,0,0,0,0,0,0,1,1,0,6,3,3,0,0,0,14
15,Ronnie Whelan,Ireland,LM,0,0,0,0,0,0,0,1,0,6,3,5,3,0,0,18
16,Bruce Grobbelaar,Zimbabwe,GK,0,0,0,0,0,0,0,1,0,6,3,5,3,0,0,18
17,Ray Kennedy,England,LM,0,0,0,0,0,0,0,5,1,6,1,4,0,0,0,17
18,Kevin De Bruyne,Belgium,AM,0,0,0,0,0,0,0,1,1,5,3,3,5,0,0,18
19,John Stones,England,CB,0,0,0,0,0,0,0,1,1,5,2,2,4,0,0,15
20,İlkay Gündoğan,Germany,CM,0,0,0,0,0,0,0,1,0,6,3,4,4,0,0,18
21,Nathan Aké,Netherlands,CB,0,0,0,0,0,0,0,1,1,5,1,0,2,2,0,12
22,Riyad Mahrez,Algeria,RW,0,0,0,0,0,0,0,1,0,5,2,2,3,0,0,13
23,Kyle Walker,England,RB,0,0,0,0,0,0,0,1,1,5,2,2,4,0,0,15
24,Ederson,Brazil,GK,0,0,0,0,1,0,0,1,1,7,3,3,5,0,0,21
25,Paco Gento,Spain,LW,0,0,0,0,0,0,1,6,0,12,2,0,0,0,0,21
26,Lionel Messi,Argentina,RW,3,8,3,1,1,1,3,4,3,12,7,9,0,1,2,58
27,Pirri,Spain,DM,0,0,0,0,0,0,0,1,0,10,4,0,0,0,0,15
28,Gerard Piqué,Spain,CB,0,0,0,1,1,0,3,4,3,10,7,7,1,1,0,38
29,Sergio Busquets,Spain,DM,0,0,0,1,1,0,3,3,3,9,7,7,0,0,0,34
30,Andrés Iniesta,Spain,CM,0,0,1,1,2,0,3,4,3,9,6,7,0,2,0,38
31,José Antonio Camacho,Spain,LB,0,0,0,0,0,0,0,2,0,9,5,2,1,0,0,19
32,Santillana,Spain,CF,0,0,0,0,0,0,0,2,0,9,4,0,1,0,0,16
33,Amancio,Spain,RW,0,0,0,0,1,0,0,1,0,9,3,0,0,0,0,14
34,Xavi,Spain,CM,0,0,0,1,2,0,2,4,2,8,3,6,0,1,0,29
35,Manolo Sanchís,Spain,CB,0,0,0,0,0,0,1,4,0,8,2,6,0,1,0,22
36,Miguel Ángel,Spain,GK,0,0,0,0,0,0,0,2,0,8,5,0,1,0,0,16
37,Alfredo di Stéfano,Spain,SS,0,2,0,0,1,0,1,5,0,10,1,0,0,0,0,20
38,Sergi Roberto,Spain,RB,0,0,0,0,0,0,1,2,1,7,6,5,0,0,0,22
39,Chendo,Spain,RB,0,0,0,0,0,0,0,3,0,7,2,6,1,0,0,19
40,Mariano García Remón,Spain,GK,0,0,0,0,0,0,0,2,0,7,4,0,1,0,0,14
41,Ramón Grosso,Spain,CF,0,0,0,0,0,0,0,1,0,7,3,0,0,0,0,11
42,Ignacio Zoco,Spain,DM,0,0,0,0,1,0,0,1,0,7,2,0,0,0,0,11
43,Pachín,Spain,RB,0,0,0,0,0,0,1,2,0,7,1,0,0,0,0,11
44,Jordi Alba,Spain,LB,0,0,0,0,2,0,1,1,1,6,5,4,0,0,0,20
45,Marcelo,Brazil,LB,0,0,0,0,1,0,5,6,3,6,2,5,0,0,0,28
46,Dani Alves,Brazil,RB,0,0,0,0,4,0,3,5,4,9,7,7,1,1,1,42
47,Víctor Valdés,Spain,GK,0,0,0,1,1,0,2,3,2,6,2,6,0,0,0,23
48,Carles Puyol,Spain,CB,0,0,0,1,1,0,2,3,2,6,2,6,0,0,0,23
49,Gianluigi Buffon,Italy,GK,0,0,1,1,0,0,0,1,0,11,6,8,0,1,0,29
50,Giorgio Chiellini,Italy,CB,0,0,0,0,1,0,0,0,0,9,5,5,0,1,0,21
51,Leonardo Bonucci,Italy,CB,0,0,0,0,1,0,0,0,0,9,4,5,0,0,0,19
