,Player,Season,Age,Position,Team,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Competition
0,Edmore Sibanda,2018-19,32,GK,Zimbabwe,1,1,80,0,0,0,8.00,AF Cup of Nations
1,Adam Ounas,2018-19,23,"AM(CLR),FW",Algeria,3,1,121,3,1,1,7.83,AF Cup of Nations
2,Youcef Atal,2018-19,23,"D(R),M(R)",Algeria,4,4,300,0,1,1,7.66,AF Cup of Nations
3,Diadié Samassékou,2018-19,24,DMC,Mali,3,3,270,1,1,1,7.62,AF Cup of Nations
4,Romain Saïss,2018-19,29,"D(C),DMC",Morocco,4,4,390,0,0,1,7.62,AF Cup of Nations
5,Trézéguet,2018-19,25,AM(LR),Egypt,4,4,345,1,1,1,7.56,AF Cup of Nations
6,Chancel Mbemba,2018-19,25,"D(CLR),DMC",DR Congo,3,3,270,1,0,0,7.56,AF Cup of Nations
7,Arthur Masuaku,2018-19,26,"D(L),M(L)",DR Congo,1,1,90,0,0,0,7.55,AF Cup of Nations
8,Jordan Ayew,2018-19,28,"AM(CLR),FW",Ghana,4,4,390,2,0,0,7.49,AF Cup of Nations
9,Chadrac Akolo,2018-19,24,AM(CR),DR Congo,2,2,153,0,0,0,7.42,AF Cup of Nations
0,Mohamed El Shenawy,2018-19,31,GK,Egypt,4,4,360,0,0,1,7.41,AF Cup of Nations
1,Kenneth Omeruo,2018-19,26,D(C),Nigeria,6,6,540,1,1,2,7.40,AF Cup of Nations
2,Pascal Razakanantenaina,2018-19,32,D(C),Madagascar,5,5,439,0,1,0,7.39,AF Cup of Nations
3,Ismaïla Sarr,2018-19,21,"AM(CLR),FW",Senegal,5,4,403,1,0,1,7.38,AF Cup of Nations
4,Saliou Ciss,2018-19,30,D(CL),Senegal,1,1,90,0,0,0,7.38,AF Cup of Nations
5,Youcef Belaïli,2018-19,27,AM(L),Algeria,6,6,531,2,0,1,7.37,AF Cup of Nations
6,Medhi Benatia,2018-19,32,D(C),Morocco,2,2,180,0,0,0,7.37,AF Cup of Nations
7,Moubarak Boussoufa,2018-19,35,M(C),Morocco,4,4,390,1,1,2,7.36,AF Cup of Nations
8,Adama Traoré,2018-19,24,M(CR),Mali,4,2,182,1,1,1,7.35,AF Cup of Nations
9,Aishi Manula,2018-19,24,GK,Tanzania,2,2,180,0,0,0,7.33,AF Cup of Nations
0,Abdul Rahman Baba,2018-19,25,"D(L),M(L)",Ghana,3,3,296,0,2,0,7.32,AF Cup of Nations
1,Sadio Mané,2018-19,27,"AM(CLR),FW",Senegal,6,6,570,3,1,2,7.32,AF Cup of Nations
2,Thomas Partey,2018-19,26,"D(R),M(CR)",Ghana,4,4,383,1,0,1,7.27,AF Cup of Nations
3,Riyad Mahrez,2018-19,28,"AM(CLR),FW",Algeria,7,6,552,3,0,2,7.26,AF Cup of Nations
4,Farouk Miya,2018-19,22,"AM(CL),FW",Uganda,4,4,357,0,2,1,7.25,AF Cup of Nations
5,André Ayew,2018-19,30,"M(CLR),FW",Ghana,4,4,351,1,0,0,7.25,AF Cup of Nations
6,Ayman Ashraf,2018-19,28,D(L),Egypt,4,4,360,0,2,0,7.24,AF Cup of Nations
7,Mubarak Wakaso,2018-19,29,M(CLR),Ghana,4,4,390,0,0,0,7.23,AF Cup of Nations
8,Ahmed El Mohamady,2018-19,32,"D(R),M(R)",Egypt,4,4,360,2,0,1,7.22,AF Cup of Nations
9,Jonathan Bolingi,2018-19,25,FW,DR Congo,3,2,175,1,0,0,7.22,AF Cup of Nations
0,Ismaël Bennacer,2018-19,22,DMC,Algeria,7,7,627,0,3,0,7.21,AF Cup of Nations
1,Michael Olunga,2018-19,25,FW,Kenya,3,3,270,2,0,1,7.20,AF Cup of Nations
2,Sory Kaba,2018-19,24,FW,Guinea,3,3,261,1,0,1,7.20,AF Cup of Nations
3,Moussa Djenepo,2018-19,21,M(LR),Mali,3,3,226,0,0,0,7.20,AF Cup of Nations
4,Nordin Amrabat,2018-19,32,"M(CLR),FW",Morocco,4,4,350,0,1,0,7.20,AF Cup of Nations
5,Achraf Hakimi,2018-19,21,"D(LR),M(R)",Morocco,4,4,390,0,0,0,7.20,AF Cup of Nations
6,Wahbi Khazri,2018-19,28,"M(CLR),FW",Tunisia,7,6,622,1,1,1,7.19,AF Cup of Nations
7,Mohamed Salah,2018-19,27,"AM(CLR),FW",Egypt,4,4,360,2,0,0,7.19,AF Cup of Nations
8,Cédric Bakambu,2018-19,28,"AM(LR),FW",DR Congo,4,4,390,3,0,1,7.19,AF Cup of Nations
9,Ola Aina,2018-19,23,"D(CLR),M(LR)",Nigeria,5,5,450,0,1,1,7.16,AF Cup of Nations
0,Bongani Zungu,2018-19,27,DMC,South Africa,4,4,345,2,0,0,7.15,AF Cup of Nations
1,Alfred Gomis,2018-19,26,GK,Senegal,5,5,480,0,0,1,7.15,AF Cup of Nations
2,Wilfried Zaha,2018-19,27,"AM(LR),FW",Ivory Coast,4,3,295,2,1,0,7.14,AF Cup of Nations
3,Joslin Kamatuka,2018-19,28,Substitute,Namibia,2,1,87,1,0,0,7.14,AF Cup of Nations
4,Kalidou Koulibaly,2018-19,28,D(C),Senegal,6,6,570,0,0,0,7.13,AF Cup of Nations
5,Sofiane Boufal,2018-19,26,"AM(CLR),FW",Morocco,3,0,109,0,0,0,7.13,AF Cup of Nations
6,Rafik Halliche,2018-19,33,D(C),Algeria,1,1,90,0,0,0,7.12,AF Cup of Nations
7,Djamel Benlamri,2018-19,30,D(C),Algeria,6,6,570,0,0,0,7.11,AF Cup of Nations
8,Islam Slimani,2018-19,31,FW,Algeria,3,1,133,1,2,0,7.11,AF Cup of Nations
9,Youssef En-Nesyri,2018-19,22,FW,Morocco,4,4,378,2,0,1,7.10,AF Cup of Nations
0,Sori Mané,2018-19,23,DMC,Guinea-Bissau,3,3,270,0,0,1,7.09,AF Cup of Nations
1,Franck Kessie,2018-19,23,M(C),Ivory Coast,5,5,480,0,3,0,7.09,AF Cup of Nations
2,Kasim Adams,2018-19,24,D(C),Ghana,3,3,300,0,1,0,7.08,AF Cup of Nations
3,Mohamed Fares,2018-19,23,"D(L),M(L)",Algeria,2,1,100,0,0,0,7.07,AF Cup of Nations
4,Michael Ngadeu,2018-19,29,D(C),Cameroon,4,4,360,0,0,0,7.07,AF Cup of Nations
5,Anicet Andrianantenaina,2018-19,29,DMC,Madagascar,5,5,480,1,0,0,7.07,AF Cup of Nations
6,Serey Dié,2018-19,35,DMC,Ivory Coast,5,5,480,1,0,1,7.07,AF Cup of Nations
7,Britt Assombalonga,2018-19,27,"AM(L),FW",DR Congo,3,1,156,1,0,0,7.06,AF Cup of Nations
8,Serge Aurier,2018-19,27,"D(CLR),M(R)",Ivory Coast,2,2,159,0,0,1,7.06,AF Cup of Nations
9,Youssef Msakni,2018-19,29,AM(L),Tunisia,6,5,402,2,1,0,7.05,AF Cup of Nations
0,Emmanuel Okwi,2018-19,27,FW,Uganda,4,4,343,2,0,0,7.05,AF Cup of Nations
1,Adlène Guédioura,2018-19,34,M(C),Algeria,7,6,576,0,0,0,7.05,AF Cup of Nations
2,Coulibaly Wonlo,2018-19,28,D(L),Ivory Coast,5,5,477,0,0,0,7.05,AF Cup of Nations
3,Hussein Shabani,2018-19,29,Substitute,Burundi,1,1,90,0,0,0,7.04,AF Cup of Nations
4,Wilfred Ndidi,2018-19,23,"D(C),DMC",Nigeria,7,6,585,0,0,0,7.04,AF Cup of Nations
5,Falaye Sacko,2018-19,24,"D(CR),M(R)",Mali,1,1,90,0,0,0,7.03,AF Cup of Nations
6,Mohamed Yattara,2018-19,26,FW,Guinea,3,2,162,2,0,1,7.02,AF Cup of Nations
7,Lassana Coulibaly,2018-19,23,M(CL),Mali,4,4,350,0,0,0,7.01,AF Cup of Nations
8,Joyskim Dawa Tchakonte,2018-19,23,D(CLR),Cameroon,1,1,90,0,0,0,7.01,AF Cup of Nations
9,Andria,2018-19,30,AM(L),Madagascar,5,5,410,2,1,0,7.00,AF Cup of Nations
0,Idrissa Gueye,2018-19,30,M(C),Senegal,6,6,559,1,1,0,7.00,AF Cup of Nations
1,Lamine Gassama,2018-19,30,D(R),Senegal,5,5,470,0,2,0,7.00,AF Cup of Nations
2,André-Frank Zambo Anguissa,2018-19,24,M(C),Cameroon,4,3,290,0,0,0,7.00,AF Cup of Nations
3,Bevis Mugabi,2018-19,24,D(CR),Uganda,3,3,270,0,0,0,6.99,AF Cup of Nations
4,Tarek Hamed,2018-19,31,DMC,Egypt,4,3,298,0,0,0,6.98,AF Cup of Nations
5,Ngonda Muzinga,2018-19,25,D(L),DR Congo,3,3,300,0,1,0,6.98,AF Cup of Nations
6,Lalaïna Nomenjanahary,2018-19,33,AM(CR),Madagascar,5,5,409,1,1,1,6.98,AF Cup of Nations
7,Youssouf Sabaly,2018-19,26,"D(LR),M(R)",Senegal,6,6,570,0,0,0,6.98,AF Cup of Nations
8,Peter Etebo,2018-19,24,"M(CL),FW",Nigeria,7,7,630,0,0,0,6.97,AF Cup of Nations
9,Max-Alain Gradel,2018-19,32,"M(CLR),FW",Ivory Coast,4,4,330,1,1,1,6.97,AF Cup of Nations
0,Boubakar Kouyaté,2018-19,22,D(C),Mali,1,1,90,0,0,0,6.97,AF Cup of Nations
1,Sfiso Hlanti,2018-19,30,D(L),South Africa,5,5,450,0,0,0,6.96,AF Cup of Nations
2,Ambroise Oyongo,2018-19,28,"D(LR),M(L)",Cameroon,4,4,360,0,0,1,6.96,AF Cup of Nations
3,Mahmoud Alaa,2018-19,29,D(CLR),Egypt,3,3,270,0,0,0,6.95,AF Cup of Nations
4,Mehdi Bourabia,2018-19,28,M(C),Morocco,1,1,58,0,0,0,6.95,AF Cup of Nations
5,Mickaël Poté,2018-19,35,FW,Benin,5,4,379,2,0,1,6.94,AF Cup of Nations
6,Andy Yiadom,2018-19,28,"D(CLR),M(R)",Ghana,4,4,390,0,0,0,6.94,AF Cup of Nations
7,Darren Keet,2018-19,30,GK,South Africa,1,1,90,0,0,0,6.94,AF Cup of Nations
8,Ibrahima Traoré,2018-19,31,AM(LR),Guinea,4,4,360,0,1,0,6.94,AF Cup of Nations
9,Meschak Elia,2018-19,22,FW,DR Congo,4,1,224,0,1,1,6.94,AF Cup of Nations
0,Steve Mounié,2018-19,25,FW,Benin,4,4,360,0,0,0,6.93,AF Cup of Nations
1,Percy Tau,2018-19,25,"AM(CR),FW",South Africa,5,5,450,0,1,1,6.92,AF Cup of Nations
2,Samuel Chukwueze,2018-19,20,AM(CR),Nigeria,6,4,391,1,0,1,6.91,AF Cup of Nations
3,Henri Saivet,2018-19,29,"M(CLR),FW",Senegal,6,5,448,0,0,0,6.91,AF Cup of Nations
4,Ahmed Hegazy,2018-19,28,D(C),Egypt,4,4,360,0,0,0,6.91,AF Cup of Nations
5,Issama Mpeko,2018-19,30,D(R),DR Congo,4,4,390,0,1,0,6.91,AF Cup of Nations
6,Adama Traoré,2018-19,24,AM(R),Mali,4,1,157,1,0,0,6.90,AF Cup of Nations
7,Salif Sané,2018-19,29,"D(C),DMC",Senegal,4,2,153,0,0,0,6.90,AF Cup of Nations
