,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Guy Mbenza,Cercle Bruges,21,forward,1,1,90,2,0,1,7.77,2020-21,BEL Pro League
1,Jérémy Doku,Anderlecht,19,AM(LR),7,7,608,2,3,3,7.63,2020-21,BEL Pro League
2,Paul Onuachu,Genk,27,FW,38,36,3011,33,5,9,7.61,2020-21,BEL Pro League
3,Darren Keet,OH Leuven,32,GK,1,1,90,0,0,0,7.61,2020-21,BEL Pro League
4,Ryota Morioka,Sporting Charleroi,30,"M(C),FW",28,28,2406,2,7,7,7.57,2020-21,BEL Pro League
5,Louis Verstraete,SK Beveren,22,M(C),5,5,439,3,0,1,7.56,2020-21,BEL Pro League
6,Krépin Diatta,Club Bruges,22,"M(LR),FW",19,17,1504,9,2,6,7.50,2020-21,BEL Pro League
7,Théo Bongonda,Genk,26,AM(LR),35,34,2908,16,8,7,7.47,2020-21,BEL Pro League
8,Noa Lang,Club Bruges,22,"AM(LR),FW",29,26,2200,16,7,5,7.31,2020-21,BEL Pro League
9,Junya Ito,Genk,28,"AM(LR),FW",38,37,3233,11,14,3,7.29,2020-21,BEL Pro League
0,Dieumerci Mbokani,Royal Antwerp,36,FW,32,29,2625,14,3,4,7.28,2020-21,BEL Pro League
1,Selim Amallah,Standard Liege,25,"AM(CL),FW",24,21,1855,9,3,6,7.27,2020-21,BEL Pro League
2,Raphael Holzhauser,Beerschot,28,"M(CLR),FW",34,34,2973,16,16,4,7.27,2020-21,BEL Pro League
3,Mandela Keita,OH Leuven,19,M(C),1,1,65,0,0,0,7.22,2020-21,BEL Pro League
4,Hans Vanaken,Club Bruges,29,AM(CL),36,34,2991,11,7,4,7.21,2020-21,BEL Pro League
5,Tarik Tissoudali,Beerschot,28,"AM(CL),FW",19,16,1312,8,5,1,7.21,2020-21,BEL Pro League
6,Ruud Vormer,Club Bruges,33,M(CR),37,36,3177,6,11,2,7.21,2020-21,BEL Pro League
7,Thomas Henry,OH Leuven,27,FW,31,31,2779,21,5,4,7.20,2020-21,BEL Pro League
8,Rafael Romo,OH Leuven,31,GK,29,28,2521,0,0,4,7.19,2020-21,BEL Pro League
9,Xavier Mercier,OH Leuven,32,"AM(CLR),FW",34,34,2949,9,16,3,7.19,2020-21,BEL Pro League
0,Roman Yaremchuk,Gent,26,FW,28,28,2385,17,6,5,7.19,2020-21,BEL Pro League
1,Maxime Busi,Sporting Charleroi,22,"D(R),M(R)",7,7,630,0,1,0,7.18,2020-21,BEL Pro League
2,Bryan Heynen,Genk,24,DMC,29,27,2373,2,5,1,7.18,2020-21,BEL Pro League
3,Joris Kayembe,Sporting Charleroi,27,"D(CL),M(L)",34,34,3014,1,4,4,7.18,2020-21,BEL Pro League
4,Joachim Van Damme,KV Mechelen,30,DMC,23,23,2037,3,0,3,7.17,2020-21,BEL Pro League
5,Joakim Maehle,Genk,24,"D(LR),M(LR)",16,16,1440,1,4,1,7.17,2020-21,BEL Pro League
6,Vadis Odjidja-Ofoe,Gent,32,AM(CR),19,13,1156,1,7,1,7.16,2020-21,BEL Pro League
7,Strahinja Pavlovic,Cercle Bruges,20,D(C),11,11,966,1,0,2,7.15,2020-21,BEL Pro League
8,Alessio Castro-Montes,Gent,24,"D(R),M(CLR)",31,31,2637,6,0,0,7.13,2020-21,BEL Pro League
9,Hugo Siquet,Standard Liege,19,"D(R),M(R)",16,14,1198,0,5,1,7.13,2020-21,BEL Pro League
0,Robin Himmelmann,Eupen,32,GK,1,1,90,0,0,0,7.12,2020-21,BEL Pro League
1,Lior Refaelov,Royal Antwerp,35,"AM(CLR),FW",33,32,2582,9,8,5,7.10,2020-21,BEL Pro League
2,Zinho Vanheusden,Standard Liege,22,D(C),8,8,652,0,0,0,7.10,2020-21,BEL Pro League
3,Faïz Selemani,Kortrijk,28,"M(CLR),FW",30,23,2164,8,7,6,7.10,2020-21,BEL Pro League
4,Michael Frey,SK Beveren,27,FW,27,27,2411,12,3,2,7.09,2020-21,BEL Pro League
5,Julien De Sart,Kortrijk,27,DMC,24,23,1945,1,2,1,7.09,2020-21,BEL Pro League
6,Moussa Sissako,Standard Liege,21,D(C),6,5,451,0,0,0,7.08,2020-21,BEL Pro League
7,Albert Sambi Lokonga,Anderlecht,22,DMC,33,33,2917,3,2,1,7.08,2020-21,BEL Pro League
8,Konstantinos Laifis,Standard Liege,28,D(C),25,21,1981,1,1,3,7.08,2020-21,BEL Pro League
9,Daniel Muñoz,Genk,25,"D(CR),DMC",40,37,3336,0,5,0,7.07,2020-21,BEL Pro League
0,Yuma Suzuki,St.Truiden,25,FW,34,34,2859,17,3,4,7.07,2020-21,BEL Pro League
1,Abdoulaye Seck,Royal Antwerp,29,D(C),37,37,3260,4,2,3,7.06,2020-21,BEL Pro League
2,Ognjen Vranjes,Anderlecht,32,D(CR),4,4,360,0,0,0,7.06,2020-21,BEL Pro League
3,Gianni Bruno,Zulte Waregem,30,"AM(LR),FW",34,33,2932,20,4,2,7.06,2020-21,BEL Pro League
4,Lukas Nmecha,Anderlecht,23,"AM(CR),FW",37,36,3140,18,3,3,7.06,2020-21,BEL Pro League
5,Nuno da Costa,Royal Excel Mouscron,30,"AM(LR),FW",25,24,2109,6,0,6,7.05,2020-21,BEL Pro League
6,Júnior Pius,St.Truiden,26,D(C),4,4,307,0,0,1,7.05,2020-21,BEL Pro League
7,Laurent Henkinet,Standard Liege,29,GK,1,1,90,0,0,0,7.04,2020-21,BEL Pro League
8,Yevhenii Makarenko,Kortrijk,30,"D(L),DMC",28,24,2246,3,0,2,7.03,2020-21,BEL Pro League
9,Charles De Ketelaere,Club Bruges,20,"M(CLR),FW",37,26,2503,4,6,2,7.03,2020-21,BEL Pro League
0,Sebastien Bruzzese,Cercle Bruges,32,GK,1,1,90,0,0,0,7.03,2020-21,BEL Pro League
1,Bas Dost,Club Bruges,32,FW,19,17,1348,9,3,2,7.03,2020-21,BEL Pro League
2,Andrew Hjulsager,Oostende,26,"M(CLR),FW",32,31,2716,3,10,5,7.03,2020-21,BEL Pro League
3,Clinton Mata,Club Bruges,29,"D(CR),M(R)",39,36,3247,1,2,3,7.02,2020-21,BEL Pro League
4,Maxime D'Arpino,Oostende,25,M(C),33,33,2880,1,3,1,7.02,2020-21,BEL Pro League
5,Rob Schoofs,KV Mechelen,27,M(C),34,32,2766,4,7,0,7.02,2020-21,BEL Pro League
6,Nicolas Gavory,Standard Liege,26,"D(CL),DMC,M(L)",31,30,2632,1,6,0,7.01,2020-21,BEL Pro League
7,Alexis Gamboa,SK Beveren,22,D(C),8,7,665,0,0,1,7.01,2020-21,BEL Pro League
8,Klauss,Standard Liege,24,FW,13,10,933,5,2,1,7.00,2020-21,BEL Pro League
9,Alexandre De Bruyn,Gent,27,M(CLR),2,0,28,2,0,0,7.00,2020-21,BEL Pro League
0,Percy Tau,Anderlecht,27,"AM(CR),FW",14,12,1080,4,1,0,7.00,2020-21,BEL Pro League
1,Merveille Bokadi,Standard Liege,25,"D(C),DMC",31,27,2483,4,0,1,7.00,2020-21,BEL Pro League
2,Brandon Mechele,Club Bruges,28,D(C),35,35,3150,2,0,1,6.99,2020-21,BEL Pro League
3,Knowledge Musona,Eupen,31,AM(CR),24,22,1755,7,2,4,6.98,2020-21,BEL Pro League
4,Aboubakary Koita,SK Beveren,23,"M(CL),FW",27,20,1790,7,1,4,6.98,2020-21,BEL Pro League
5,Geoffry Hairemans,KV Mechelen,30,AM(CLR),33,30,2459,8,3,2,6.98,2020-21,BEL Pro League
