,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Lionel Messi,Argentina,28,"AM(CR),FW",6,6,602,1,3,2,8.35,2014-15,CONMEBOL Copa America
1,Ángel Di María,Argentina,27,"M(CLR),FW",6,6,469,2,2,2,7.90,2014-15,CONMEBOL Copa America
2,Arturo Vidal,Chile,28,M(CR),6,6,527,3,1,1,7.67,2014-15,CONMEBOL Copa America
3,Dani Alves,Brazil,32,"D(R),M(CR)",4,4,390,0,2,0,7.64,2014-15,CONMEBOL Copa America
4,Jeison Murillo,Colombia,23,D(C),4,4,391,1,0,1,7.63,2014-15,CONMEBOL Copa America
5,Jorge Valdivia,Chile,32,AM(C),6,6,494,0,3,1,7.57,2014-15,CONMEBOL Copa America
6,Neymar,Brazil,23,"AM(CLR),FW",2,2,180,1,1,1,7.56,2014-15,CONMEBOL Copa America
7,Diego Godín,Uruguay,29,D(C),3,3,270,0,0,0,7.55,2014-15,CONMEBOL Copa America
8,Javier Pastore,Argentina,26,AM(CLR),6,6,444,1,1,0,7.54,2014-15,CONMEBOL Copa America
9,Charles Aránguiz,Chile,26,M(C),6,6,566,2,1,1,7.51,2014-15,CONMEBOL Copa America
0,José Giménez,Uruguay,20,D(CR),4,4,360,1,1,1,7.51,2014-15,CONMEBOL Copa America
1,Thiago Silva,Brazil,31,D(C),3,3,300,1,0,1,7.46,2014-15,CONMEBOL Copa America
2,Paolo Guerrero,Peru,32,FW,6,6,540,4,0,1,7.44,2014-15,CONMEBOL Copa America
3,Alexis Sánchez,Chile,27,"M(CLR),FW",6,6,527,1,1,1,7.31,2014-15,CONMEBOL Copa America
4,Nicolás Otamendi,Argentina,27,D(C),5,5,510,0,0,0,7.31,2014-15,CONMEBOL Copa America
5,Mauricio Isla,Chile,27,"D(R),M(CR)",6,6,570,1,0,1,7.31,2014-15,CONMEBOL Copa America
6,Christian Noboa,Ecuador,30,M(C),3,3,270,0,1,0,7.27,2014-15,CONMEBOL Copa America
7,Christian Cueva,Peru,24,AM(CLR),6,6,454,1,1,0,7.27,2014-15,CONMEBOL Copa America
8,André Carrillo,Peru,24,AM(LR),4,2,194,1,0,1,7.25,2014-15,CONMEBOL Copa America
9,Eduardo Vargas,Chile,26,"AM(CLR),FW",6,5,476,4,1,1,7.24,2014-15,CONMEBOL Copa America
0,Martín Demichelis,Argentina,35,D(C),3,3,300,0,0,0,7.24,2014-15,CONMEBOL Copa America
1,Marcos Rojo,Argentina,25,D(CL),6,6,601,1,0,0,7.23,2014-15,CONMEBOL Copa America
2,Rodolph Austin,Jamaica,30,M(C),3,3,270,0,0,0,7.20,2014-15,CONMEBOL Copa America
3,Juan Cuadrado,Colombia,27,"D(R),M(CLR),FW",4,4,391,0,0,0,7.20,2014-15,CONMEBOL Copa America
