,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Didier Drogba,Chelsea,32,FW,32,31,2775,29,10,13,8.32,2009-10,ENG Premier League
1,Cesc Fàbregas,Arsenal,23,"M(CL),FW",27,26,2194,15,13,11,8.25,2009-10,ENG Premier League
2,Robin van Persie,Arsenal,27,"AM(C),FW",16,14,1256,9,7,2,8.07,2009-10,ENG Premier League
3,Luís Boa Morte,West Ham,33,"AM(C),FW",1,1,64,1,0,0,8.01,2009-10,ENG Premier League
4,Frank Lampard,Chelsea,32,M(C),36,36,3220,22,14,2,7.95,2009-10,ENG Premier League
5,Wayne Rooney,Man Utd,25,"M(CLR),FW",32,32,2723,26,3,5,7.91,2009-10,ENG Premier League
6,Mikel Arteta,Everton,28,M(C),13,11,1031,6,1,5,7.84,2009-10,ENG Premier League
7,Rafael,Man Utd,20,"D(LR),M(R)",8,8,683,1,1,0,7.82,2009-10,ENG Premier League
8,Abou Diaby,Arsenal,24,M(C),29,26,2322,6,3,6,7.76,2009-10,ENG Premier League
9,James Collins,West Ham,27,D(C),3,3,270,0,0,1,7.73,2009-10,ENG Premier League
0,Fernando Torres,Liverpool,26,FW,22,20,1718,18,3,5,7.65,2009-10,ENG Premier League
1,Gareth Bale,Tottenham,21,"M(CLR),FW",23,18,1707,3,5,2,7.64,2009-10,ENG Premier League
2,Florent Malouda,Chelsea,30,M(CL),33,26,2304,12,8,4,7.63,2009-10,ENG Premier League
3,Richard Dunne,Man City,31,D(C),2,2,180,0,0,0,7.61,2009-10,ENG Premier League
4,Glen Johnson,Liverpool,26,"D(CLR),M(R)",25,24,2141,3,3,0,7.61,2009-10,ENG Premier League
5,Michael Essien,Chelsea,28,"D(R),DMC",14,13,1195,3,0,1,7.60,2009-10,ENG Premier League
6,Nicolas Anelka,Chelsea,31,FW,33,31,2705,11,7,2,7.60,2009-10,ENG Premier League
7,Nemanja Vidic,Man Utd,29,D(C),24,24,2107,1,0,1,7.59,2009-10,ENG Premier League
8,Ciaran Clark,Aston Villa,21,D(CL),1,1,90,0,0,0,7.58,2009-10,ENG Premier League
9,Michael Dawson,Tottenham,27,D(C),29,25,2334,2,0,2,7.58,2009-10,ENG Premier League
0,Carlos Tevez,Man City,26,"AM(CL),FW",35,32,2871,23,7,6,7.57,2009-10,ENG Premier League
1,Christopher Samba,Blackburn,26,D(C),30,30,2597,4,0,2,7.55,2009-10,ENG Premier League
2,Curtis Davies,Aston Villa,25,D(C),2,2,180,1,0,1,7.55,2009-10,ENG Premier League
3,Grant Hanley,Blackburn,19,D(C),1,1,90,0,0,0,7.54,2009-10,ENG Premier League
4,Ritchie De Laet,Man Utd,22,D(CLR),2,2,148,0,0,0,7.53,2009-10,ENG Premier League
5,Steven Gerrard,Liverpool,30,M(C),33,32,2850,9,7,6,7.52,2009-10,ENG Premier League
6,Alexandre Song,Arsenal,23,M(C),26,25,2240,1,1,1,7.50,2009-10,ENG Premier League
7,Nani,Man Utd,24,"M(CLR),FW",23,19,1590,4,6,2,7.49,2009-10,ENG Premier League
8,Marouane Fellaini,Everton,23,M(C),23,20,1763,2,2,5,7.49,2009-10,ENG Premier League
9,Carlos Cuellar,Aston Villa,29,D(C),36,36,3240,2,1,5,7.48,2009-10,ENG Premier League
0,Tom Huddlestone,Tottenham,24,DMC,33,33,2851,2,3,1,7.48,2009-10,ENG Premier League
1,Kieran Gibbs,Arsenal,21,"D(L),M(L)",3,3,270,0,0,0,7.48,2009-10,ENG Premier League
2,Antonio Valencia,Man Utd,25,"D(R),M(R)",34,29,2615,5,7,6,7.47,2009-10,ENG Premier League
3,Branislav Ivanovic,Chelsea,26,D(CR),28,25,2256,1,5,1,7.47,2009-10,ENG Premier League
4,Richard Dunne,Aston Villa,31,D(C),35,35,3132,3,0,1,7.46,2009-10,ENG Premier League
5,Ryan Giggs,Man Utd,37,M(CL),25,20,1815,5,9,4,7.44,2009-10,ENG Premier League
6,Deco,Chelsea,33,M(C),19,14,1240,2,2,2,7.43,2009-10,ENG Premier League
7,Danny Rose,Tottenham,20,"D(L),M(L)",1,1,46,1,0,0,7.42,2009-10,ENG Premier League
8,Patrice Evra,Man Utd,29,"D(CL),M(L)",38,37,3288,0,3,2,7.42,2009-10,ENG Premier League
9,Gareth Barry,Man City,29,M(C),34,34,2996,2,7,1,7.41,2009-10,ENG Premier League
0,Dimitar Berbatov,Man Utd,29,"AM(C),FW",33,24,2096,12,5,6,7.41,2009-10,ENG Premier League
1,Ashley Cole,Chelsea,30,"D(L),M(L)",27,25,2157,4,3,0,7.41,2009-10,ENG Premier League
2,José Bosingwa,Chelsea,28,D(CLR),8,8,649,0,1,1,7.40,2009-10,ENG Premier League
3,Mohamed Diamé,Wigan,23,M(CLR),34,34,2865,1,1,4,7.40,2009-10,ENG Premier League
4,Niko Kranjcar,Tottenham,26,M(CL),24,19,1661,6,6,0,7.39,2009-10,ENG Premier League
5,Gaël Clichy,Arsenal,25,D(L),24,23,2086,0,1,0,7.38,2009-10,ENG Premier League
6,Steve Simonsen,Stoke,31,GK,3,2,229,0,0,1,7.38,2009-10,ENG Premier League
7,Thomas Vermaelen,Arsenal,25,D(CL),33,33,2799,7,1,0,7.38,2009-10,ENG Premier League
8,Sylvain Distin,Everton,33,D(C),29,29,2590,0,1,1,7.37,2009-10,ENG Premier League
9,James Milner,Aston Villa,25,"D(LR),M(CLR)",36,36,3175,7,12,2,7.37,2009-10,ENG Premier League
0,Alex,Chelsea,28,D(C),16,13,1269,1,0,0,7.37,2009-10,ENG Premier League
1,Emmanuel Adebayor,Man City,26,FW,26,25,2212,14,3,3,7.37,2009-10,ENG Premier League
2,Jonny Evans,Man Utd,23,D(CL),18,18,1587,0,0,1,7.37,2009-10,ENG Premier League
3,Steven Pienaar,Everton,28,M(CL),30,30,2663,4,2,0,7.35,2009-10,ENG Premier League
4,Andy Reid,Sunderland,28,M(CL),21,18,1645,2,6,3,7.35,2009-10,ENG Premier League
5,Franck Queudrue,Birmingham,32,DMC,6,6,496,0,0,0,7.34,2009-10,ENG Premier League
6,Younes Kaboul,Portsmouth,25,D(C),19,19,1710,3,0,1,7.34,2009-10,ENG Premier League
7,Scott Parker,West Ham,30,M(C),31,30,2576,2,3,2,7.33,2009-10,ENG Premier League
8,Aaron Lennon,Tottenham,23,M(LR),22,20,1805,3,9,1,7.33,2009-10,ENG Premier League
9,Benoit Assou-Ekotto,Tottenham,26,D(L),30,29,2535,1,2,2,7.33,2009-10,ENG Premier League
0,Darren Fletcher,Man Utd,26,M(C),30,29,2577,4,4,0,7.33,2009-10,ENG Premier League
1,Phil Jagielka,Everton,28,D(CR),12,11,1035,0,0,1,7.33,2009-10,ENG Premier League
2,Stiliyan Petrov,Aston Villa,31,"D(C),M(CR),FW",37,37,3272,0,1,4,7.33,2009-10,ENG Premier League
3,Gary Cahill,Bolton,25,D(C),29,29,2610,5,1,5,7.33,2009-10,ENG Premier League
4,Darren Bent,Sunderland,26,FW,38,38,3393,24,1,4,7.30,2009-10,ENG Premier League
5,Luka Modric,Tottenham,25,M(C),25,21,1916,3,3,2,7.30,2009-10,ENG Premier League
6,Kolo Touré,Man City,29,D(C),31,31,2711,1,0,1,7.29,2009-10,ENG Premier League
