,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Lionel Messi,Barcelona,23,"AM(CR),FW",35,30,2841,34,10,14,8.67,2009-10,ESP La Liga
1,Cristiano Ronaldo,Real Madrid,25,"M(L),FW",29,28,2490,26,7,13,8.54,2009-10,ESP La Liga
2,Gonzalo Higuaín,Real Madrid,23,FW,32,28,2401,27,5,6,7.90,2009-10,ESP La Liga
3,Dani Alves,Barcelona,27,"D(R),M(CR)",29,28,2505,3,10,2,7.85,2009-10,ESP La Liga
4,Ruud van Nistelrooij,Real Madrid,34,"AM(L),FW",1,0,11,1,1,0,7.81,2009-10,ESP La Liga
5,Javi Martínez,Athletic Bilbao,22,"D(C),M(C)",34,34,3003,6,1,5,7.71,2009-10,ESP La Liga
6,Sergio Ramos,Real Madrid,24,D(CR),33,33,2902,4,5,2,7.71,2009-10,ESP La Liga
7,Marcelo,Real Madrid,22,"D(L),M(L)",35,34,3001,4,9,1,7.68,2009-10,ESP La Liga
8,Xavi,Barcelona,30,DMC,34,31,2805,3,13,4,7.67,2009-10,ESP La Liga
9,Juan Cala,Sevilla,21,D(C),5,5,450,3,0,1,7.66,2009-10,ESP La Liga
0,Chema,Xerez,30,GK,3,3,270,0,0,1,7.65,2009-10,ESP La Liga
1,Antonio Luna,Sevilla,19,"D(L),M(L)",1,1,90,0,0,0,7.62,2009-10,ESP La Liga
2,Armando,Athletic Bilbao,39,GK,1,1,90,0,0,0,7.61,2009-10,ESP La Liga
3,Xabi Alonso,Real Madrid,29,M(C),34,34,3010,3,5,1,7.58,2009-10,ESP La Liga
4,Duda,Malaga,30,M(CLR),34,33,2917,8,7,6,7.56,2009-10,ESP La Liga
5,David Villa,Valencia,29,"AM(L),FW",32,31,2711,21,3,7,7.51,2009-10,ESP La Liga
6,Zlatan Ibrahimovic,Barcelona,29,FW,29,23,2037,16,7,2,7.48,2009-10,ESP La Liga
7,Pepe,Real Madrid,27,D(C),10,10,856,1,0,1,7.47,2009-10,ESP La Liga
8,Luís Fabiano,Sevilla,30,FW,23,18,1645,15,3,5,7.45,2009-10,ESP La Liga
9,Pedro León,Getafe,24,M(LR),35,33,2776,8,9,4,7.44,2009-10,ESP La Liga
0,Kaká,Real Madrid,28,"M(CL),FW",25,21,1829,8,5,0,7.43,2009-10,ESP La Liga
1,Eric Abidal,Barcelona,31,D(C),17,15,1407,0,4,0,7.42,2009-10,ESP La Liga
2,Gonzalo Castro,Mallorca,26,"AM(LR),FW",35,32,2868,6,8,3,7.42,2009-10,ESP La Liga
3,Filipe Luís,Deportivo,25,D(L),21,20,1786,3,1,3,7.38,2009-10,ESP La Liga
4,Fernando Llorente,Athletic Bilbao,25,FW,37,35,2870,14,5,5,7.34,2009-10,ESP La Liga
