,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Lionel Messi,Argentina,27,"AM(CR),FW",7,7,694,4,1,5,8.52,2013-14,FIFA World Cup
1,James Rodríguez,Colombia,23,"AM(CLR),FW",5,4,400,6,2,3,8.43,2013-14,FIFA World Cup
2,Arjen Robben,Netherlands,30,"M(CLR),FW",7,7,692,3,1,5,8.37,2013-14,FIFA World Cup
3,Neymar,Brazil,22,"AM(CLR),FW",5,5,459,4,1,2,8.22,2013-14,FIFA World Cup
4,Miralem Pjanic,Bosnia and Herzegovina,24,M(C),3,3,270,1,1,1,8.20,2013-14,FIFA World Cup
5,Alexis Sánchez,Chile,26,"M(CLR),FW",4,4,391,2,1,1,8.17,2013-14,FIFA World Cup
6,Ricardo Rodríguez,Switzerland,22,"D(CL),M(L)",4,4,390,0,2,1,8.12,2013-14,FIFA World Cup
7,Bacary Sagna,France,31,D(CR),1,1,90,0,0,0,8.10,2013-14,FIFA World Cup
8,John Brooks,USA,21,D(C),1,0,45,1,0,1,8.05,2013-14,FIFA World Cup
9,Juanfran,Spain,30,D(R),1,1,90,0,1,0,8.00,2013-14,FIFA World Cup
0,Raúl Albiol,Spain,29,D(C),1,1,90,0,0,0,7.99,2013-14,FIFA World Cup
1,Thomas Müller,Germany,25,"M(CLR),FW",7,7,682,5,3,2,7.98,2013-14,FIFA World Cup
2,Karim Benzema,France,27,FW,5,5,450,3,2,2,7.91,2013-14,FIFA World Cup
3,Stefan de Vrij,Netherlands,22,D(C),7,7,679,1,0,1,7.90,2013-14,FIFA World Cup
4,Tim Howard,USA,35,GK,4,4,390,0,0,1,7.90,2013-14,FIFA World Cup
5,Ángel Di María,Argentina,26,"M(CLR),FW",5,5,423,1,0,0,7.89,2013-14,FIFA World Cup
6,Kevin De Bruyne,Belgium,23,"M(CLR),FW",4,4,390,1,2,0,7.85,2013-14,FIFA World Cup
7,Mats Hummels,Germany,26,D(C),6,6,509,2,0,2,7.81,2013-14,FIFA World Cup
8,Diego Benaglio,Switzerland,31,GK,4,4,390,0,0,0,7.80,2013-14,FIFA World Cup
9,Mario Mandzukic,Croatia,28,"M(L),FW",2,2,180,2,0,1,7.80,2013-14,FIFA World Cup
0,Ron Vlaar,Netherlands,29,D(C),7,7,692,0,0,0,7.75,2013-14,FIFA World Cup
1,Xherdan Shaqiri,Switzerland,23,M(CLR),4,4,387,3,0,1,7.74,2013-14,FIFA World Cup
2,Toni Kroos,Germany,25,M(C),7,7,690,2,3,1,7.72,2013-14,FIFA World Cup
3,Alexander Domínguez,Ecuador,27,GK,3,3,270,0,0,1,7.68,2013-14,FIFA World Cup
4,Serge Aurier,Ivory Coast,22,"D(CLR),M(R)",3,3,270,0,2,1,7.65,2013-14,FIFA World Cup
5,Avdija Vrsajevic,Bosnia and Herzegovina,28,D(R),1,1,90,1,0,0,7.64,2013-14,FIFA World Cup
6,Frank Lampard,England,36,M(C),1,1,90,0,0,1,7.64,2013-14,FIFA World Cup
7,Ivan Perisic,Croatia,25,"M(CLR),FW",3,3,258,2,1,0,7.62,2013-14,FIFA World Cup
8,Martín Demichelis,Argentina,34,D(C),3,3,331,0,0,0,7.57,2013-14,FIFA World Cup
9,Roy Miller,Costa Rica,30,D(CL),1,1,90,0,0,0,7.57,2013-14,FIFA World Cup
0,Mathieu Valbuena,France,30,M(CLR),4,4,335,1,1,0,7.56,2013-14,FIFA World Cup
1,Marcos Rojo,Argentina,24,D(CL),6,6,618,1,0,0,7.55,2013-14,FIFA World Cup
2,Juan Cuadrado,Colombia,26,"D(R),M(CLR),FW",5,5,387,1,4,1,7.54,2013-14,FIFA World Cup
3,Javier Mascherano,Argentina,30,"D(C),M(C)",7,7,721,0,0,0,7.53,2013-14,FIFA World Cup
4,David Villa,Spain,33,"AM(L),FW",1,1,59,1,0,0,7.53,2013-14,FIFA World Cup
5,Dani Alves,Brazil,31,"D(R),M(CR)",4,4,391,0,0,0,7.53,2013-14,FIFA World Cup
6,Yacine Brahimi,Algeria,24,M(CLR),3,2,190,1,1,1,7.52,2013-14,FIFA World Cup
7,Enner Valencia,Ecuador,25,"AM(LR),FW",3,3,270,3,0,1,7.50,2013-14,FIFA World Cup
8,Nicolas Lombaerts,Belgium,29,D(C),1,1,90,0,0,0,7.50,2013-14,FIFA World Cup
9,Giancarlo González,Costa Rica,26,D(C),5,5,512,0,0,1,7.50,2013-14,FIFA World Cup
0,Harrison Afful,Ghana,28,"D(R),M(R)",2,2,180,0,1,0,7.49,2013-14,FIFA World Cup
1,Keisuke Honda,Japan,28,M(CR),3,3,270,1,1,0,7.48,2013-14,FIFA World Cup
2,Blaise Matuidi,France,27,M(CL),5,5,427,1,0,0,7.48,2013-14,FIFA World Cup
3,Sulley Muntari,Ghana,30,M(C),2,2,180,0,1,0,7.47,2013-14,FIFA World Cup
4,Ben Foster,England,31,GK,1,1,90,0,0,0,7.47,2013-14,FIFA World Cup
5,Chris Smalling,England,25,D(CR),1,1,90,0,0,0,7.47,2013-14,FIFA World Cup
6,Allan-Roméo Nyom,Cameroon,26,"D(LR),M(R)",1,1,90,0,1,0,7.45,2013-14,FIFA World Cup
7,Keylor Navas,Costa Rica,28,GK,5,5,512,0,0,0,7.45,2013-14,FIFA World Cup
8,Eden Hazard,Belgium,24,"M(CLR),FW",5,4,368,0,2,2,7.44,2013-14,FIFA World Cup
9,Sofiane Feghouli,Algeria,25,M(CR),4,4,390,1,2,0,7.44,2013-14,FIFA World Cup
0,Jan Vertonghen,Belgium,27,D(CL),5,4,449,1,0,1,7.44,2013-14,FIFA World Cup
1,Kenneth Omeruo,Nigeria,21,D(C),4,4,360,0,0,0,7.44,2013-14,FIFA World Cup
2,Ezequiel Garay,Argentina,28,D(C),7,7,721,0,0,1,7.43,2013-14,FIFA World Cup
3,Diego Godín,Uruguay,28,D(C),4,4,360,1,0,1,7.43,2013-14,FIFA World Cup
4,Daniel Van Buyten,Belgium,36,D(C),5,5,480,0,0,0,7.42,2013-14,FIFA World Cup
5,Sergei Ignashevich,Russia,35,D(C),3,3,270,0,0,0,7.41,2013-14,FIFA World Cup
6,Georgios Samaras,Greece,29,"AM(L),FW",4,4,391,1,1,1,7.41,2013-14,FIFA World Cup
7,Claudio Bravo,Chile,31,GK,4,4,391,0,0,1,7.40,2013-14,FIFA World Cup
8,Mathieu Debuchy,France,29,"D(CR),M(R)",4,4,360,0,0,0,7.40,2013-14,FIFA World Cup
9,Oscar,Brazil,23,M(CLR),7,7,641,2,2,1,7.39,2013-14,FIFA World Cup
0,Paul Pogba,France,21,M(CL),5,4,355,1,1,1,7.39,2013-14,FIFA World Cup
1,Sokratis Papastathopoulos,Greece,26,D(CR),4,4,391,1,0,0,7.39,2013-14,FIFA World Cup
2,Jermaine Jones,USA,33,"D(C),M(C)",4,4,390,1,1,1,7.39,2013-14,FIFA World Cup
3,Gary Medel,Chile,27,"D(C),DMC",4,4,378,0,0,0,7.39,2013-14,FIFA World Cup
4,Rafael Márquez,Mexico,35,D(C),4,4,360,1,1,2,7.38,2013-14,FIFA World Cup
5,Mehrdad Pooladi,Iran,27,D(CLR),3,3,270,0,0,1,7.38,2013-14,FIFA World Cup
6,Geoff Cameron,USA,29,"D(CLR),DMC",3,3,300,0,0,0,7.37,2013-14,FIFA World Cup
7,Daley Blind,Netherlands,24,"D(CL),DMC,M(L)",7,7,672,1,3,0,7.37,2013-14,FIFA World Cup
8,Philipp Lahm,Germany,31,"D(R),DMC",7,7,690,0,2,0,7.36,2013-14,FIFA World Cup
9,Vincent Enyeama,Nigeria,32,GK,4,4,360,0,0,0,7.35,2013-14,FIFA World Cup
0,David Luiz,Brazil,27,"D(C),DMC",7,7,661,2,1,0,7.35,2013-14,FIFA World Cup
1,Muhamed Besic,Bosnia and Herzegovina,22,DMC,3,3,270,0,0,0,7.35,2013-14,FIFA World Cup
2,Memphis Depay,Netherlands,20,"AM(CL),FW",4,1,174,2,1,0,7.34,2013-14,FIFA World Cup
3,Sergio Ramos,Spain,28,D(CR),3,3,270,0,0,0,7.34,2013-14,FIFA World Cup
4,Essaïd Belkalem,Algeria,26,D(C),3,2,211,0,0,1,7.33,2013-14,FIFA World Cup
5,Salvatore Sirigu,Italy,28,GK,1,1,90,0,0,0,7.33,2013-14,FIFA World Cup
6,Asamoah Gyan,Ghana,29,FW,3,3,270,2,1,1,7.33,2013-14,FIFA World Cup
7,Daryl Janmaat,Netherlands,25,"D(CR),M(R)",5,3,366,0,2,0,7.33,2013-14,FIFA World Cup
8,Koke,Spain,23,M(CLR),2,1,135,0,0,0,7.32,2013-14,FIFA World Cup
9,Efe Ambrose,Nigeria,26,D(CR),4,4,360,0,0,0,7.32,2013-14,FIFA World Cup
0,Giorgio Chiellini,Italy,30,D(C),3,3,270,0,0,0,7.31,2013-14,FIFA World Cup
1,Leroy Fer,Netherlands,25,M(CL),1,0,16,1,0,0,7.31,2013-14,FIFA World Cup
2,Gervinho,Ivory Coast,27,"M(LR),FW",3,3,263,2,1,0,7.30,2013-14,FIFA World Cup
3,Fabian Schär,Switzerland,23,D(C),2,2,210,0,0,0,7.30,2013-14,FIFA World Cup
4,Emir Spahic,Bosnia and Herzegovina,34,D(C),3,3,270,0,0,0,7.30,2013-14,FIFA World Cup
5,Gökhan Inler,Switzerland,30,DMC,4,4,390,0,1,0,7.29,2013-14,FIFA World Cup
6,Vasili Berezutski,Russia,32,D(C),3,3,270,0,0,0,7.29,2013-14,FIFA World Cup
7,Robin van Persie,Netherlands,31,"AM(C),FW",6,6,549,4,0,0,7.29,2013-14,FIFA World Cup
8,Abdelmoumene Djabou,Algeria,27,M(CLR),3,2,170,2,1,0,7.28,2013-14,FIFA World Cup
9,David Ospina,Colombia,26,GK,5,5,445,0,0,0,7.28,2013-14,FIFA World Cup
0,Kwadwo Asamoah,Ghana,26,"D(L),M(CL)",3,3,270,0,1,0,7.28,2013-14,FIFA World Cup
1,Tim Cahill,Australia,35,"M(C),FW",2,2,158,2,0,0,7.28,2013-14,FIFA World Cup
2,Federico Fernández,Argentina,25,D(C),4,4,390,0,0,0,7.27,2013-14,FIFA World Cup
3,André Ayew,Ghana,25,"M(CLR),FW",3,3,261,2,0,0,7.27,2013-14,FIFA World Cup
4,Toni Sunjic,Bosnia and Herzegovina,26,D(C),2,2,180,0,0,0,7.27,2013-14,FIFA World Cup
5,Luiz Gustavo,Brazil,27,"D(C),M(C)",6,6,528,0,1,1,7.27,2013-14,FIFA World Cup
6,Lucas Digne,France,21,"D(CL),M(L)",1,1,90,0,0,0,7.26,2013-14,FIFA World Cup
7,Ki Sung-Yeung,South Korea,25,DMC,3,3,270,0,1,1,7.25,2013-14,FIFA World Cup
8,Hugo Campagnaro,Argentina,34,D(CR),1,1,46,0,0,0,7.25,2013-14,FIFA World Cup
9,Patrice Evra,France,33,"D(CL),M(L)",4,4,360,0,1,0,7.25,2013-14,FIFA World Cup
0,Héctor Herrera,Mexico,24,M(C),4,4,346,0,1,0,7.24,2013-14,FIFA World Cup
1,Yohan Cabaye,France,29,M(C),4,4,318,0,0,0,7.24,2013-14,FIFA World Cup
2,Jackson Martínez,Colombia,28,FW,3,2,194,2,0,0,7.23,2013-14,FIFA World Cup
3,Aïssa Mandi,Algeria,23,D(CLR),3,3,300,0,0,0,7.23,2013-14,FIFA World Cup
4,Manuel Neuer,Germany,28,GK,7,7,690,0,0,0,7.23,2013-14,FIFA World Cup
5,Raïs M'Bolhi,Algeria,28,GK,4,4,390,0,0,0,7.23,2013-14,FIFA World Cup
6,Luis Suárez,Uruguay,27,"AM(CLR),FW",2,2,178,2,0,0,7.23,2013-14,FIFA World Cup
7,Christian Noboa,Ecuador,29,M(C),3,3,269,0,0,0,7.22,2013-14,FIFA World Cup
8,Son Heung-Min,South Korea,22,"M(CLR),FW",3,3,248,1,0,1,7.22,2013-14,FIFA World Cup
9,Morgan Schneiderlin,France,25,DMC,1,1,90,0,0,0,7.22,2013-14,FIFA World Cup
0,Benedikt Höwedes,Germany,26,D(CLR),7,7,690,0,0,0,7.22,2013-14,FIFA World Cup
1,Mario Yepes,Colombia,39,D(C),4,4,360,0,0,0,7.22,2013-14,FIFA World Cup
2,Nani,Portugal,28,"M(CLR),FW",3,3,270,1,0,0,7.22,2013-14,FIFA World Cup
3,Luka Modric,Croatia,29,M(C),3,3,270,0,0,0,7.22,2013-14,FIFA World Cup
4,Cristiano Ronaldo,Portugal,29,"M(L),FW",3,3,270,1,1,0,7.21,2013-14,FIFA World Cup
5,Gary Cahill,England,29,D(C),3,3,270,0,0,0,7.21,2013-14,FIFA World Cup
6,Jérôme Boateng,Germany,26,D(CR),7,7,647,0,0,0,7.21,2013-14,FIFA World Cup
7,Carlos Valdés,Colombia,29,D(C),1,1,90,0,0,0,7.21,2013-14,FIFA World Cup
8,Yaya Touré,Ivory Coast,31,M(C),3,3,270,0,0,0,7.21,2013-14,FIFA World Cup
9,Walter Ayoví,Ecuador,35,D(L),3,3,270,0,2,0,7.20,2013-14,FIFA World Cup
0,Clint Dempsey,USA,31,"M(CL),FW",4,4,387,2,0,0,7.19,2013-14,FIFA World Cup
1,José Holebas,Greece,30,"D(CL),M(L)",4,4,391,0,0,0,7.19,2013-14,FIFA World Cup
2,Rafik Halliche,Algeria,28,D(C),4,4,367,1,0,0,7.18,2013-14,FIFA World Cup
3,Matt Besler,USA,27,D(C),4,4,347,0,0,0,7.18,2013-14,FIFA World Cup
4,Mesut Özil,Germany,26,M(CLR),7,7,655,1,1,0,7.17,2013-14,FIFA World Cup
5,Abel Aguilar,Colombia,30,M(C),3,3,238,0,2,0,7.17,2013-14,FIFA World Cup
6,Marco Verratti,Italy,22,M(C),2,2,133,0,1,0,7.17,2013-14,FIFA World Cup
7,Jonathan Mensah,Ghana,24,D(CR),3,3,270,0,0,0,7.17,2013-14,FIFA World Cup
8,Thiago Silva,Brazil,30,D(C),6,6,571,1,0,1,7.16,2013-14,FIFA World Cup
9,Andrés Iniesta,Spain,30,M(CL),3,3,270,0,1,0,7.15,2013-14,FIFA World Cup
0,Héctor Moreno,Mexico,26,D(CL),4,4,317,0,0,0,7.15,2013-14,FIFA World Cup
1,Mamadou Sakho,France,24,D(C),4,4,289,0,0,0,7.15,2013-14,FIFA World Cup
2,Maza Rodríguez,Mexico,33,D(C),4,4,360,0,0,0,7.15,2013-14,FIFA World Cup
3,Francisco Silva,Chile,28,"D(C),M(C)",3,3,281,0,0,0,7.14,2013-14,FIFA World Cup
4,Emmanuel Emenike,Nigeria,27,"AM(R),FW",4,4,360,0,2,1,7.14,2013-14,FIFA World Cup
5,Dirk Kuyt,Netherlands,34,"M(CLR),FW",5,5,511,0,0,0,7.14,2013-14,FIFA World Cup
6,Axel Witsel,Belgium,26,"D(C),M(C)",4,4,390,0,0,0,7.14,2013-14,FIFA World Cup
7,Admir Mehmedi,Switzerland,23,"M(CLR),FW",4,3,338,1,0,0,7.13,2013-14,FIFA World Cup
8,Juan Mata,Spain,26,AM(CLR),1,0,33,1,0,0,7.12,2013-14,FIFA World Cup
9,Atsuto Uchida,Japan,26,"D(R),M(R)",3,3,270,0,0,0,7.12,2013-14,FIFA World Cup
0,Jordy Clasie,Netherlands,23,"D(C),DMC",2,1,149,0,0,0,7.12,2013-14,FIFA World Cup
1,Dmitri Kombarov,Russia,27,"D(L),M(L)",3,3,270,0,1,0,7.11,2013-14,FIFA World Cup
2,Tino-Sven Susic,Bosnia and Herzegovina,22,M(C),2,1,105,0,1,0,7.11,2013-14,FIFA World Cup
3,Charles Aránguiz,Chile,25,M(C),4,4,365,1,1,0,7.10,2013-14,FIFA World Cup
4,Vincent Kompany,Belgium,28,D(C),4,4,390,0,0,0,7.10,2013-14,FIFA World Cup
5,Julian Green,USA,19,"M(CL),FW",1,0,14,1,0,0,7.09,2013-14,FIFA World Cup
6,Cristian Gamboa,Costa Rica,25,"D(R),M(R)",5,5,426,0,0,0,7.09,2013-14,FIFA World Cup
7,Marcelo,Brazil,26,"D(L),M(L)",6,6,571,0,2,0,7.08,2013-14,FIFA World Cup
8,Toby Alderweireld,Belgium,25,D(CR),4,4,390,0,0,0,7.08,2013-14,FIFA World Cup
9,Hong Jeong-Ho,South Korea,25,D(C),3,3,252,0,0,0,7.08,2013-14,FIFA World Cup
0,Frickson Erazo,Ecuador,26,D(C),3,3,270,0,0,0,7.08,2013-14,FIFA World Cup
1,Michael Umaña,Costa Rica,32,D(CLR),4,4,422,0,0,0,7.07,2013-14,FIFA World Cup
2,Wayne Rooney,England,29,"M(CLR),FW",3,2,194,1,1,1,7.07,2013-14,FIFA World Cup
3,Ivan Rakitic,Croatia,26,M(C),3,3,270,0,1,0,7.07,2013-14,FIFA World Cup
4,Luke Shaw,England,19,"D(CL),M(L)",1,1,90,0,0,0,7.07,2013-14,FIFA World Cup
5,Pablo Zabaleta,Argentina,29,"D(R),DMC,M(R)",7,7,721,0,0,0,7.06,2013-14,FIFA World Cup
6,Óscar Duarte,Costa Rica,25,"D(C),DMC",4,4,336,1,0,0,7.06,2013-14,FIFA World Cup
7,Júnior Díaz,Costa Rica,31,D(CL),5,5,512,0,1,0,7.06,2013-14,FIFA World Cup
8,Giannis Maniatis,Greece,28,"D(R),M(CR)",4,4,349,0,0,0,7.06,2013-14,FIFA World Cup
9,James Milner,England,29,"D(LR),M(CLR)",1,1,76,0,0,0,7.06,2013-14,FIFA World Cup
0,Leonardo Bonucci,Italy,27,D(C),1,1,90,0,0,0,7.06,2013-14,FIFA World Cup
1,Marouane Fellaini,Belgium,27,M(C),5,4,415,1,0,0,7.05,2013-14,FIFA World Cup
2,Lazaros Christodoulopoulos,Greece,28,"AM(CLR),FW",2,2,211,0,0,0,7.04,2013-14,FIFA World Cup
3,Cristián Zapata,Colombia,28,D(C),4,4,360,0,0,0,7.04,2013-14,FIFA World Cup
4,Mousa Dembélé,Belgium,27,M(CR),2,2,155,0,0,0,7.04,2013-14,FIFA World Cup
5,Bastian Schweinsteiger,Germany,30,"D(C),M(C)",6,5,505,0,0,0,7.03,2013-14,FIFA World Cup
6,Ogenyi Onazi,Nigeria,22,DMC,4,4,330,0,0,0,7.03,2013-14,FIFA World Cup
7,Andreas Samaris,Greece,25,"D(C),DMC",2,1,136,1,0,0,7.03,2013-14,FIFA World Cup
8,Djamel Mesbah,Algeria,30,"D(L),M(L)",2,2,180,0,0,0,7.03,2013-14,FIFA World Cup
9,Guillermo Ochoa,Mexico,29,GK,4,4,360,0,0,0,7.02,2013-14,FIFA World Cup
0,Andrea Barzagli,Italy,33,D(CR),3,3,270,0,0,0,7.02,2013-14,FIFA World Cup
1,Darijo Srna,Croatia,32,D(R),3,3,270,0,0,0,7.01,2013-14,FIFA World Cup
2,Mario Götze,Germany,22,"M(CLR),FW",6,3,258,2,0,1,7.00,2013-14,FIFA World Cup
3,Wesley Sneijder,Netherlands,30,AM(CL),6,6,587,1,1,0,7.00,2013-14,FIFA World Cup
4,Gianluigi Buffon,Italy,36,GK,2,2,180,0,0,0,7.00,2013-14,FIFA World Cup
5,André Schürrle,Germany,24,"M(CLR),FW",6,0,244,3,1,0,6.99,2013-14,FIFA World Cup
6,Jorge Sammir Cruz Campos,Croatia,27,"AM(C),FW",1,1,72,0,0,0,6.99,2013-14,FIFA World Cup
7,Sami Khedira,Germany,27,M(C),5,4,376,1,1,0,6.99,2013-14,FIFA World Cup
8,Islam Slimani,Algeria,26,FW,4,3,324,2,1,0,6.99,2013-14,FIFA World Cup
9,Edin Dzeko,Bosnia and Herzegovina,28,FW,3,3,264,1,0,0,6.99,2013-14,FIFA World Cup
0,Carlos Sánchez,Colombia,28,"D(C),M(C)",4,4,360,0,0,0,6.99,2013-14,FIFA World Cup
1,Henri Bedimo,Cameroon,30,D(L),1,1,90,0,0,0,6.98,2013-14,FIFA World Cup
2,Yuto Nagatomo,Japan,28,"D(LR),M(LR)",3,3,270,0,1,0,6.98,2013-14,FIFA World Cup
3,John Obi Mikel,Nigeria,27,M(C),4,4,360,0,0,0,6.97,2013-14,FIFA World Cup
4,Éder Balanta,Colombia,21,"D(C),DMC",1,1,90,0,0,0,6.97,2013-14,FIFA World Cup
5,Panagiotis Glykos,Greece,28,GK,1,0,66,0,0,0,6.97,2013-14,FIFA World Cup
6,Miroslav Klose,Germany,36,FW,5,3,281,2,0,0,6.97,2013-14,FIFA World Cup
7,Carl Medjani,Algeria,29,"D(C),DMC",3,3,264,0,1,0,6.97,2013-14,FIFA World Cup
8,Jason Davidson,Australia,23,D(CL),3,3,270,0,0,0,6.96,2013-14,FIFA World Cup
9,Phil Jones,England,22,"D(CR),DMC",1,1,90,0,0,0,6.96,2013-14,FIFA World Cup
0,Joel Campbell,Costa Rica,22,"AM(CLR),FW",5,5,416,1,1,1,6.95,2013-14,FIFA World Cup
1,Asmir Begovic,Bosnia and Herzegovina,27,GK,3,3,270,0,0,0,6.95,2013-14,FIFA World Cup
2,Miguel Veloso,Portugal,28,M(C),3,3,226,0,0,0,6.94,2013-14,FIFA World Cup
3,Omar González,USA,26,D(C),3,2,211,0,0,0,6.94,2013-14,FIFA World Cup
4,Maya Yoshida,Japan,26,D(CR),3,3,270,0,0,0,6.93,2013-14,FIFA World Cup
5,Senad Lulic,Bosnia and Herzegovina,28,"D(L),M(CL)",2,2,148,0,1,0,6.93,2013-14,FIFA World Cup
6,Ivan Franjic,Australia,27,D(CLR),1,1,49,0,1,0,6.92,2013-14,FIFA World Cup
7,Raphaël Varane,France,21,D(C),5,4,389,0,0,0,6.92,2013-14,FIFA World Cup
8,Georginio Wijnaldum,Netherlands,24,M(CLR),7,5,552,1,0,0,6.92,2013-14,FIFA World Cup
9,DaMarcus Beasley,USA,32,D(L),4,4,390,0,0,0,6.91,2013-14,FIFA World Cup
0,José Basanta,Argentina,30,D(C),2,1,105,0,0,0,6.91,2013-14,FIFA World Cup
1,Viktor Faizulin,Russia,28,M(C),3,3,270,0,0,0,6.91,2013-14,FIFA World Cup
2,Pablo Armero,Colombia,28,"D(L),M(L)",5,5,417,1,0,0,6.91,2013-14,FIFA World Cup
3,Juan Camilo Zuñiga,Colombia,29,"D(LR),M(L)",4,4,360,0,0,0,6.91,2013-14,FIFA World Cup
4,Josip Drmic,Switzerland,22,"AM(LR),FW",4,3,253,0,2,0,6.91,2013-14,FIFA World Cup
5,Juan Paredes,Ecuador,27,"D(R),M(R)",3,3,270,0,0,0,6.90,2013-14,FIFA World Cup
6,Giorgos Karagounis,Greece,37,AM(C),4,2,259,0,0,0,6.90,2013-14,FIFA World Cup
7,Madjid Bougherra,Algeria,32,D(C),3,2,202,0,0,0,6.89,2013-14,FIFA World Cup
8,Paul Aguilar,Mexico,28,M(CLR),4,4,360,0,0,0,6.89,2013-14,FIFA World Cup
9,Per Mertesacker,Germany,30,D(C),6,4,436,0,0,0,6.89,2013-14,FIFA World Cup
0,Nigel de Jong,Netherlands,30,M(C),5,5,341,0,0,0,6.88,2013-14,FIFA World Cup
1,Andrea Pirlo,Italy,35,M(C),3,3,270,0,0,0,6.88,2013-14,FIFA World Cup
2,Javad Nekounam,Iran,34,"D(C),M(CR)",3,3,270,0,1,0,6.88,2013-14,FIFA World Cup
3,Ahmed Musa,Nigeria,22,"M(CLR),FW",4,4,335,2,0,0,6.88,2013-14,FIFA World Cup
4,Divock Origi,Belgium,19,"AM(LR),FW",5,2,246,1,0,0,6.87,2013-14,FIFA World Cup
5,Johan Djourou,Switzerland,27,D(C),4,4,390,0,0,0,6.87,2013-14,FIFA World Cup
6,Benoit Assou-Ekotto,Cameroon,30,D(L),2,2,180,0,0,0,6.87,2013-14,FIFA World Cup
7,Cristian Rodríguez,Uruguay,29,AM(CL),4,4,334,0,0,0,6.87,2013-14,FIFA World Cup
8,José Giménez,Uruguay,19,D(CR),3,3,270,0,0,0,6.87,2013-14,FIFA World Cup
9,Lee Chung-Yong,South Korea,26,M(CLR),3,3,244,0,0,0,6.87,2013-14,FIFA World Cup
0,Makoto Hasebe,Japan,30,"D(CR),M(CR)",3,3,190,0,0,0,6.87,2013-14,FIFA World Cup
1,Eugenio Mena,Chile,26,"D(L),M(L)",4,4,391,0,0,0,6.87,2013-14,FIFA World Cup
2,Peter Odemwingie,Nigeria,33,"AM(LR),FW",4,3,281,1,0,0,6.87,2013-14,FIFA World Cup
3,Ashkan Dejagah,Iran,28,M(LR),3,3,232,0,0,0,6.86,2013-14,FIFA World Cup
