,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Jean-Louis Leca,Valenciennes,25,GK,1,1,90,0,0,0,8.18,2009-10,FRA Ligue 1
1,Anthony Mounier,Lyon,23,AM(CLR),1,1,90,0,1,0,7.96,2009-10,FRA Ligue 1
2,Nenê,Monaco,29,"AM(CLR),FW",34,34,2997,14,4,8,7.73,2009-10,FRA Ligue 1
3,Fabio Grosso,Lyon,33,D(CL),1,1,90,0,0,0,7.68,2009-10,FRA Ligue 1
4,Florian Bague,Boulogne,26,GK,1,1,90,0,0,0,7.67,2009-10,FRA Ligue 1
5,Laurent Koscielny,Lorient,25,D(C),35,35,3118,3,0,4,7.57,2009-10,FRA Ligue 1
6,Benoit Pedretti,Auxerre,30,M(C),36,36,3220,4,4,6,7.53,2009-10,FRA Ligue 1
7,Mamadou Niang,Marseille,31,"AM(CLR),FW",32,29,2494,18,6,4,7.50,2009-10,FRA Ligue 1
8,Yohan Cabaye,Lille,24,M(C),32,30,2557,13,7,6,7.50,2009-10,FRA Ligue 1
9,Yoann Gourcuff,Bordeaux,24,M(CL),29,26,2269,6,7,5,7.49,2009-10,FRA Ligue 1
0,Cris,Lyon,33,D(C),34,34,3060,4,1,5,7.47,2009-10,FRA Ligue 1
1,Abdoulaye Diallo,Rennes,18,GK,1,1,90,0,0,0,7.43,2009-10,FRA Ligue 1
2,Wendel,Bordeaux,28,M(CL),31,25,2205,11,6,3,7.42,2009-10,FRA Ligue 1
3,Hamdi Kasraoui,Lens,27,GK,6,6,540,0,0,1,7.39,2009-10,FRA Ligue 1
4,Gervinho,Lille,23,"M(LR),FW",32,28,2472,13,4,3,7.39,2009-10,FRA Ligue 1
5,Serge Aurier,Lens,18,"D(CLR),M(R)",5,5,450,0,0,0,7.36,2009-10,FRA Ligue 1
6,Lionel Letizi,Nice,37,GK,2,1,145,0,0,1,7.35,2009-10,FRA Ligue 1
7,Souleymane Diawara,Marseille,32,D(C),37,37,3330,4,1,1,7.34,2009-10,FRA Ligue 1
8,Mathieu Debuchy,Lille,25,"D(CR),M(R)",31,30,2674,1,1,0,7.34,2009-10,FRA Ligue 1
9,Julien Féret,Nancy,28,M(C),37,35,3155,5,9,4,7.34,2009-10,FRA Ligue 1
0,Lionel Cappone,Lorient,31,GK,3,3,270,0,0,1,7.33,2009-10,FRA Ligue 1
1,Rudy Mater,Valenciennes,30,D(R),28,28,2316,2,5,2,7.33,2009-10,FRA Ligue 1
2,Emir Spahic,Montpellier,30,D(C),34,34,3005,2,1,5,7.33,2009-10,FRA Ligue 1
3,Jean-Alain Boumsong,Lyon,31,"D(CL),DMC",19,19,1705,1,0,1,7.32,2009-10,FRA Ligue 1
4,Sylvain Marveaux,Rennes,24,"AM(CLR),FW",35,33,2724,10,5,5,7.31,2009-10,FRA Ligue 1
5,Benoit Cheyrou,Marseille,29,M(C),32,27,2408,5,5,3,7.31,2009-10,FRA Ligue 1
6,Stéphane Grichting,Auxerre,31,"D(CL),DMC",37,37,3217,0,0,1,7.30,2009-10,FRA Ligue 1
7,Lucho González,Marseille,29,M(C),32,28,2370,5,12,3,7.30,2009-10,FRA Ligue 1
8,Alou Diarra,Bordeaux,29,"D(C),M(C)",30,30,2554,1,0,0,7.29,2009-10,FRA Ligue 1
9,Michael Ciani,Bordeaux,26,D(C),30,29,2513,2,0,4,7.28,2009-10,FRA Ligue 1
0,Elinton Andrade,Marseille,31,GK,3,2,243,0,0,0,7.28,2009-10,FRA Ligue 1
1,Jérémy Toulalan,Lyon,27,"D(C),M(C)",31,27,2482,0,1,1,7.27,2009-10,FRA Ligue 1
2,Aurélien Chedjou,Lille,25,"D(C),DMC",31,28,2449,2,1,2,7.26,2009-10,FRA Ligue 1
3,Guy Ndy Assembé,Valenciennes,24,GK,17,17,1530,0,0,3,7.26,2009-10,FRA Ligue 1
4,Aly Cissokho,Lyon,23,"D(L),M(L)",31,31,2735,0,3,1,7.26,2009-10,FRA Ligue 1
5,Maxime Gonalons,Lyon,21,"D(C),M(C)",15,12,1073,1,0,0,7.26,2009-10,FRA Ligue 1
6,Loic Perrin,Saint-Etienne,25,D(C),18,15,1309,2,0,3,7.26,2009-10,FRA Ligue 1
7,Alberto Costa,Montpellier,26,M(C),31,31,2674,7,6,3,7.24,2009-10,FRA Ligue 1
8,Pascal Berenguer,Nancy,29,"D(C),M(CR)",30,29,2600,2,1,2,7.24,2009-10,FRA Ligue 1
9,Sylvain Marchal,Lorient,30,D(C),31,31,2704,1,0,2,7.24,2009-10,FRA Ligue 1
0,Adama Coulibaly,Auxerre,30,"D(CL),DMC",33,33,2960,1,2,3,7.24,2009-10,FRA Ligue 1
1,Rod Fanni,Rennes,29,D(CR),38,38,3420,0,3,2,7.22,2009-10,FRA Ligue 1
2,Taye Ismaila Taiwo,Marseille,25,D(CL),27,24,2165,3,2,2,7.22,2009-10,FRA Ligue 1
3,Gabriel Heinze,Marseille,32,"D(CL),DMC",27,26,2252,4,1,2,7.21,2009-10,FRA Ligue 1
4,Brandão,Marseille,30,FW,30,27,2452,8,5,4,7.21,2009-10,FRA Ligue 1
5,Eden Hazard,Lille,20,"M(CLR),FW",37,31,2696,5,8,3,7.20,2009-10,FRA Ligue 1
6,Stéphane Sessegnon,PSG,26,M(CLR),29,27,2358,4,5,1,7.20,2009-10,FRA Ligue 1
7,André-Pierre Gignac,Toulouse,25,FW,31,30,2718,8,4,2,7.20,2009-10,FRA Ligue 1
8,Abdoulaye Keita,Bordeaux,20,GK,1,0,56,0,0,0,7.20,2009-10,FRA Ligue 1
9,Habib Bellaid,Boulogne,24,D(L),9,9,805,0,0,2,7.20,2009-10,FRA Ligue 1
0,Cedric Hengbart,Auxerre,30,D(CR),37,37,3259,5,1,2,7.19,2009-10,FRA Ligue 1
1,Lamine Sané,Bordeaux,23,"D(C),M(C)",17,14,1313,1,0,1,7.19,2009-10,FRA Ligue 1
2,Arnaud Le Lan,Lorient,32,D(L),20,17,1517,0,2,0,7.19,2009-10,FRA Ligue 1
3,Dany Nounkeu,Toulouse,24,D(C),17,17,1530,0,0,1,7.18,2009-10,FRA Ligue 1
4,Anthony Loustallot,Toulouse,18,GK,1,1,90,0,0,0,7.18,2009-10,FRA Ligue 1
5,Kevin Gameiro,Lorient,23,FW,35,34,2995,17,7,4,7.18,2009-10,FRA Ligue 1
6,Guillaume Hoarau,PSG,26,FW,22,17,1546,6,3,3,7.17,2009-10,FRA Ligue 1
7,Dejan Lovren,Lyon,21,D(C),8,8,682,0,0,0,7.17,2009-10,FRA Ligue 1
8,Morgan Amalfitano,Lorient,25,M(CLR),37,37,3286,6,5,2,7.17,2009-10,FRA Ligue 1
9,Florent Balmont,Lille,30,DMC,35,35,3036,2,5,0,7.16,2009-10,FRA Ligue 1
0,Antony Lecointe,Boulogne,30,D(R),22,19,1773,0,3,1,7.16,2009-10,FRA Ligue 1
1,Cheikh M'Bengue,Toulouse,22,"D(CL),M(L)",30,30,2624,1,2,2,7.15,2009-10,FRA Ligue 1
2,Siaka Tiéné,Valenciennes,28,"D(L),M(L)",28,26,2274,1,1,1,7.15,2009-10,FRA Ligue 1
3,Kim Källström,Lyon,28,M(C),32,28,2293,4,6,3,7.15,2009-10,FRA Ligue 1
4,Christophe Jallet,PSG,27,"D(LR),M(L)",35,24,2365,3,7,3,7.14,2009-10,FRA Ligue 1
5,Anthony Le Tallec,Le Mans,26,FW,36,33,2968,8,5,3,7.14,2009-10,FRA Ligue 1
6,Marc Planus,Bordeaux,28,D(C),26,26,2193,1,1,1,7.13,2009-10,FRA Ligue 1
7,Dorian Lévêque,Boulogne,21,D(LR),6,6,540,0,0,0,7.13,2009-10,FRA Ligue 1
8,Franck Béria,Lille,27,D(CLR),33,31,2762,1,1,0,7.12,2009-10,FRA Ligue 1
9,Sébastien Puygrenier,Monaco,28,D(C),36,36,3235,2,2,4,7.12,2009-10,FRA Ligue 1
0,Ismaël Gace,Nice,24,D(C),20,19,1685,1,1,1,7.12,2009-10,FRA Ligue 1
1,Lisandro López,Lyon,27,"AM(CL),FW",33,27,2529,15,5,0,7.12,2009-10,FRA Ligue 1
2,Yohan Demont,Lens,32,"D(CR),DMC",37,37,3314,1,5,0,7.11,2009-10,FRA Ligue 1
3,Fabien Audard,Lorient,32,GK,35,35,3147,0,0,3,7.11,2009-10,FRA Ligue 1
4,Adil Rami,Lille,25,D(C),34,34,3020,3,0,1,7.10,2009-10,FRA Ligue 1
