,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Arjen Robben,Bayern,26,"M(CLR),FW",24,18,1779,16,6,8,8.18,2009-10,GER Bundesliga
1,Stefan Kießling,Leverkusen,26,FW,33,33,2924,21,5,6,7.79,2009-10,GER Bundesliga
2,Zvjezdan Misimovic,Wolfsburg,28,"AM(C),FW",31,31,2768,10,13,8,7.74,2009-10,GER Bundesliga
3,Edin Dzeko,Wolfsburg,24,FW,34,33,3003,22,7,6,7.73,2009-10,GER Bundesliga
4,Claudio Pizarro,Werder Bremen,32,"AM(C),FW",26,23,2130,16,2,2,7.63,2009-10,GER Bundesliga
5,Paolo Guerrero,Hamburg,27,FW,6,4,415,4,0,1,7.63,2009-10,GER Bundesliga
6,Mesut Özil,Werder Bremen,22,M(CLR),31,29,2601,9,13,6,7.62,2009-10,GER Bundesliga
7,Naldo,Werder Bremen,28,D(C),31,31,2762,5,2,6,7.59,2009-10,GER Bundesliga
8,Toni Kroos,Leverkusen,21,M(C),33,26,2360,9,9,5,7.59,2009-10,GER Bundesliga
9,Raffael,Hertha Berlin,25,"AM(CL),FW",31,30,2654,7,4,5,7.56,2009-10,GER Bundesliga
0,Bastian Schweinsteiger,Bayern,26,"D(C),M(C)",33,33,2908,2,3,2,7.55,2009-10,GER Bundesliga
1,Nuri Sahin,Borussia Dortmund,22,M(C),33,33,2904,4,7,3,7.51,2009-10,GER Bundesliga
2,Kevin Kurányi,Schalke,28,FW,33,31,2802,18,7,9,7.49,2009-10,GER Bundesliga
3,Burak Kaplan,Leverkusen,20,M(CLR),4,2,259,2,2,0,7.47,2009-10,GER Bundesliga
4,Lucas Barrios,Borussia Dortmund,26,FW,33,30,2623,19,4,6,7.45,2009-10,GER Bundesliga
5,Zé Roberto,Hamburg,36,"D(L),M(CL)",23,23,2056,6,3,4,7.43,2009-10,GER Bundesliga
6,Thomas Müller,Bayern,21,"M(CLR),FW",34,29,2645,13,6,4,7.39,2009-10,GER Bundesliga
7,Marko Marin,Werder Bremen,21,M(CLR),32,30,2419,4,10,3,7.39,2009-10,GER Bundesliga
8,Tranquillo Barnetta,Leverkusen,25,M(CLR),32,31,2565,4,10,4,7.38,2009-10,GER Bundesliga
9,Eljero Elia,Hamburg,23,"AM(LR),FW",24,20,1768,5,7,4,7.37,2009-10,GER Bundesliga
0,Carlos Eduardo,Hoffenheim,23,"M(CLR),FW",33,32,2754,5,8,3,7.36,2009-10,GER Bundesliga
1,Mats Hummels,Borussia Dortmund,22,D(C),30,27,2522,5,1,3,7.35,2009-10,GER Bundesliga
2,Mohamadou Idrissou,Freiburg,30,"AM(CL),FW",30,30,2658,9,4,4,7.33,2009-10,GER Bundesliga
3,Simon Rolfes,Leverkusen,28,M(C),11,8,772,4,2,2,7.33,2009-10,GER Bundesliga
4,Georg Niedermeier,Stuttgart,24,D(C),12,12,1080,1,0,1,7.32,2009-10,GER Bundesliga
5,David Jarolim,Hamburg,31,"D(C),DMC,M(R)",33,33,2895,1,4,1,7.30,2009-10,GER Bundesliga
6,Arturo Vidal,Leverkusen,23,M(CR),31,31,2684,1,2,1,7.30,2009-10,GER Bundesliga
7,Jefferson Farfán,Schalke,26,"M(CR),FW",33,32,2833,8,8,4,7.27,2009-10,GER Bundesliga
8,Pirmin Schwegler,Eintracht Frankfurt,23,M(C),25,25,2162,3,2,3,7.26,2009-10,GER Bundesliga
9,Clemens Fritz,Werder Bremen,30,"D(R),DMC",30,30,2596,1,4,0,7.24,2009-10,GER Bundesliga
0,Javier Pinola,Nuernberg,27,D(CL),33,33,2962,0,0,2,7.24,2009-10,GER Bundesliga
