,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Christian Eriksen,Ajax,22,"M(CLR),FW",4,4,360,2,3,1,7.99,2013-14,NED Eredivisie
1,Graziano Pellè,Feyenoord,29,FW,28,28,2505,23,6,9,7.97,2013-14,NED Eredivisie
2,Dusan Tadic,Twente,26,"AM(CLR),FW",33,33,2970,16,14,10,7.81,2013-14,NED Eredivisie
3,Memphis Depay,PSV Eindhoven,20,"AM(CL),FW",32,32,2705,12,7,6,7.74,2013-14,NED Eredivisie
4,Youness Mokhtar,PEC Zwolle,23,AM(LR),4,4,356,1,3,1,7.70,2013-14,NED Eredivisie
5,Joël Veltman,Ajax,22,"D(CR),M(R)",25,24,2158,2,2,7,7.68,2013-14,NED Eredivisie
6,Lex Immers,Feyenoord,28,"AM(C),FW",32,32,2820,12,5,6,7.64,2013-14,NED Eredivisie
7,Eric Botteghin,FC Groningen,27,D(C),38,38,3391,2,4,3,7.55,2013-14,NED Eredivisie
8,Alfred Finnbogason,SC Heerenveen,25,FW,32,32,2835,29,9,7,7.54,2013-14,NED Eredivisie
9,Quincy Promes,Twente,23,"M(CLR),FW",31,31,2732,11,8,1,7.54,2013-14,NED Eredivisie
0,Jordy van der Winden,FC Utrecht,20,D(CLR),2,2,136,0,0,0,7.52,2013-14,NED Eredivisie
1,Jetro Willems,PSV Eindhoven,20,"D(L),DMC,M(L)",28,28,2378,4,3,3,7.50,2013-14,NED Eredivisie
2,Filip Kostic,FC Groningen,22,"M(LR),FW",38,37,3297,11,7,7,7.47,2013-14,NED Eredivisie
3,Jean-Paul Boëtius,Feyenoord,20,"AM(CL),FW",29,24,2068,10,9,3,7.43,2013-14,NED Eredivisie
4,Lasse Schöne,Ajax,28,M(CLR),29,25,2152,9,8,4,7.39,2013-14,NED Eredivisie
5,Bilal Basacikoglu,SC Heerenveen,19,AM(LR),24,23,1991,6,4,2,7.39,2013-14,NED Eredivisie
6,Daley Blind,Ajax,24,"D(CL),DMC,M(L)",29,29,2533,1,1,2,7.38,2013-14,NED Eredivisie
7,Din Mori,Vitesse,26,D(C),6,5,495,1,0,1,7.37,2013-14,NED Eredivisie
8,Jeffrey Bruma,PSV Eindhoven,23,D(C),31,31,2757,4,1,2,7.37,2013-14,NED Eredivisie
9,Hakim Ziyech,SC Heerenveen,21,M(CLR),33,28,2467,9,9,4,7.35,2013-14,NED Eredivisie
0,Jordy Clasie,Feyenoord,23,"D(C),DMC",32,32,2840,1,7,1,7.34,2013-14,NED Eredivisie
1,Niklas Moisander,Ajax,29,D(C),23,22,1985,1,2,0,7.34,2013-14,NED Eredivisie
2,Guram Kashia,Vitesse,27,D(C),33,33,2869,2,3,4,7.34,2013-14,NED Eredivisie
3,Davy Klaassen,Ajax,21,M(CL),26,23,2102,10,3,3,7.33,2013-14,NED Eredivisie
4,Stefan de Vrij,Feyenoord,22,D(C),32,32,2843,4,1,2,7.32,2013-14,NED Eredivisie
5,Lucas Piazón,Vitesse,20,"AM(CLR),FW",29,24,2110,11,8,6,7.32,2013-14,NED Eredivisie
6,Joost van Aken,SC Heerenveen,20,D(CL),8,6,542,2,0,1,7.31,2013-14,NED Eredivisie
7,Felipe Gutiérrez,Twente,24,M(C),33,33,2951,3,3,1,7.30,2013-14,NED Eredivisie
8,Marten de Roon,SC Heerenveen,23,"D(C),DMC",32,31,2803,3,1,2,7.30,2013-14,NED Eredivisie
9,Jeroen Veldmate,Heracles,26,D(C),19,17,1459,1,1,2,7.29,2013-14,NED Eredivisie
0,Jan Seda,RKC Waalwijk,29,GK,23,23,2026,0,0,6,7.28,2013-14,NED Eredivisie
1,Lerin Duarte,Heracles,24,"D(L),M(CR)",5,4,405,2,0,1,7.26,2013-14,NED Eredivisie
2,Roberto Rosales,Twente,26,"D(R),M(R)",30,30,2700,1,2,0,7.25,2013-14,NED Eredivisie
3,Christian Atsu,Vitesse,23,AM(CLR),28,27,2307,5,6,0,7.24,2013-14,NED Eredivisie
4,Theo Janssen,Vitesse,33,DMC,9,9,798,1,5,0,7.24,2013-14,NED Eredivisie
5,Jeffrey Gouweleeuw,AZ Alkmaar,23,D(C),37,37,3330,1,0,0,7.23,2013-14,NED Eredivisie
6,Daryl Janmaat,Feyenoord,25,"D(CR),M(R)",30,30,2641,2,5,1,7.22,2013-14,NED Eredivisie
7,Ramon Leeuwin,Cambuur,27,D(C),32,32,2785,3,0,3,7.22,2013-14,NED Eredivisie
8,Christian Kum,SC Heerenveen,29,D(CLR),23,22,1949,0,0,1,7.22,2013-14,NED Eredivisie
9,Stijn Schaars,PSV Eindhoven,31,DMC,27,26,2129,0,6,1,7.22,2013-14,NED Eredivisie
0,Mattias Johansson,AZ Alkmaar,22,D(R),31,30,2738,4,2,2,7.21,2013-14,NED Eredivisie
1,Celso Ortíz,AZ Alkmaar,25,DMC,31,29,2320,1,1,2,7.20,2013-14,NED Eredivisie
2,Bryan Ruiz,PSV Eindhoven,29,"M(CLR),FW",14,13,1129,5,2,1,7.20,2013-14,NED Eredivisie
3,Robbin Ruiter,FC Utrecht,27,GK,30,30,2700,0,0,4,7.20,2013-14,NED Eredivisie
4,Andreas Bjelland,Twente,26,D(CL),33,33,2930,0,2,1,7.19,2013-14,NED Eredivisie
5,Evander Sno,RKC Waalwijk,27,M(C),23,23,1951,4,1,2,7.19,2013-14,NED Eredivisie
6,Tonny Vilhena,Feyenoord,20,"D(L),M(CL)",32,29,2604,6,7,2,7.19,2013-14,NED Eredivisie
7,Jan-Arie van der Heijden,Vitesse,26,D(C),34,34,3025,0,2,1,7.18,2013-14,NED Eredivisie
8,Michael Higdon,NEC Nijmegen,31,FW,32,28,2525,14,7,2,7.18,2013-14,NED Eredivisie
9,Roy Beerens,AZ Alkmaar,27,"AM(CLR),FW",33,33,2714,5,5,1,7.16,2013-14,NED Eredivisie
0,Sander Duits,RKC Waalwijk,31,DMC,30,30,2628,6,2,2,7.16,2013-14,NED Eredivisie
1,Doke Schmidt,Go Ahead Eagles,22,D(CLR),27,27,2422,2,0,4,7.15,2013-14,NED Eredivisie
2,Kees Kwakman,NAC Breda,31,"D(C),DMC",28,26,2356,3,1,1,7.15,2013-14,NED Eredivisie
3,Uros Matic,NAC Breda,24,DMC,14,14,1247,0,0,1,7.14,2013-14,NED Eredivisie
4,Diederik Boer,PEC Zwolle,34,GK,21,21,1816,0,0,3,7.14,2013-14,NED Eredivisie
5,Kevin Conboy,NEC Nijmegen,27,"D(L),DMC",33,33,2907,4,3,3,7.14,2013-14,NED Eredivisie
