,Player,Season,Age,Position,Team,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Competition
0,Bas Dost,2016-17,28,FW,Sporting,31,30,2710,34,4,11,7.73,POR Primeira Liga
1,João Mário,2016-17,24,M(CLR),Sporting,1,1,90,0,1,0,7.71,POR Primeira Liga
2,Mika,2016-17,26,GK,Boavista,3,3,270,0,0,1,7.70,POR Primeira Liga
3,Bruno Wilson,2016-17,21,D(C),Braga,1,1,90,0,0,0,7.65,POR Primeira Liga
4,Alejandro Grimaldo,2016-17,22,"D(L),M(L)",Benfica,14,14,1253,2,3,1,7.59,POR Primeira Liga
5,Pizzi,2016-17,28,M(CLR),Benfica,33,33,2848,10,8,7,7.57,POR Primeira Liga
6,Jonas,2016-17,33,"AM(CLR),FW",Benfica,19,15,1333,13,4,5,7.54,POR Primeira Liga
7,Yacine Brahimi,2016-17,27,M(CLR),Porto,22,16,1416,6,3,3,7.49,POR Primeira Liga
8,Danilo Pereira,2016-17,26,"D(C),DMC",Porto,28,27,2423,4,1,3,7.49,POR Primeira Liga
9,Tiquinho Soares,2016-17,26,FW,Porto,15,15,1256,12,0,2,7.47,POR Primeira Liga
0,Alex Telles,2016-17,25,"D(L),M(L)",Porto,32,32,2855,1,8,2,7.45,POR Primeira Liga
1,Wilson Eduardo,2016-17,27,"AM(LR),FW",Braga,18,15,1315,6,8,4,7.39,POR Primeira Liga
2,Nélson Semedo,2016-17,24,"D(LR),M(R)",Benfica,31,31,2781,1,6,1,7.37,POR Primeira Liga
3,Lisandro López,2016-17,28,D(C),Benfica,8,6,677,3,1,2,7.36,POR Primeira Liga
4,Felipe,2016-17,28,D(C),Porto,32,32,2880,2,1,0,7.36,POR Primeira Liga
5,Bruno Teles,2016-17,31,D(L),Rio Ave,1,0,69,0,0,0,7.35,POR Primeira Liga
6,Thiago Carleto,2016-17,28,"D(L),M(L)",Arouca,2,2,180,0,0,0,7.35,POR Primeira Liga
7,Gelson Martins,2016-17,22,M(LR),Sporting,32,32,2771,6,9,1,7.31,POR Primeira Liga
8,Moussa Marega,2016-17,26,"AM(LR),FW",Vitoria de Guimaraes,25,23,2034,13,6,7,7.29,POR Primeira Liga
9,Rodrigo Battaglia,2016-17,26,M(C),Chaves,14,14,1260,3,0,2,7.28,POR Primeira Liga
0,Raúl Silva,2016-17,28,D(C),Maritimo,29,29,2595,7,0,4,7.28,POR Primeira Liga
1,Iván Marcano,2016-17,30,D(CL),Porto,32,32,2880,4,1,2,7.24,POR Primeira Liga
2,João Palhinha,2016-17,22,DMC,B-SAD,13,13,1170,1,0,1,7.24,POR Primeira Liga
3,Aílton,2016-17,22,D(L),Estoril,18,14,1330,0,1,4,7.24,POR Primeira Liga
4,Sebastián Coates,2016-17,27,D(C),Sporting,33,33,2970,3,1,0,7.23,POR Primeira Liga
5,Eduardo Salvio,2016-17,27,M(CR),Benfica,29,26,2010,4,6,2,7.22,POR Primeira Liga
6,André Silva,2016-17,22,FW,Porto,32,28,2456,16,5,3,7.22,POR Primeira Liga
7,Ljubomir Fejsa,2016-17,29,DMC,Benfica,25,25,2157,0,0,0,7.19,POR Primeira Liga
8,Beto,2016-17,35,GK,Sporting,3,3,270,0,0,1,7.18,POR Primeira Liga
9,Douglas,2016-17,30,D(C),Sporting,2,1,135,0,0,0,7.18,POR Primeira Liga
0,Víctor García,2016-17,23,D(R),Nacional,22,22,1906,0,3,3,7.17,POR Primeira Liga
1,Nuno Sequeira,2016-17,27,"D(CL),M(L)",Nacional,29,29,2549,0,0,3,7.16,POR Primeira Liga
2,Miguel Layún,2016-17,29,"D(LR),M(CLR)",Porto,16,12,1079,1,3,1,7.14,POR Primeira Liga
3,Branimir Kalaica,2016-17,19,D(CLR),Benfica,1,1,90,1,0,0,7.13,POR Primeira Liga
4,Willy Boly,2016-17,26,D(C),Braga,3,3,270,0,0,0,7.13,POR Primeira Liga
5,Pedro Santos,2016-17,29,"D(L),M(CLR)",Braga,27,25,2026,6,7,3,7.11,POR Primeira Liga
6,Adrien Silva,2016-17,28,M(C),Sporting,27,26,2160,4,2,2,7.11,POR Primeira Liga
7,Radosav Petrovic,2016-17,28,M(C),Rio Ave,13,13,1170,0,0,0,7.11,POR Primeira Liga
8,Rui Fonte,2016-17,27,"M(R),FW",Braga,26,24,2211,11,1,3,7.10,POR Primeira Liga
9,Gil Dias,2016-17,21,"D(L),M(LR)",Rio Ave,34,30,2578,6,4,5,7.10,POR Primeira Liga
0,Maurides,2016-17,23,FW,B-SAD,12,10,930,6,2,2,7.10,POR Primeira Liga
1,Jorginho,2016-17,22,AM(R),Arouca,10,9,797,5,2,2,7.09,POR Primeira Liga
2,Baiano,2016-17,30,D(R),Braga,26,25,2267,1,0,0,7.09,POR Primeira Liga
3,Luisão,2016-17,36,D(C),Benfica,28,28,2339,0,0,1,7.09,POR Primeira Liga
4,Konstantinos Mitroglou,2016-17,29,FW,Benfica,28,26,2243,16,1,3,7.09,POR Primeira Liga
5,André Pinto,2016-17,28,D(C),Braga,10,10,882,2,0,0,7.08,POR Primeira Liga
6,Maurício Antônio,2016-17,25,D(C),Maritimo,28,28,2497,3,1,2,7.08,POR Primeira Liga
7,Djavan,2016-17,30,D(L),Braga,16,13,1183,0,0,1,7.08,POR Primeira Liga
8,Rafa Soares,2016-17,22,D(L),Rio Ave,32,32,2880,3,4,3,7.08,POR Primeira Liga
9,Anderson Esiti,2016-17,23,DMC,Estoril,2,2,180,0,0,0,7.08,POR Primeira Liga
0,Nuno Pinto,2016-17,31,D(L),Vitoria de Setubal,31,31,2722,0,4,3,7.07,POR Primeira Liga
1,João Jaquité,2016-17,21,DMC,Tondela,1,1,90,0,0,0,7.07,POR Primeira Liga
2,William Carvalho,2016-17,25,DMC,Sporting,32,31,2810,2,3,2,7.07,POR Primeira Liga
