,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Aras Özbiliz,Kuban Krasnodar,24,AM(R),2,2,173,2,0,2,8.35,2013-14,RUS Premier League
1,Willian,Anzhi,26,AM(CLR),4,4,360,0,3,2,7.94,2013-14,RUS Premier League
2,Hulk,Zenit,28,"AM(CLR),FW",23,22,1890,17,6,4,7.84,2013-14,RUS Premier League
3,Mario Fernandes,CSKA Moscow,24,"D(R),M(R)",12,12,1076,0,0,2,7.74,2013-14,RUS Premier League
4,Alberto Zapater,Lokomotiv Moscow,29,"D(C),DMC",1,1,90,0,0,0,7.63,2013-14,RUS Premier League
5,Thomas Phibel,Amkar-Perm,28,D(C),19,19,1710,1,0,5,7.53,2013-14,RUS Premier League
6,Vitaliy Denisov,Lokomotiv Moscow,27,"D(L),M(L)",24,23,2079,1,6,3,7.53,2013-14,RUS Premier League
7,Dmitriy Tarasov,Lokomotiv Moscow,27,DMC,17,17,1453,4,1,3,7.52,2013-14,RUS Premier League
8,Danny,Zenit,31,"AM(CLR),FW",25,24,2027,12,12,2,7.51,2013-14,RUS Premier League
9,Jan Durica,Lokomotiv Moscow,33,D(C),30,30,2700,0,1,2,7.41,2013-14,RUS Premier League
0,Seydou Doumbia,CSKA Moscow,27,FW,22,18,1563,17,7,3,7.38,2013-14,RUS Premier League
1,Ilya Abaev,Volga Nyzhny,33,GK,3,3,270,0,0,1,7.37,2013-14,RUS Premier League
2,Andrey Semenov,FK Akhmat,25,D(CR),11,11,976,1,0,2,7.35,2013-14,RUS Premier League
3,Taras Burlak,Rubin Kazan,24,D(C),2,2,180,0,0,0,7.33,2013-14,RUS Premier League
4,João Carlos Pinto,Spartak Moscow,33,D(C),15,15,1312,0,1,2,7.32,2013-14,RUS Premier League
5,Vedran Corluka,Lokomotiv Moscow,28,D(C),28,28,2520,1,1,2,7.31,2013-14,RUS Premier League
6,Salomón Rondón,Zenit,25,FW,9,7,661,7,2,2,7.31,2013-14,RUS Premier League
7,Joãozinho,FC Krasnodar,26,"M(CLR),FW",30,29,2575,7,9,3,7.30,2013-14,RUS Premier League
8,Vágner Love,CSKA Moscow,30,FW,2,2,180,1,0,0,7.29,2013-14,RUS Premier League
9,Vasili Berezutski,CSKA Moscow,32,D(C),23,23,2070,0,5,0,7.28,2013-14,RUS Premier League
0,Aleksandr Martynovich,FC Krasnodar,27,D(CR),24,24,2160,0,0,1,7.27,2013-14,RUS Premier League
1,Christian Noboa,Dinamo Moscow,29,M(C),28,26,2338,5,5,3,7.26,2013-14,RUS Premier League
2,Aleksandr Kokorin,Dinamo Moscow,23,"AM(CLR),FW",22,20,1747,10,6,4,7.26,2013-14,RUS Premier League
3,Zoran Tosic,CSKA Moscow,27,M(LR),27,24,1967,11,1,4,7.26,2013-14,RUS Premier League
4,César Navas,Rubin Kazan,34,D(C),29,29,2610,1,0,4,7.25,2013-14,RUS Premier League
5,Pontus Wernbloom,CSKA Moscow,28,"M(C),FW",28,27,2422,1,1,3,7.24,2013-14,RUS Premier League
6,Xandao,Kuban Krasnodar,26,D(C),29,29,2539,2,1,2,7.24,2013-14,RUS Premier League
7,José Manuel Jurado,Spartak Moscow,28,M(CLR),29,29,2554,8,2,2,7.23,2013-14,RUS Premier League
8,Timofey Kalachev,FC Rostov,33,"D(R),M(CR)",26,26,2290,6,6,1,7.23,2013-14,RUS Premier League
9,Roman Shirokov,Zenit,33,M(CR),10,10,788,5,4,1,7.22,2013-14,RUS Premier League
0,Sergei Ignashevich,CSKA Moscow,35,D(C),30,30,2700,2,3,0,7.22,2013-14,RUS Premier League
1,Angbwa Benoit,Krylya Sovetov Samara,33,D(R),6,6,540,0,0,0,7.22,2013-14,RUS Premier League
2,Nicolas Lombaerts,Zenit,29,D(C),26,26,2159,1,0,1,7.21,2013-14,RUS Premier League
3,Charles Kaboré,Kuban Krasnodar,26,M(C),26,25,2191,0,4,1,7.19,2013-14,RUS Premier League
4,Maicon Bolt,Lokomotiv Moscow,24,"AM(LR),FW",24,20,1761,5,4,2,7.18,2013-14,RUS Premier League
5,Andreas Granqvist,FC Krasnodar,29,D(C),20,20,1714,1,0,1,7.18,2013-14,RUS Premier League
6,Axel Witsel,Zenit,26,"D(C),M(C)",29,28,2489,4,2,3,7.18,2013-14,RUS Premier League
7,Luís Neto,Zenit,26,D(C),24,21,2031,0,0,0,7.17,2013-14,RUS Premier League
8,Artur Jedrzejczyk,FC Krasnodar,27,D(CLR),27,27,2386,1,2,1,7.16,2013-14,RUS Premier League
9,Douglas,Dinamo Moscow,27,D(C),19,19,1694,0,1,2,7.16,2013-14,RUS Premier League
0,Arseni Logashov,Anzhi,23,"D(CR),M(R)",2,2,180,0,0,0,7.15,2013-14,RUS Premier League
1,Tomás Hubocan,Zenit,29,D(CLR),15,15,1350,0,0,1,7.15,2013-14,RUS Premier League
2,Taras Burlak,Lokomotiv Moscow,24,D(C),1,1,90,0,0,0,7.14,2013-14,RUS Premier League
3,Vitaliy Kaleshin,FC Krasnodar,34,D(LR),21,21,1810,1,1,1,7.14,2013-14,RUS Premier League
4,Artem Dzyuba,FC Rostov,26,FW,28,28,2489,17,3,5,7.14,2013-14,RUS Premier League
5,Petar Zanev,Amkar-Perm,29,D(CL),15,15,1340,0,0,0,7.13,2013-14,RUS Premier League
6,Arseni Logashov,FC Rostov,23,"D(CR),M(R)",23,23,1972,1,0,1,7.13,2013-14,RUS Premier League
7,Cristian Ansaldi,Rubin Kazan,28,"D(CLR),M(CLR)",4,4,360,0,0,0,7.11,2013-14,RUS Premier League
8,Sölvi Ottesen,Ural,30,D(C),18,18,1620,0,1,0,7.11,2013-14,RUS Premier League
9,Ragnar Sigurdsson,FC Krasnodar,28,D(C),6,6,540,0,0,0,7.11,2013-14,RUS Premier League
0,Dmitri Belorukov,Amkar-Perm,31,D(C),25,25,2210,2,0,3,7.10,2013-14,RUS Premier League
1,Oleg Ivanov,FK Akhmat,28,"M(C),FW",29,27,2470,4,3,2,7.10,2013-14,RUS Premier League
2,Alan Dzagoev,CSKA Moscow,24,"M(CLR),FW",18,16,1449,3,3,3,7.10,2013-14,RUS Premier League
3,Yuri Zhirkov,Dinamo Moscow,31,"D(L),M(CL)",13,7,757,3,3,1,7.09,2013-14,RUS Premier League
4,Christopher Samba,Anzhi,30,D(C),5,4,361,1,0,1,7.09,2013-14,RUS Premier League
5,Bastos,FC Rostov,23,D(C),17,17,1495,0,0,0,7.09,2013-14,RUS Premier League
6,Dmitri Kombarov,Spartak Moscow,27,"D(L),M(L)",28,28,2520,2,5,2,7.09,2013-14,RUS Premier League
7,Domenico Criscito,Zenit,28,"D(CL),M(L)",17,16,1440,1,2,1,7.08,2013-14,RUS Premier League
8,Iván Marcano,Rubin Kazan,27,D(CL),17,17,1508,0,0,1,7.08,2013-14,RUS Premier League
9,Igor Armas,Kuban Krasnodar,27,D(C),14,10,987,1,0,1,7.08,2013-14,RUS Premier League
0,Emmanuel Emenike,Spartak Moscow,27,"AM(R),FW",4,2,212,3,0,0,7.07,2013-14,RUS Premier League
1,Anton Amelchenko,FC Rostov,29,GK,3,3,270,0,0,1,7.07,2013-14,RUS Premier League
2,Aleksandr Samedov,Lokomotiv Moscow,30,AM(CR),30,29,2517,7,7,0,7.07,2013-14,RUS Premier League
3,Vladimir Rykov,Tom Tomsk,27,D(C),27,27,2349,2,0,3,7.07,2013-14,RUS Premier League
4,Marko Lomic,Dinamo Moscow,31,D(L),21,21,1842,0,4,1,7.07,2013-14,RUS Premier League
5,Maurício,FK Akhmat,26,M(C),29,23,2077,6,3,2,7.07,2013-14,RUS Premier League
6,Denis Glushakov,Spartak Moscow,27,M(C),28,27,2417,1,1,0,7.06,2013-14,RUS Premier League
7,Ángel Dealbert,Kuban Krasnodar,32,D(C),23,21,1901,1,0,2,7.06,2013-14,RUS Premier League
8,Vladimir Khozin,Ural,25,D(LR),11,11,916,2,0,1,7.05,2013-14,RUS Premier League
9,Juhani Ojala,FK Akhmat,25,D(C),20,19,1701,0,0,0,7.05,2013-14,RUS Premier League
0,Alexander Amisulashvili,Krylya Sovetov Samara,32,D(C),28,28,2501,1,1,0,7.05,2013-14,RUS Premier League
1,Roman Gerus,Amkar-Perm,34,GK,8,7,686,0,0,0,7.05,2013-14,RUS Premier League
