,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Kyle Lafferty,Kilmarnock,34,"AM(LR),FW",4,3,311,3,2,2,7.99,2020-21,SCO Premiership
1,James Tavernier,Rangers,30,D(R),33,33,2917,12,9,7,7.69,2020-21,SCO Premiership
2,Christopher Jullien,Celtic,28,D(C),9,9,771,1,1,0,7.46,2020-21,SCO Premiership
3,Ryan Kent,Rangers,25,AM(CLR),37,36,3035,10,9,5,7.43,2020-21,SCO Premiership
4,Joe Aribo,Rangers,25,"M(CLR),FW",31,27,2276,7,4,1,7.37,2020-21,SCO Premiership
5,Borna Barisic,Rangers,29,D(L),33,33,2837,1,6,4,7.34,2020-21,SCO Premiership
6,Connor Goldson,Rangers,29,D(C),38,38,3420,4,2,2,7.34,2020-21,SCO Premiership
7,Odsonne Édouard,Celtic,23,"AM(L),FW",31,28,2340,18,4,4,7.33,2020-21,SCO Premiership
8,Anthony Ralston,Celtic,23,D(R),1,1,90,0,0,0,7.32,2020-21,SCO Premiership
9,Shane Duffy,Celtic,30,D(C),18,14,1337,3,1,4,7.31,2020-21,SCO Premiership
0,Ryan Christie,Celtic,26,"AM(CLR),FW",34,26,2363,5,9,6,7.28,2020-21,SCO Premiership
1,David Turnbull,Motherwell,22,AM(C),5,5,431,1,0,1,7.25,2020-21,SCO Premiership
2,David Turnbull,Celtic,22,AM(C),31,25,2069,8,6,2,7.24,2020-21,SCO Premiership
3,Kristoffer Ajer,Celtic,23,"D(CR),DMC",35,34,3043,2,3,2,7.23,2020-21,SCO Premiership
4,Hakeem Odoffin,Hamilton Academical,23,"D(C),DMC",32,32,2860,3,0,4,7.19,2020-21,SCO Premiership
5,Lyndon Dykes,Livingston,26,FW,3,3,270,2,0,0,7.18,2020-21,SCO Premiership
6,Alfredo Morelos,Rangers,25,FW,29,26,2088,12,4,4,7.18,2020-21,SCO Premiership
7,Paul Hanlon,Hibernian,31,D(C),37,36,3192,1,1,1,7.17,2020-21,SCO Premiership
8,Kemar Roofe,Rangers,29,"AM(CLR),FW",24,18,1566,14,3,3,7.16,2020-21,SCO Premiership
9,Ash Taylor,Aberdeen,31,D(C),31,30,2481,1,0,6,7.15,2020-21,SCO Premiership
0,Darren McGregor,Hibernian,36,D(C),10,8,706,1,0,1,7.14,2020-21,SCO Premiership
1,Jon Guthrie,Livingston,29,D(C),36,36,3240,5,2,7,7.12,2020-21,SCO Premiership
2,Jordan White,Ross County,29,FW,7,6,568,2,2,1,7.11,2020-21,SCO Premiership
3,Scott McKenna,Aberdeen,25,D(C),4,4,316,0,0,0,7.11,2020-21,SCO Premiership
4,Filip Helander,Rangers,28,D(C),22,21,1850,1,0,1,7.10,2020-21,SCO Premiership
5,Marley Watkins,Aberdeen,31,"AM(LR),FW",9,9,732,2,1,0,7.10,2020-21,SCO Premiership
6,Lewis Ferguson,Aberdeen,22,M(C),35,35,3111,9,2,3,7.08,2020-21,SCO Premiership
7,Joe Newell,Hibernian,28,M(CL),32,32,2677,1,3,5,7.07,2020-21,SCO Premiership
8,Leon Balogun,Rangers,33,D(CR),19,15,1340,0,2,0,7.06,2020-21,SCO Premiership
9,Ryan Edwards,Dundee United,28,D(C),21,21,1832,2,0,1,7.04,2020-21,SCO Premiership
0,Ryan Jack,Rangers,29,DMC,19,16,1227,2,1,1,7.03,2020-21,SCO Premiership
1,Benjamin Siegrist,Dundee United,29,GK,31,31,2790,0,0,3,7.02,2020-21,SCO Premiership
2,Callum McGregor,Celtic,28,M(CR),37,37,3244,3,7,1,7.02,2020-21,SCO Premiership
3,Steven Davis,Rangers,37,M(CLR),35,29,2590,0,2,1,7.02,2020-21,SCO Premiership
4,Paul McGinn,Hibernian,31,D(CR),38,37,3343,3,2,2,7.01,2020-21,SCO Premiership
5,Christian Doidge,Hibernian,29,FW,36,29,2703,7,2,3,7.00,2020-21,SCO Premiership
6,Stephen Welsh,Celtic,21,D(C),16,15,1367,1,0,1,7.00,2020-21,SCO Premiership
7,Sean Mackie,Hibernian,23,D(CLR),2,2,180,0,0,0,7.00,2020-21,SCO Premiership
8,Ross McCrorie,Aberdeen,23,"D(CR),DMC",29,28,2462,1,0,3,6.99,2020-21,SCO Premiership
9,Jake Doyle-Hayes,St. Mirren,23,DMC,19,18,1604,1,0,2,6.99,2020-21,SCO Premiership
0,Jamie McGrath,St. Mirren,25,"AM(CL),FW",30,30,2451,7,1,3,6.98,2020-21,SCO Premiership
1,Jason Kerr,St. Johnstone,24,D(C),31,31,2712,1,0,4,6.98,2020-21,SCO Premiership
2,Tommie Hoban,Aberdeen,27,D(CL),37,35,3062,2,0,4,6.98,2020-21,SCO Premiership
3,Jonjoe Kenny,Celtic,24,"D(LR),M(R)",14,14,1260,0,2,0,6.97,2020-21,SCO Premiership
4,Matt Macey,Hibernian,27,GK,3,3,270,0,0,0,6.97,2020-21,SCO Premiership
