,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Zeki Ayvaz,Akhisarspor,26,GK,1,1,90,0,0,0,7.90,2014-15,TUR Super Lig
1,Mehmet Ekici,Trabzonspor,25,M(CLR),29,28,2415,9,11,8,7.71,2014-15,TUR Super Lig
2,Ertugrul Furkan,Balikesirspor,26,GK,1,1,90,0,0,0,7.54,2014-15,TUR Super Lig
3,Volkan Sen,Bursaspor,28,AM(LR),30,28,2392,12,8,3,7.52,2014-15,TUR Super Lig
4,Cicinho,Sivasspor,35,D(R),32,32,2864,1,9,4,7.49,2014-15,TUR Super Lig
5,Fernandão,Bursaspor,28,FW,32,32,2840,22,7,5,7.49,2014-15,TUR Super Lig
6,Caner Erkin,Fenerbahce,27,"D(L),M(L)",31,30,2615,3,8,4,7.48,2014-15,TUR Super Lig
7,Mustafa Yumlu,Trabzonspor,28,D(C),2,2,180,0,1,1,7.46,2014-15,TUR Super Lig
8,José Sosa,Besiktas,30,M(CLR),27,24,2103,5,8,7,7.40,2014-15,TUR Super Lig
9,Egemen Korkmaz,Fenerbahce,33,D(C),17,17,1483,2,1,3,7.39,2014-15,TUR Super Lig
0,Selcuk Inan,Galatasaray,30,M(C),32,32,2805,4,8,2,7.39,2014-15,TUR Super Lig
1,Felipe Melo,Galatasaray,32,"D(C),M(C)",20,20,1685,1,1,2,7.39,2014-15,TUR Super Lig
2,Aurélien Chedjou,Galatasaray,30,"D(C),DMC",26,26,2310,4,1,4,7.37,2014-15,TUR Super Lig
3,Hakan Arikan,Trabzonspor,33,GK,17,17,1530,0,0,3,7.33,2014-15,TUR Super Lig
4,Nikolay Mihaylov,Yeni Mersin Idmanyurdu,27,GK,6,6,540,0,0,0,7.33,2014-15,TUR Super Lig
5,Gökhan Gönül,Fenerbahce,31,D(CR),32,32,2848,0,3,1,7.31,2014-15,TUR Super Lig
6,Renato Civelli,Bursaspor,32,D(C),24,24,2124,3,2,2,7.31,2014-15,TUR Super Lig
7,Berkan Emir,Balikesirspor,27,"D(L),M(L)",14,13,1178,2,4,1,7.24,2014-15,TUR Super Lig
8,Douglão,Akhisarspor,29,D(C),29,29,2587,1,0,1,7.23,2014-15,TUR Super Lig
9,Sinan Bolat,Galatasaray,27,GK,2,2,180,0,0,0,7.22,2014-15,TUR Super Lig
0,Doka Madureira,Istanbul Basaksehir,31,AM(L),29,26,2158,6,4,3,7.22,2014-15,TUR Super Lig
1,Mert Günok,Fenerbahce,26,GK,9,8,785,0,0,1,7.20,2014-15,TUR Super Lig
2,Fernando Belluschi,Bursaspor,32,M(CR),32,30,2746,3,4,2,7.19,2014-15,TUR Super Lig
3,Kader Mangane,Kayseri Erciyesspor,32,"D(C),DMC",9,8,681,1,1,0,7.17,2014-15,TUR Super Lig
4,Alexandru Epureanu,Istanbul Basaksehir,29,"D(C),DMC",32,32,2826,4,0,2,7.17,2014-15,TUR Super Lig
5,Demba Ba,Besiktas,30,"AM(C),FW",29,27,2252,18,5,4,7.16,2014-15,TUR Super Lig
6,Mehmet Topal,Fenerbahce,29,"D(C),M(C)",33,32,2915,2,3,1,7.16,2014-15,TUR Super Lig
7,Gençer Cansev,Istanbul Basaksehir,27,D(C),5,4,414,0,0,0,7.16,2014-15,TUR Super Lig
8,Josué,Bursaspor,25,M(CR),30,29,2404,7,7,4,7.16,2014-15,TUR Super Lig
9,Lawal,Eskisehirspor,25,M(C),1,1,90,0,0,1,7.15,2014-15,TUR Super Lig
0,Wesley Sneijder,Galatasaray,31,AM(CL),31,29,2566,10,2,4,7.15,2014-15,TUR Super Lig
1,Mustafa Yumlu,Eskisehirspor,28,D(C),13,13,1170,0,0,0,7.15,2014-15,TUR Super Lig
2,Ali Turan,Konyaspor,32,D(CR),22,20,1721,0,0,1,7.13,2014-15,TUR Super Lig
3,Ümit Kurt,Sivasspor,24,D(C),30,30,2678,0,2,3,7.13,2014-15,TUR Super Lig
4,Ozan Tufan,Bursaspor,20,"D(R),M(CR)",32,32,2802,3,7,1,7.12,2014-15,TUR Super Lig
5,Bilal Kisa,Akhisarspor,32,M(C),31,31,2685,6,8,3,7.12,2014-15,TUR Super Lig
6,Ryan Babel,Kasimpasa,29,"M(LR),FW",29,28,2482,9,4,2,7.11,2014-15,TUR Super Lig
7,Avraam Papadopoulos,Trabzonspor,31,D(C),5,5,395,0,1,0,7.09,2014-15,TUR Super Lig
8,Edin Visca,Istanbul Basaksehir,25,AM(LR),34,34,3017,8,2,3,7.09,2014-15,TUR Super Lig
9,Servet Cetin,Yeni Mersin Idmanyurdu,34,D(C),33,33,2970,3,4,3,7.08,2014-15,TUR Super Lig
0,Jagos Vukovic,Konyaspor,27,D(C),21,20,1799,0,0,1,7.08,2014-15,TUR Super Lig
1,Emre,Fenerbahce,35,M(C),26,23,1902,6,2,2,7.08,2014-15,TUR Super Lig
2,Mostapha El Kabir,Genclerbirligi,27,"AM(LR),FW",15,13,1149,4,6,2,7.07,2014-15,TUR Super Lig
3,Ahmet Yilmaz Çalik,Genclerbirligi,21,D(C),29,29,2573,0,1,2,7.07,2014-15,TUR Super Lig
4,Ali Sasal Vural,Eskisehirspor,25,GK,9,8,765,0,0,2,7.06,2014-15,TUR Super Lig
5,Selim Ay,Konyaspor,24,D(C),19,19,1638,1,0,3,7.06,2014-15,TUR Super Lig
6,Sabri Sarioglu,Galatasaray,31,"D(R),M(R)",25,25,2150,0,5,2,7.06,2014-15,TUR Super Lig
7,Burak Yilmaz,Galatasaray,30,"AM(L),FW",28,26,2284,16,5,5,7.05,2014-15,TUR Super Lig
8,Cédric Bakambu,Bursaspor,24,"AM(LR),FW",27,23,1842,13,4,2,7.05,2014-15,TUR Super Lig
9,Mahmut Tekdemir,Istanbul Basaksehir,27,"D(C),DMC",29,29,2577,4,2,3,7.05,2014-15,TUR Super Lig
0,Ryan Donk,Kasimpasa,29,"D(C),DMC",32,32,2880,4,3,2,7.05,2014-15,TUR Super Lig
1,Gökhan Töre,Besiktas,23,"M(LR),FW",28,26,2335,4,5,2,7.05,2014-15,TUR Super Lig
2,Dirk Kuyt,Fenerbahce,35,"M(CLR),FW",32,30,2441,8,5,2,7.04,2014-15,TUR Super Lig
3,Ozer Hurmaci,Trabzonspor,29,M(CLR),25,22,1899,7,2,1,7.04,2014-15,TUR Super Lig
4,Semih Kaya,Galatasaray,24,D(CR),19,19,1638,0,1,1,7.04,2014-15,TUR Super Lig
5,Ibrahim Öztürk,Sivasspor,34,D(C),13,13,1170,1,0,1,7.03,2014-15,TUR Super Lig
6,Daniel Opare,Besiktas,25,"D(CLR),M(R)",6,6,507,1,0,1,7.02,2014-15,TUR Super Lig
7,Burhan Eser,Sivasspor,31,AM(R),31,31,2685,6,6,0,7.02,2014-15,TUR Super Lig
8,Alex Telles,Galatasaray,23,"D(L),M(L)",22,19,1712,1,0,0,7.01,2014-15,TUR Super Lig
9,John Boye,Kayseri Erciyesspor,28,D(C),23,22,1895,2,0,2,7.01,2014-15,TUR Super Lig
0,Orhan Gülle,Kayseri Erciyesspor,23,M(CLR),3,1,136,1,1,1,7.01,2014-15,TUR Super Lig
1,Sener Özbayrakli,Bursaspor,25,D(R),31,31,2790,0,4,2,6.99,2014-15,TUR Super Lig
2,Ugur Demirok,Akhisarspor,27,D(C),13,13,1120,1,0,0,6.99,2014-15,TUR Super Lig
3,Royston Ricky Drenthe,Kayseri Erciyesspor,28,M(CLR),11,8,821,3,1,1,6.99,2014-15,TUR Super Lig
