,Player,Season,Age,Position,Team,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Competition
0,Karim Bellarabi,2012-13,23,"M(CLR),FW",Leverkusen,2,2,180,1,0,0,8.72,UEFA Europa League
1,Julian Riedel,2012-13,22,D(C),Leverkusen,1,1,90,1,0,1,8.71,UEFA Europa League
2,Anthony Lopes,2012-13,23,GK,Lyon,1,1,90,0,0,1,8.41,UEFA Europa League
3,Maxime Poundjé,2012-13,21,D(L),Bordeaux,2,2,180,0,0,1,8.15,UEFA Europa League
4,Aymeric Laporte,2012-13,19,D(CL),Athletic Bilbao,2,2,180,0,0,1,8.12,UEFA Europa League
5,Michel Bastos,2012-13,30,"D(L),M(CLR)",Lyon,1,1,90,0,1,0,8.10,UEFA Europa League
6,Lars Bender,2012-13,24,"D(CR),M(CR)",Leverkusen,5,4,381,0,1,1,8.07,UEFA Europa League
7,Diego Godín,2012-13,27,D(C),Atletico,1,1,90,0,0,0,8.01,UEFA Europa League
8,Nicolas Lombaerts,2012-13,28,D(C),Zenit,4,4,316,0,1,1,7.94,UEFA Europa League
9,Toby Alderweireld,2012-13,24,D(CR),Ajax,2,2,211,1,0,1,7.90,UEFA Europa League
0,Tomas Tujvel,2012-13,30,GK,Fehervar FC,1,1,90,0,0,1,7.90,UEFA Europa League
1,Gaizka Toquero,2012-13,29,"AM(R),FW",Athletic Bilbao,2,2,136,1,0,0,7.87,UEFA Europa League
2,Jonás Ramalho,2012-13,20,D(CR),Athletic Bilbao,2,2,180,0,0,0,7.84,UEFA Europa League
3,Luís Olim,2012-13,32,M(CLR),Maritimo,2,2,180,0,1,1,7.78,UEFA Europa League
4,Fredy Guarín,2012-13,27,M(CR),Inter,8,6,571,3,5,3,7.77,UEFA Europa League
5,Katuku Tshimanga,2012-13,25,D(CL),Genk,5,5,450,0,0,2,7.77,UEFA Europa League
6,Alex,2012-13,36,AM(C),Fenerbahce,1,1,68,1,0,0,7.76,UEFA Europa League
7,Szabolcs Huszti,2012-13,30,M(CLR),Hannover,8,8,683,3,3,1,7.75,UEFA Europa League
8,Bruno Alves,2012-13,32,D(C),Zenit,1,1,73,0,0,0,7.74,UEFA Europa League
9,Victor Moses,2012-13,23,M(CLR),Chelsea,6,5,426,4,0,1,7.72,UEFA Europa League
0,Fernando Torres,2012-13,29,FW,Chelsea,9,9,810,6,0,2,7.72,UEFA Europa League
1,Kevin Strootman,2012-13,23,DMC,PSV Eindhoven,3,3,270,0,0,0,7.70,UEFA Europa League
2,Raúl Bobadilla,2012-13,26,"AM(R),FW",Young Boys,6,6,536,5,2,1,7.69,UEFA Europa League
3,Mathieu Valbuena,2012-13,29,M(CLR),Marseille,4,2,226,1,2,1,7.69,UEFA Europa League
4,Gonzalo Castro,2012-13,26,"D(L),M(CR)",Leverkusen,6,4,412,2,1,1,7.68,UEFA Europa League
5,Antonio Candreva,2012-13,26,M(CLR),Lazio,9,8,705,1,3,1,7.68,UEFA Europa League
6,Andrey Eshchenko,2012-13,29,"D(LR),M(R)",Anzhi,4,4,360,0,0,0,7.67,UEFA Europa League
7,Egor Filipenko,2012-13,25,D(C),BATE,2,2,180,0,0,0,7.67,UEFA Europa League
8,Iván Marcano,2012-13,26,D(CL),Rubin Kazan,10,10,930,1,0,2,7.67,UEFA Europa League
9,Sander Boschker,2012-13,43,GK,Twente,1,1,90,0,0,0,7.65,UEFA Europa League
0,Gareth Bale,2012-13,24,"M(CLR),FW",Tottenham,8,8,716,3,3,1,7.63,UEFA Europa League
1,Maxime Gonalons,2012-13,24,"D(C),M(C)",Lyon,6,6,540,1,0,2,7.63,UEFA Europa League
2,Massadio Haïdara,2012-13,21,"D(CL),M(L)",Newcastle,4,4,337,0,0,1,7.63,UEFA Europa League
3,Evgeny Pomazan,2012-13,24,GK,Anzhi,1,1,90,0,0,0,7.62,UEFA Europa League
4,Mikel San José,2012-13,24,"D(C),DMC",Athletic Bilbao,2,2,180,0,0,0,7.61,UEFA Europa League
5,Lars Stindl,2012-13,25,"M(CLR),FW",Hannover,5,5,399,1,3,2,7.61,UEFA Europa League
6,Emre,2012-13,33,M(C),Atletico,6,5,468,1,3,2,7.60,UEFA Europa League
7,Juanfran,2012-13,37,D(CL),Levante,5,5,480,1,0,1,7.60,UEFA Europa League
8,Oleksandr Goryainov,2012-13,38,GK,Metalist Kharkiv,8,7,675,0,0,2,7.59,UEFA Europa League
9,Jens Hegeler,2012-13,25,"D(C),M(CR)",Leverkusen,6,4,422,1,0,0,7.59,UEFA Europa League
0,Tomás Hubocan,2012-13,28,D(CLR),Zenit,4,4,360,0,0,0,7.59,UEFA Europa League
1,Vlad Chiriches,2012-13,24,D(CR),FC FCSB,10,10,931,3,1,1,7.59,UEFA Europa League
2,Hulk,2012-13,27,"AM(CLR),FW",Zenit,4,4,360,2,0,1,7.58,UEFA Europa League
3,Vicente Iborra,2012-13,25,M(C),Levante,10,10,923,2,1,1,7.58,UEFA Europa League
4,Rodrigo Palacio,2012-13,31,"AM(CLR),FW",Inter,7,2,440,6,2,0,7.57,UEFA Europa League
5,Alexander Lund Hansen,2012-13,31,GK,Rosenborg,3,3,270,0,0,0,7.56,UEFA Europa League
6,Michal Kadlec,2012-13,29,D(CL),Leverkusen,3,3,189,0,0,0,7.56,UEFA Europa League
7,Philipp Wollscheid,2012-13,24,D(C),Leverkusen,7,7,630,1,0,0,7.56,UEFA Europa League
8,Naby Sarr,2012-13,20,D(C),Lyon,1,1,88,1,0,0,7.56,UEFA Europa League
9,Bruno Uvini,2012-13,22,D(C),Napoli,1,1,90,0,0,0,7.55,UEFA Europa League
0,Fabian Schär,2012-13,22,D(C),FC Basel 1893,13,12,1148,4,0,2,7.53,UEFA Europa League
1,Alexander Anyukov,2012-13,31,D(CLR),Zenit,3,3,270,0,1,0,7.52,UEFA Europa League
2,Andrea Coda,2012-13,28,D(C),Udinese,2,2,180,1,0,0,7.52,UEFA Europa League
3,Bibras Natkho,2012-13,25,M(C),Rubin Kazan,11,11,1018,2,3,1,7.51,UEFA Europa League
4,Espen Bugge Pettersen,2012-13,33,GK,Molde,4,4,360,0,0,1,7.50,UEFA Europa League
5,Joe Cole,2012-13,32,M(LR),Liverpool,2,2,153,1,1,1,7.50,UEFA Europa League
6,Thomas Kristensen,2012-13,30,DMC,Copenhagen,6,6,530,0,0,2,7.50,UEFA Europa League
7,Maykon,2012-13,29,D(CLR),AEL Limassol,1,1,76,0,0,0,7.49,UEFA Europa League
8,Cristian Rodríguez,2012-13,28,AM(CL),Atletico,6,5,460,2,0,1,7.49,UEFA Europa League
9,Håvard Nordtveit,2012-13,23,"D(CR),DMC",Borussia M.Gladbach,7,7,613,0,2,2,7.48,UEFA Europa League
0,Christofer Heimeroth,2012-13,32,GK,Borussia M.Gladbach,1,1,90,0,0,0,7.48,UEFA Europa League
1,Tony Jantschke,2012-13,23,"D(CR),DMC",Borussia M.Gladbach,6,6,470,0,0,1,7.47,UEFA Europa League
2,Jussiê,2012-13,30,"AM(C),FW",Bordeaux,4,4,320,3,0,1,7.47,UEFA Europa League
3,Michael Rensing,2012-13,29,GK,Leverkusen,1,1,90,0,0,0,7.47,UEFA Europa League
