,Player,Team,Age,Position,Apps,Starts,Mins,Goals,Assists,MotM,Rating,Season,Competition
0,Alan Dzagoev,Russia,22,"M(CLR),FW",3,3,254,3,0,1,8.18,2011-12,UEFA European Championship
1,Andrey Arshavin,Russia,31,AM(LR),3,3,270,0,3,1,8.14,2011-12,UEFA European Championship
2,Mesut Özil,Germany,24,M(CLR),5,5,438,1,3,2,7.82,2011-12,UEFA European Championship
3,Zlatan Ibrahimovic,Sweden,31,FW,3,3,270,2,0,0,7.78,2011-12,UEFA European Championship
4,Steven Gerrard,England,32,M(C),4,4,390,0,2,1,7.73,2011-12,UEFA European Championship
5,Andrea Pirlo,Italy,33,M(C),6,6,570,1,2,3,7.67,2011-12,UEFA European Championship
6,Xavi,Spain,32,DMC,6,6,536,0,2,2,7.65,2011-12,UEFA European Championship
7,Michael Krohn-Dehli,Denmark,29,M(CLR),3,3,270,2,1,0,7.55,2011-12,UEFA European Championship
8,David Silva,Spain,27,"M(CLR),FW",6,6,412,2,3,1,7.52,2011-12,UEFA European Championship
9,Daniel Agger,Denmark,28,D(C),3,3,270,0,0,0,7.51,2011-12,UEFA European Championship
0,Joe Hart,England,25,GK,4,4,390,0,0,0,7.51,2011-12,UEFA European Championship
1,Cristiano Ronaldo,Portugal,27,"M(L),FW",5,5,480,3,0,1,7.50,2011-12,UEFA European Championship
2,Xabi Alonso,Spain,31,M(C),6,6,545,2,0,1,7.50,2011-12,UEFA European Championship
3,Jordi Alba,Spain,23,"D(L),M(L)",6,6,570,1,1,0,7.47,2011-12,UEFA European Championship
4,Sebastian Larsson,Sweden,27,M(CR),3,3,248,1,2,1,7.46,2011-12,UEFA European Championship
5,Wesley Sneijder,Netherlands,28,AM(CL),3,3,270,0,1,0,7.46,2011-12,UEFA European Championship
6,Pepe,Portugal,29,D(C),5,5,480,1,0,1,7.42,2011-12,UEFA European Championship
7,Mats Hummels,Germany,24,D(C),5,5,450,0,0,1,7.42,2011-12,UEFA European Championship
8,Sergio Busquets,Spain,24,DMC,6,6,570,0,0,0,7.41,2011-12,UEFA European Championship
9,Olof Mellberg,Sweden,35,D(C),3,3,270,1,0,0,7.37,2011-12,UEFA European Championship
0,Yohan Cabaye,France,27,M(C),3,3,242,1,0,1,7.36,2011-12,UEFA European Championship
1,Andrés Iniesta,Spain,28,M(CL),6,6,551,0,1,1,7.34,2011-12,UEFA European Championship
2,Franck Ribéry,France,29,"AM(CL),FW",4,4,360,0,1,0,7.33,2011-12,UEFA European Championship
3,Fábio Coentrão,Portugal,24,"D(L),M(LR)",5,5,480,0,1,0,7.32,2011-12,UEFA European Championship
4,Sergio Ramos,Spain,26,D(CR),6,6,570,0,0,0,7.30,2011-12,UEFA European Championship
5,João Moutinho,Portugal,26,M(C),5,5,480,0,2,1,7.27,2011-12,UEFA European Championship
6,John Terry,England,32,D(C),4,4,390,0,0,1,7.27,2011-12,UEFA European Championship
7,Gerard Piqué,Spain,25,D(C),6,6,570,0,0,0,7.25,2011-12,UEFA European Championship
8,Laurent Koscielny,France,27,D(C),1,1,90,0,0,0,7.25,2011-12,UEFA European Championship
9,Álvaro Arbeloa,Spain,29,D(LR),6,6,570,0,0,0,7.25,2011-12,UEFA European Championship
