,Player,Team,Age,Position,Apps,Mins,Rating,Competition
0,Tyler Adams,Leeds,23,"D(R),M(CR)",17,1527,6.71,ENG Premier League
1,Tim Ream,Fulham,35,"D(CL),DMC",21,1888,6.70,ENG Premier League
2,Antonee Robinson,Fulham,25,"D(L),M(L)",18,1559,6.64,ENG Premier League
3,Brenden Aaronson,Leeds,22,AM(CLR),19,1579,6.52,ENG Premier League
4,Chris Richards,Crystal Palace,22,D(C),6,256,6.50,ENG Premier League
5,Christian Pulisic,Chelsea,24,"M(CLR),FW",16,606,6.29,ENG Premier League
0,Yunus Musah,Valencia,20,AM(CR),14,1086,6.57,ESP La Liga
1,Luca de la Torre,Celta Vigo,24,M(CL),9,189,6.10,ESP La Liga
2,Luka Koleosho,Espanyol,18,M(CLR),2,22,6.05,ESP La Liga
0,Jordan Siebatcheu,Union Berlin,26,FW,15,932,6.80,GER Bundesliga
1,Giovanni Reyna,Borussia Dortmund,20,AM(CLR),12,411,6.62,GER Bundesliga
2,Joe Scally,Borussia M.Gladbach,20,"D(R),M(R)",16,1339,6.49,GER Bundesliga
3,Kevin Paredes,Wolfsburg,19,M(L),9,216,6.34,GER Bundesliga
4,Ricardo Pepi,Augsburg,20,FW,4,95,6.09,GER Bundesliga
5,Timothy Chandler,Eintracht Frankfurt,32,"D(R),M(LR)",4,78,6.03,GER Bundesliga
0,Weston McKennie,Juventus,24,"D(C),M(CLR)",15,1060,6.57,ITA Serie A
1,Sergiño Dest,AC Milan,22,"D(LR),M(R)",8,328,6.39,ITA Serie A
0,Timothy Weah,Lille,22,"M(LR),FW",10,416,6.46,FRA Ligue 1
1,Erik Palmer-Brown,Troyes,25,D(C),19,1610,6.40,FRA Ligue 1
0,Djordje Mihailovic,AZ Alkmaar,24,M(CL),3,200,7.17,NED Eredivisie
1,Ricardo Pepi,FC Groningen,20,FW,12,1001,7.05,NED Eredivisie
2,Richard Ledezma,PSV Eindhoven,22,M(CLR),6,129,6.28,NED Eredivisie
3,Cole Bassett,Fortuna Sittard,21,M(C),10,194,6.05,NED Eredivisie
4,Cole Bassett,Feyenoord,21,M(C),1,6,6.02,NED Eredivisie
0,Haji Wright,Antalyaspor,24,"AM(LR),FW",16,1410,6.94,TUR Süper Lig
1,Gboly Ariyibi,Ankaragucu,28,FW,10,278,6.18,TUR Süper Lig
2,Tyler Boyd,Besiktas,28,AM(CLR),1,45,5.76,TUR Süper Lig
0,Alex Méndez,Vizela,22,AM(C),15,925,6.64,POR Primeira Liga
1,Reggie Cannon,Boavista,24,"D(CR),M(R)",13,991,6.30,POR Primeira Liga
2,Joel Soñora,Maritimo,26,AM(C),4,177,6.17,POR Primeira Liga
3,Alejandro Alvarado,Vizela,19,M(CLR),5,65,6.08,POR Primeira Liga
4,John Brooks,Benfica,29,D(C),2,3,6.06,POR Primeira Liga
0,Malik Tillman,Rangers,20,AM(C),20,1371,7.19,SCO Premiership
1,Cameron Carter-Vickers,Celtic,25,D(C),19,1710,7.08,SCO Premiership
2,Joseph Efford,Motherwell,26,"AM(LR),FW",9,427,6.55,SCO Premiership
3,James Sands,Rangers,22,"D(C),DMC",16,918,6.51,SCO Premiership
4,Dante Polvara,Aberdeen,22,M(CLR),3,137,6.43,SCO Premiership
5,Ian Harkes,Dundee United,27,M(C),18,1200,6.37,SCO Premiership
6,Christian Ramírez,Aberdeen,31,FW,9,181,6.12,SCO Premiership
0,Owen Otasowie,Club Bruges,22,M(CLR),1,68,7.10,BEL Pro League
1,Mark McKenzie,Genk,23,D(C),18,1620,7.02,BEL Pro League
2,Bryan Reynolds,Westerlo,21,D(R),16,1181,6.66,BEL Pro League
3,Sam Vines,Royal Antwerp,23,"D(L),M(L)",15,1263,6.60,BEL Pro League
4,Marlon Fossey,Standard Liege,24,"D(R),M(R)",9,554,6.54,BEL Pro League
0,Josh Sargent,Norwich,22,"AM(CLR),FW",26,2076,7.09,ENG Championship
1,Auston Trusty,Birmingham,24,D(C),28,2520,6.94,ENG Championship
2,Daryl Dike,West Bromwich,22,FW,10,457,6.69,ENG Championship
3,Lynden Gooch,Sunderland,27,"D(R),M(CLR)",19,1640,6.66,ENG Championship
4,Zack Steffen,Middlesbrough,27,GK,24,2160,6.62,ENG Championship
5,Duane Holmes,Huddersfield,28,"M(CLR),FW",25,1552,6.55,ENG Championship
6,Ethan Horvath,Luton,27,GK,26,2340,6.45,ENG Championship
7,Jonathan Tomkinson,Norwich,20,D(CLR),1,90,6.37,ENG Championship
8,Matthew Hoppe,Middlesbrough,21,FW,6,65,6.13,ENG Championship
