,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Algeria,2018-19,13,11,14,0,50.6,76.6,13.9,6.96,AF Cup of Nations
1,Morocco,2018-19,4,16,3,0,58.4,80.8,21.3,6.88,AF Cup of Nations
2,Egypt,2018-19,5,11.8,5,0,54.1,79.7,18,6.87,AF Cup of Nations
3,Senegal,2018-19,8,13.6,10,0,15.3,79.5,16.4,6.84,AF Cup of Nations
4,Mali,2018-19,6,15.3,7,0,52.2,78.3,14,6.82,AF Cup of Nations
5,Ghana,2018-19,5,15.5,6,1,49.7,79.9,18.3,6.80,AF Cup of Nations
6,DR Congo,2018-19,6,14.3,9,0,49.3,75.2,20.8,6.79,AF Cup of Nations
7,Ivory Coast,2018-19,7,11.4,10,0,45.7,74.3,13.6,6.77,AF Cup of Nations
8,Madagascar,2018-19,7,9.2,7,0,46.1,76.6,18.4,6.72,AF Cup of Nations
9,Cameroon,2018-19,4,11.8,8,0,58.4,84.5,13,6.68,AF Cup of Nations
10,Nigeria,2018-19,9,12.1,6,0,49.3,77.8,14.6,6.68,AF Cup of Nations
11,Tunisia,2018-19,6,12,13,0,52.6,79.8,12.7,6.64,AF Cup of Nations
12,South Africa,2018-19,3,8,11,0,51.2,78.2,16.2,6.61,AF Cup of Nations
13,Benin,2018-19,3,10.6,11,2,43.4,71.3,19.2,6.57,AF Cup of Nations
14,Guinea,2018-19,4,12.8,5,0,56.2,82.4,17.3,6.55,AF Cup of Nations
15,Uganda,2018-19,3,11.3,7,0,33.9,72.4,18.5,6.54,AF Cup of Nations
16,Mauritania,2018-19,1,8.3,7,0,44.0,70.7,12.7,6.48,AF Cup of Nations
17,Angola,2018-19,1,9.7,6,0,51.2,75.4,12.3,6.47,AF Cup of Nations
18,Guinea-Bissau,2018-19,0,9.3,4,0,44.3,76.4,15.7,6.41,AF Cup of Nations
19,Burundi,2018-19,0,12.3,4,1,43.3,72.6,16,6.40,AF Cup of Nations
20,Zimbabwe,2018-19,1,13,2,0,51.6,75.3,11,6.37,AF Cup of Nations
21,Namibia,2018-19,1,6.7,5,0,44.4,77.3,15.7,6.28,AF Cup of Nations
22,Kenya,2018-19,3,10.3,7,1,44.3,73.4,14.7,6.25,AF Cup of Nations
23,Tanzania,2018-19,2,7.7,7,0,44.3,71.7,10.3,6.25,AF Cup of Nations
0,Ivory Coast,2021-22,6,13.8,8,0,54.4,82.5,15.5,6.91,AF Cup of Nations
1,Senegal,2021-22,9,13.4,13,0,57.9,81.3,14,6.79,AF Cup of Nations
2,Cameroon,2021-22,14,15.4,11,0,59.3,85.5,10,6.73,AF Cup of Nations
3,Nigeria,2021-22,6,15.3,3,1,52.0,82.4,9.8,6.73,AF Cup of Nations
4,Egypt,2021-22,4,11.9,11,0,52.0,76.9,17.6,6.72,AF Cup of Nations
5,Morocco,2021-22,8,16,6,0,60.3,79.2,17.8,6.71,AF Cup of Nations
6,Mali,2021-22,4,15.3,8,1,58.8,84.5,13.8,6.68,AF Cup of Nations
7,Burkina Faso,2021-22,9,10.4,18,1,43.0,76.3,10.4,6.61,AF Cup of Nations
8,Tunisia,2021-22,5,11.4,10,1,57.0,81.2,11.8,6.57,AF Cup of Nations
9,Equatorial Guinea,2021-22,3,10.6,13,0,45.2,74.6,10.2,6.57,AF Cup of Nations
10,Sierra Leone,2021-22,2,8,7,1,39.9,74.1,13.7,6.54,AF Cup of Nations
11,Gabon,2021-22,5,11.8,12,1,43.9,74.7,13.5,6.54,AF Cup of Nations
12,Guinea,2021-22,2,13.3,8,1,57.8,75.4,15.8,6.52,AF Cup of Nations
13,Gambia,2021-22,4,7.6,11,1,38.0,73.3,9.6,6.51,AF Cup of Nations
14,Cape Verde,2021-22,2,6,4,2,47.5,78.6,10,6.45,AF Cup of Nations
15,Malawi,2021-22,3,8.3,9,0,29.7,55.0,13,6.43,AF Cup of Nations
16,Guinea-Bissau,2021-22,0,8.7,4,0,48.5,82.8,6,6.43,AF Cup of Nations
17,Sudan,2021-22,1,7.7,4,0,40.6,73.8,7.7,6.42,AF Cup of Nations
18,Algeria,2021-22,1,15.3,7,0,63.7,84.9,8,6.42,AF Cup of Nations
19,Zimbabwe,2021-22,3,11.3,8,0,46.0,73.9,17,6.41,AF Cup of Nations
20,Comoros,2021-22,4,10.3,6,1,44.0,76.5,9.8,6.41,AF Cup of Nations
21,Ghana,2021-22,3,10.7,7,2,51.4,73.7,12,6.38,AF Cup of Nations
22,Ethiopia,2021-22,2,10,4,1,49.5,82.1,4.3,6.23,AF Cup of Nations
23,Mauritania,2021-22,0,12.7,5,0,46.6,82.5,13,6.16,AF Cup of Nations
