,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Club Bruges,2020-21,80,15.3,53,2,54.3,80.2,15.5,6.87,BEL Pro League
1,Genk,2020-21,82,13.1,60,6,52.8,83.5,13.7,6.87,BEL Pro League
2,Gent,2020-21,55,14.5,54,2,54.3,80.9,15.9,6.78,BEL Pro League
3,Standard Liege,2020-21,52,14.1,61,4,52.8,79.9,16.9,6.77,BEL Pro League
4,Royal Antwerp,2020-21,63,12.2,84,5,50.5,80.7,19.1,6.73,BEL Pro League
5,OH Leuven,2020-21,54,11.9,54,4,46.5,76.1,11.2,6.72,BEL Pro League
6,Sporting Charleroi,2020-21,46,12.4,65,3,51.2,77.7,18.8,6.71,BEL Pro League
7,Anderlecht,2020-21,60,13.2,58,5,52.4,82.7,12.3,6.70,BEL Pro League
8,Beerschot,2020-21,58,11.7,64,1,46.7,73.0,15.5,6.66,BEL Pro League
9,Zulte Waregem,2020-21,53,12.4,51,3,50.0,78.4,16.2,6.65,BEL Pro League
10,Kortrijk,2020-21,44,13.5,61,2,49.3,74.3,18.1,6.64,BEL Pro League
11,KV Mechelen,2020-21,54,14.6,64,3,51.8,79.4,14.9,6.63,BEL Pro League
12,Oostende,2020-21,49,13.6,69,4,48.1,71.3,18.1,6.63,BEL Pro League
13,Eupen,2020-21,44,13.5,69,3,49.5,79.6,12,6.63,BEL Pro League
14,Cercle Bruges,2020-21,40,10.8,67,5,47.7,76.3,13.6,6.61,BEL Pro League
15,St.Truiden,2020-21,41,10.6,68,8,49.6,79.0,14,6.59,BEL Pro League
16,SK Beveren,2020-21,44,10.5,71,4,47.4,76.7,14.8,6.59,BEL Pro League
17,Royal Excel Mouscron,2020-21,32,11.3,76,4,43.6,69.2,17.9,6.54,BEL Pro League
0,Club Bruges,2021-22,72,15.6,48,8,58.6,81.5,15,6.88,BEL Pro League
1,Union St.Gilloise,2021-22,73,14.5,76,4,47.8,76.5,14.6,6.85,BEL Pro League
2,Anderlecht,2021-22,72,14.8,54,6,55.8,83.8,11.6,6.75,BEL Pro League
3,Royal Antwerp,2021-22,55,12.9,71,6,53.8,78.8,16.8,6.75,BEL Pro League
4,Genk,2021-22,10,16.3,7,0,56.6,82.4,12.7,6.73,BEL Pro League
5,Gent,2021-22,9,10.3,11,1,46.8,76.2,14.3,6.73,BEL Pro League
6,St.Truiden,2021-22,42,12.2,76,4,42.3,71.8,19,6.65,BEL Pro League
7,Cercle Bruges,2021-22,49,13.7,73,4,46.2,66.9,20.2,6.64,BEL Pro League
8,Sporting Charleroi,2021-22,10,12.7,11,0,43.0,75.6,14.2,6.62,BEL Pro League
9,Kortrijk,2021-22,43,12.3,90,4,47.5,74.7,18.7,6.61,BEL Pro League
10,OH Leuven,2021-22,42,12.8,66,6,49.8,78.4,10.6,6.61,BEL Pro League
11,KV Mechelen,2021-22,6,13.5,10,1,53.9,79.3,14.8,6.60,BEL Pro League
12,Zulte Waregem,2021-22,42,10.8,71,5,44.4,75.4,16,6.60,BEL Pro League
13,Standard Liege,2021-22,32,11.8,109,6,47.7,76.4,16.1,6.54,BEL Pro League
14,Eupen,2021-22,37,12,78,2,50.8,79.0,11.6,6.51,BEL Pro League
15,Oostende,2021-22,34,11.8,71,6,45.3,68.6,17.1,6.49,BEL Pro League
16,Beerschot,2021-22,33,11.3,76,9,43.3,73.1,16.6,6.49,BEL Pro League
17,RFC Seraing,2021-22,30,10.4,60,6,47.8,77.1,12.2,6.48,BEL Pro League
