,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Argentina,2014-15,10,14.8,15,0,59.0,85.0,15.8,7.11,CONMEBOL Copa America
1,Chile,2014-15,13,15.7,11,1,63.7,86.2,13.2,7.11,CONMEBOL Copa America
2,Peru,2014-15,8,12.7,15,1,47.4,78.9,13,6.82,CONMEBOL Copa America
3,Brazil,2014-15,5,12,8,1,57.4,84.5,15.3,6.76,CONMEBOL Copa America
4,Colombia,2014-15,1,12,11,1,48.8,76.3,10,6.74,CONMEBOL Copa America
5,Uruguay,2014-15,2,10.8,9,2,42.2,69.4,21,6.70,CONMEBOL Copa America
6,Mexico,2014-15,4,9.7,5,0,45.7,67.6,18.3,6.64,CONMEBOL Copa America
7,Paraguay,2014-15,6,11,16,0,45.2,73.1,19.5,6.56,CONMEBOL Copa America
8,Ecuador,2014-15,4,16.7,7,0,51.3,75.6,16.7,6.55,CONMEBOL Copa America
9,Venezuela,2014-15,2,6,8,1,41.9,70.9,19.3,6.46,CONMEBOL Copa America
10,Jamaica,2014-15,0,7,6,0,42.8,70.9,16.7,6.42,CONMEBOL Copa America
11,Bolivia,2014-15,5,6.8,12,0,41.8,69.7,11.3,6.41,CONMEBOL Copa America
0,Brazil,2018-19,13,16.7,11,1,60.0,88.2,15.8,7.17,CONMEBOL Copa America
1,Uruguay,2018-19,7,16.3,5,0,51.1,76.5,26.3,7.02,CONMEBOL Copa America
2,Colombia,2018-19,4,11.5,10,0,50.5,79.3,18,6.96,CONMEBOL Copa America
3,Peru,2018-19,7,10.3,12,0,46.4,78.3,17.8,6.74,CONMEBOL Copa America
4,Chile,2018-19,7,11.7,12,1,54.6,80.9,23.5,6.73,CONMEBOL Copa America
5,Argentina,2018-19,7,14.2,19,1,50.1,82.5,12.8,6.71,CONMEBOL Copa America
6,Venezuela,2018-19,3,9.5,7,1,46.9,80.5,16.5,6.69,CONMEBOL Copa America
7,Paraguay,2018-19,3,9.5,9,1,44.7,75.8,14.8,6.55,CONMEBOL Copa America
8,Qatar,2018-19,2,6.3,11,0,46.7,78.4,12.3,6.51,CONMEBOL Copa America
9,Japan,2018-19,3,13.7,5,0,47.7,77.4,20.3,6.46,CONMEBOL Copa America
10,Ecuador,2018-19,2,8.3,8,2,48.6,78.7,22,6.31,CONMEBOL Copa America
11,Bolivia,2018-19,2,7.3,6,0,43.9,77.9,12,6.24,CONMEBOL Copa America
