,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Chelsea,2009-10,100,21.9,54,5,55.4,82.5,11.6,7.30,ENG Premier League
1,Tottenham,2009-10,67,17.9,58,1,22.8,76.1,18.2,7.19,ENG Premier League
2,Manchester United,2009-10,76,18.3,49,4,56.6,79.9,13.2,7.19,ENG Premier League
3,Arsenal,2009-10,79,17.4,56,1,23.8,80.8,14.4,7.17,ENG Premier League
4,Aston Villa,2009-10,51,13.1,59,2,22.9,71.8,18.8,7.06,ENG Premier League
5,Manchester City,2009-10,74,13.8,49,2,23.8,76.0,12.7,7.06,ENG Premier League
6,Liverpool,2009-10,60,16.9,55,5,27.0,78.5,13,7.04,ENG Premier League
7,Everton,2009-10,59,15.5,57,2,52.6,75.0,16.2,7.00,ENG Premier League
8,Birmingham,2009-10,38,11.9,74,1,18.1,67.2,16.9,6.91,ENG Premier League
9,Sunderland,2009-10,48,11.7,77,9,21.7,65.9,18.9,6.89,ENG Premier League
10,West Ham,2009-10,50,14.4,62,3,18.2,74.9,15.3,6.88,ENG Premier League
11,Fulham,2009-10,43,12.2,46,1,22.6,73.8,15.5,6.86,ENG Premier League
12,Bolton,2009-10,46,14.7,74,5,36.2,63.7,20.1,6.85,ENG Premier League
13,Stoke,2009-10,35,10.6,63,5,16.1,62.2,19.6,6.82,ENG Premier League
14,Wigan,2009-10,37,14.6,65,3,23.0,74.3,14.9,6.81,ENG Premier League
15,Blackburn,2009-10,40,12.9,57,2,20.0,63.8,21.2,6.80,ENG Premier League
16,Portsmouth,2009-10,37,14,68,5,20.4,73.6,13.7,6.72,ENG Premier League
17,Wolverhampton,2009-10,31,11.5,63,4,20.9,67.3,15,6.71,ENG Premier League
18,Burnley,2009-10,43,12.1,57,2,48.0,68.7,15.2,6.67,ENG Premier League
19,Hull,2009-10,39,10.2,64,6,17.7,66.7,16.2,6.64,ENG Premier League
0,Chelsea,2010-11,69,19.6,59,1,56.0,83.0,12.7,7.05,ENG Premier League
1,Manchester United,2010-11,78,16.3,56,3,54.6,80.8,12.6,7.03,ENG Premier League
2,Arsenal,2010-11,72,17.2,65,6,57.7,83.4,13.7,7.02,ENG Premier League
3,Tottenham,2010-11,55,17.3,51,2,53.4,79.6,16.2,6.98,ENG Premier League
4,Manchester City,2010-11,58,14.4,71,5,52.5,81.5,12.2,6.98,ENG Premier League
5,Liverpool,2010-11,61,15.3,63,2,51.5,76.6,13.9,6.90,ENG Premier League
6,Fulham,2010-11,49,14.4,52,1,50.2,75.5,16,6.90,ENG Premier League
7,Bolton,2010-11,52,15,67,5,47.4,66.6,20.9,6.88,ENG Premier League
8,Sunderland,2010-11,45,14,57,5,48.8,71.0,17.8,6.83,ENG Premier League
9,Aston Villa,2010-11,48,13.3,71,2,49.1,73.4,16.5,6.82,ENG Premier League
10,Everton,2010-11,51,15.3,55,5,49.9,75.5,14.4,6.81,ENG Premier League
11,Wigan,2010-11,40,13.4,67,4,50.6,74.8,12.5,6.80,ENG Premier League
12,Newcastle,2010-11,57,13.3,78,2,49.8,75.4,15.8,6.79,ENG Premier League
13,West Ham,2010-11,43,15.1,59,1,46.4,74.9,16.3,6.76,ENG Premier League
14,Stoke,2010-11,46,12.7,68,2,42.0,63.4,19.8,6.75,ENG Premier League
15,Blackburn,2010-11,46,11.9,65,5,44.0,64.2,15.7,6.74,ENG Premier League
16,Blackpool,2010-11,59,14,47,2,49.9,75.4,13.5,6.73,ENG Premier League
17,West Bromwich,2010-11,56,15.7,52,7,48.7,77.2,11.2,6.70,ENG Premier League
18,Birmingham,2010-11,37,10.6,57,3,47.9,70.6,16.9,6.68,ENG Premier League
19,Wolverhampton,2010-11,46,12.1,62,2,49.6,71.6,14.7,6.65,ENG Premier League
0,Manchester United,2011-12,89,17,51,1,55.9,84.8,8.3,7.15,ENG Premier League
1,Manchester City,2011-12,93,19.4,51,5,56.6,85.4,9,7.12,ENG Premier League
2,Tottenham,2011-12,66,18.4,43,3,55.5,84.2,11,7.04,ENG Premier League
3,Arsenal,2011-12,79,16.8,64,4,57.7,84.1,10.6,6.94,ENG Premier League
4,Chelsea,2011-12,64,17.7,74,4,54.2,84.5,8.3,6.90,ENG Premier League
5,Fulham,2011-12,48,14.2,54,0,49.3,81.4,9.5,6.83,ENG Premier League
6,Liverpool,2011-12,45,17.6,53,5,53.6,80.7,12.9,6.82,ENG Premier League
7,Sunderland,2011-12,45,12.1,59,4,45.6,73.6,10.8,6.81,ENG Premier League
8,Swansea,2011-12,44,12.4,40,2,56.2,85.1,5.9,6.80,ENG Premier League
9,Newcastle,2011-12,51,12.9,67,2,47.9,76.0,10.9,6.78,ENG Premier League
10,Aston Villa,2011-12,37,11.5,70,2,45.7,72.2,13.5,6.77,ENG Premier League
11,Everton,2011-12,51,13.7,60,2,23.2,76.7,11.8,6.75,ENG Premier League
12,West Bromwich,2011-12,47,14.3,47,1,46.7,76.2,10.8,6.73,ENG Premier League
13,Queens Park Rangers,2011-12,43,14.2,54,9,21.6,73.8,11,6.71,ENG Premier League
14,Bolton,2011-12,46,13,50,5,47.5,71.1,12.8,6.68,ENG Premier League
15,Norwich,2011-12,52,13.5,58,3,47.4,75.4,10.5,6.67,ENG Premier League
16,Wigan,2011-12,42,13.7,67,3,49.9,79.9,7.9,6.66,ENG Premier League
17,Stoke,2011-12,38,9.9,60,2,43.3,69.1,15.3,6.65,ENG Premier League
18,Blackburn,2011-12,48,11.9,66,5,43.8,71.2,9.4,6.63,ENG Premier League
19,Wolverhampton,2011-12,42,12.4,64,4,48.2,75.6,10.6,6.58,ENG Premier League
0,Arsenal,2012-13,69,15.7,42,5,56.2,85.2,16.8,7.03,ENG Premier League
1,Manchester United,2012-13,85,14.7,57,1,54.9,85.2,14.2,7.03,ENG Premier League
2,Liverpool,2012-13,71,19.4,54,2,55.1,83.9,12.7,6.99,ENG Premier League
3,Tottenham,2012-13,62,17.9,55,2,52.8,82.5,14.6,6.98,ENG Premier League
4,Chelsea,2012-13,74,16.5,51,3,52.9,82.7,13.5,6.96,ENG Premier League
5,Manchester City,2012-13,66,17.3,62,3,56.0,84.6,15.8,6.96,ENG Premier League
6,Everton,2012-13,53,16.7,59,3,51.9,79.0,18.6,6.93,ENG Premier League
7,Swansea,2012-13,48,13.3,58,2,54.4,84.4,12.9,6.83,ENG Premier League
8,Fulham,2012-13,45,12.1,48,3,49.6,81.4,15.3,6.82,ENG Premier League
9,Aston Villa,2012-13,53,11.5,71,3,47.1,77.2,18.9,6.80,ENG Premier League
10,Southampton,2012-13,51,13.6,43,2,52.2,77.3,16.4,6.79,ENG Premier League
11,West Ham,2012-13,45,13,74,1,45.1,73.6,21.1,6.79,ENG Premier League
12,Sunderland,2012-13,42,11,61,3,44.7,75.2,17.1,6.74,ENG Premier League
13,Queens Park Rangers,2012-13,34,13.2,59,3,46.9,76.2,15.3,6.74,ENG Premier League
14,Newcastle,2012-13,45,14,71,4,49.3,79.1,18.1,6.72,ENG Premier League
15,Stoke,2012-13,37,10.3,77,4,44.5,69.9,28.9,6.72,ENG Premier League
16,West Bromwich,2012-13,53,13.3,63,4,46.3,77.7,15.7,6.71,ENG Premier League
17,Wigan,2012-13,48,13.2,67,2,52.9,82.1,10.3,6.68,ENG Premier League
18,Norwich,2012-13,41,10.9,60,1,44.4,73.0,17,6.66,ENG Premier League
19,Reading,2012-13,41,10.3,45,1,42.8,69.2,18.4,6.64,ENG Premier League
0,Liverpool,2013-14,101,17.1,54,1,27.7,84.1,15.2,7.18,ENG Premier League
1,Manchester City,2013-14,100,17.7,72,1,55.7,85.5,15.2,7.13,ENG Premier League
2,Chelsea,2013-14,71,18.2,57,3,53.9,82.7,19.3,7.07,ENG Premier League
3,Arsenal,2013-14,70,13.8,53,4,30.7,85.5,17.9,7.05,ENG Premier League
4,Everton,2013-14,62,14.8,55,1,54.4,83.2,14.3,7.01,ENG Premier League
5,Manchester United,2013-14,64,13.8,66,3,54.3,84.0,15.4,6.95,ENG Premier League
6,Southampton,2013-14,53,14.1,60,0,27.2,81.1,17.4,6.91,ENG Premier League
7,Crystal Palace,2013-14,33,10.9,58,2,16.9,70.2,23.2,6.85,ENG Premier League
8,Tottenham,2013-14,51,15.4,66,4,29.4,81.1,15,6.84,ENG Premier League
9,Stoke,2013-14,43,11.3,72,5,48.1,77.3,25.3,6.83,ENG Premier League
10,Newcastle,2013-14,43,15.2,52,6,49.8,79.4,20.6,6.82,ENG Premier League
11,Swansea,2013-14,49,13,55,3,55.6,84.8,14.9,6.81,ENG Premier League
12,West Ham,2013-14,38,11.1,62,5,44.2,73.1,21.2,6.79,ENG Premier League
13,West Bromwich,2013-14,43,12.8,67,0,47.2,77.1,18.2,6.75,ENG Premier League
14,Hull,2013-14,39,11.3,53,4,44.4,76.1,18.9,6.72,ENG Premier League
15,Aston Villa,2013-14,42,11.3,78,0,44.8,73.2,19.3,6.71,ENG Premier League
16,Sunderland,2013-14,46,12.9,69,7,13.4,77.5,15,6.68,ENG Premier League
17,Norwich,2013-14,31,12.3,62,2,46.4,75.9,15.8,6.66,ENG Premier League
18,Fulham,2013-14,43,11.3,58,1,45.7,78.0,17.1,6.66,ENG Premier League
19,Cardiff,2013-14,30,11,49,1,45.9,75.4,18.5,6.64,ENG Premier League
0,Arsenal,2014-15,70,16.1,68,2,55.7,83.8,19.8,7.15,ENG Premier League
1,Manchester City,2014-15,84,17.6,77,2,57.0,84.6,15.9,7.07,ENG Premier League
2,Chelsea,2014-15,72,14.8,73,4,54.1,83.2,18.6,7.06,ENG Premier League
3,Manchester United,2014-15,61,13.5,64,5,58.8,85.1,15.8,6.99,ENG Premier League
4,Southampton,2014-15,49,13.4,57,3,51.9,79.7,16.9,6.91,ENG Premier League
5,Liverpool,2014-15,51,15.5,66,3,54.3,82.8,14.9,6.90,ENG Premier League
6,Tottenham,2014-15,58,13.9,79,4,55.2,81.2,16,6.89,ENG Premier League
7,Stoke,2014-15,47,13.2,82,1,50.2,77.5,24.4,6.87,ENG Premier League
8,Swansea,2014-15,45,11.2,48,5,50.7,82.1,14.4,6.86,ENG Premier League
9,West Ham,2014-15,45,12.9,64,2,46.7,74.6,22.9,6.85,ENG Premier League
10,Leicester,2014-15,51,12,50,4,44.8,71.1,23.4,6.84,ENG Premier League
11,Crystal Palace,2014-15,46,11.6,63,4,42.7,69.4,23.7,6.83,ENG Premier League
12,Everton,2014-15,48,12.7,66,2,53.6,82.5,15.3,6.82,ENG Premier League
13,Burnley,2014-15,29,11.3,64,2,44.0,70.3,25.1,6.79,ENG Premier League
14,Queens Park Rangers,2014-15,42,14.1,75,3,46.3,70.8,21.7,6.77,ENG Premier League
15,West Bromwich,2014-15,37,10.8,64,3,44.9,75.0,17.2,6.77,ENG Premier League
16,Hull,2014-15,32,11.3,73,6,45.5,76.5,21.9,6.76,ENG Premier League
17,Sunderland,2014-15,35,10.7,94,2,46.2,76.1,15.3,6.75,ENG Premier League
18,Newcastle,2014-15,41,12.3,65,7,48.1,76.9,17.7,6.74,ENG Premier League
19,Aston Villa,2014-15,32,11,70,7,49.1,79.0,18.4,6.69,ENG Premier League
0,Arsenal,2015-16,66,15.1,40,4,56.9,84.2,15.2,7.08,ENG Premier League
1,Leicester,2015-16,68,13.7,48,3,44.7,70.5,18.8,7.06,ENG Premier League
2,Tottenham,2015-16,71,17.3,72,0,55.3,80.5,14.3,7.01,ENG Premier League
3,Manchester City,2015-16,71,16.2,61,0,55.2,83.1,15.7,7.01,ENG Premier League
4,West Ham,2015-16,67,14.7,58,5,49.1,77.6,17.7,6.92,ENG Premier League
5,Southampton,2015-16,57,13.7,57,6,49.3,77.7,19.3,6.91,ENG Premier League
6,Liverpool,2015-16,63,16.6,61,3,55.0,80.2,16.5,6.91,ENG Premier League
7,Everton,2015-16,58,12.9,44,5,51.5,81.4,12.9,6.88,ENG Premier League
8,Chelsea,2015-16,58,13.8,58,5,54.4,82.5,14.1,6.87,ENG Premier League
9,Manchester United,2015-16,47,11.3,65,1,55.8,82.3,13.1,6.83,ENG Premier League
10,Watford,2015-16,40,11.7,73,3,46.3,72.6,17.4,6.80,ENG Premier League
11,Sunderland,2015-16,48,11.6,64,2,43.3,71.0,17.3,6.76,ENG Premier League
12,Crystal Palace,2015-16,40,12.3,60,2,46.8,74.4,17.8,6.76,ENG Premier League
13,Swansea,2015-16,43,11.6,60,1,52.0,80.9,13.7,6.75,ENG Premier League
14,Stoke,2015-16,41,11,51,4,50.0,79.1,16.4,6.74,ENG Premier League
15,Newcastle,2015-16,44,10.4,60,5,47.4,76.6,13.9,6.73,ENG Premier League
16,West Bromwich,2015-16,32,10.2,65,3,42.3,70.0,19.1,6.72,ENG Premier League
17,Bournemouth,2015-16,45,12.2,53,1,51.0,79.8,15.3,6.71,ENG Premier League
18,Aston Villa,2015-16,27,10,75,3,47.3,77.8,19.1,6.69,ENG Premier League
19,Norwich,2015-16,39,11,61,3,46.5,73.6,17.4,6.61,ENG Premier League
0,Chelsea,2016-17,85,15.3,72,0,54.0,83.9,14.2,7.05,ENG Premier League
1,Tottenham,2016-17,86,17.6,62,0,57.4,82.5,15,7.04,ENG Premier League
2,Manchester City,2016-17,80,16.7,71,4,60.9,85.5,15.4,7.01,ENG Premier League
3,Arsenal,2016-17,77,14.9,68,3,56.5,83.8,16.7,6.99,ENG Premier League
4,Manchester United,2016-17,54,15.6,78,2,55.0,84.2,16.4,6.99,ENG Premier League
5,Liverpool,2016-17,78,16.8,54,0,58.3,82.4,17.3,6.98,ENG Premier League
6,Everton,2016-17,62,13.2,72,2,51.5,79.0,17.5,6.91,ENG Premier League
7,Southampton,2016-17,41,14.5,59,2,53.1,80.5,17.1,6.76,ENG Premier League
8,West Ham,2016-17,47,13.1,78,5,48.4,78.2,19.1,6.76,ENG Premier League
9,Stoke,2016-17,41,11.2,70,2,47.2,75.3,21.3,6.76,ENG Premier League
10,Crystal Palace,2016-17,50,11.6,77,0,46.7,73.4,22,6.76,ENG Premier League
11,Middlesbrough,2016-17,27,9.2,77,1,47.9,77.3,20.3,6.74,ENG Premier League
12,Bournemouth,2016-17,55,11.9,52,3,51.3,81.3,14.4,6.74,ENG Premier League
13,Burnley,2016-17,39,10.3,65,2,42.7,67.8,24,6.72,ENG Premier League
