,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Barcelona,2009-10,98,15.6,74,5,63.7,87.0,8.3,7.30,ESP La Liga
1,Real Madrid,2009-10,102,21.5,87,5,57.0,83.3,9.9,7.27,ESP La Liga
2,Valencia,2009-10,59,14.3,107,8,54.4,78.3,9.2,6.96,ESP La Liga
3,Mallorca,2009-10,57,12.8,95,4,0.0,71.5,12.7,6.95,ESP La Liga
4,Sevilla,2009-10,66,13.2,99,10,52.1,75.0,12.3,6.91,ESP La Liga
5,Athletic Bilbao,2009-10,50,12.8,92,10,45.7,69.9,14.8,6.90,ESP La Liga
6,Villarreal,2009-10,58,12.7,89,11,50.4,75.2,9.2,6.87,ESP La Liga
7,Almeria,2009-10,43,11.7,96,7,48.6,74.3,8.1,6.86,ESP La Liga
8,Getafe,2009-10,58,14.7,109,4,53.6,78.5,8.3,6.85,ESP La Liga
9,Malaga,2009-10,42,11.7,130,10,20.1,69.1,9.7,6.84,ESP La Liga
10,Atletico Madrid,2009-10,57,14.6,87,7,50.5,73.4,10.2,6.80,ESP La Liga
11,Real Zaragoza,2009-10,44,12.8,125,6,23.3,73.0,10.4,6.80,ESP La Liga
12,Racing Santander,2009-10,42,10.8,100,7,27.7,71.4,11.3,6.78,ESP La Liga
13,Tenerife,2009-10,40,14.2,89,4,50.8,72.1,12.2,6.78,ESP La Liga
14,Real Valladolid,2009-10,37,13.3,98,11,40.1,70.5,12.1,6.76,ESP La Liga
15,Sporting Gijon,2009-10,35,10.9,97,6,20.6,71.4,9.5,6.76,ESP La Liga
16,Espanyol,2009-10,29,12.2,108,9,50.5,74.3,10.2,6.75,ESP La Liga
17,Osasuna,2009-10,37,11.1,81,9,46.6,66.9,12.1,6.74,ESP La Liga
18,Deportivo La Coruna,2009-10,35,10.4,64,6,46.6,75.0,9.1,6.72,ESP La Liga
19,Xerez,2009-10,40,9.5,97,14,46.5,70.8,10,6.64,ESP La Liga
0,Barcelona,2010-11,95,15.8,71,2,67.4,89.6,6.2,7.21,ESP La Liga
1,Real Madrid,2010-11,102,19.1,94,7,55.0,82.9,10.1,7.20,ESP La Liga
2,Valencia,2010-11,64,13.1,112,8,0.0,80.0,11.8,6.97,ESP La Liga
3,Villarreal,2010-11,54,13.9,88,5,52.7,82.2,7.8,6.95,ESP La Liga
4,Atletico Madrid,2010-11,62,15.1,106,5,49.9,76.6,10.7,6.89,ESP La Liga
5,Real Zaragoza,2010-11,41,14,120,9,0.0,71.2,13.9,6.85,ESP La Liga
6,Sevilla,2010-11,64,13.8,100,7,0.0,80.1,13.7,6.85,ESP La Liga
7,Osasuna,2010-11,46,12.7,106,7,0.0,70.2,17,6.85,ESP La Liga
8,Sporting Gijon,2010-11,35,11.6,109,6,45.0,72.5,12,6.85,ESP La Liga
9,Athletic Bilbao,2010-11,59,13.4,103,7,48.1,74.2,15.6,6.84,ESP La Liga
10,Mallorca,2010-11,41,13,88,4,47.0,74.1,15.6,6.83,ESP La Liga
