,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Lyon,2009-10,64,15.6,64,3,54.8,77.4,10.5,7.05,FRA Ligue 1
1,Marseille,2009-10,70,15.7,64,2,0.0,77.9,11.7,7.02,FRA Ligue 1
2,Auxerre,2009-10,41,10.6,55,2,0.0,73.1,10.9,6.98,FRA Ligue 1
3,Bordeaux,2009-10,58,13.7,65,6,56.1,80.5,11.9,6.97,FRA Ligue 1
4,Lorient,2009-10,54,12.2,56,3,49.9,73.6,8.8,6.96,FRA Ligue 1
5,Lille,2009-10,70,15.3,70,4,54.0,76.2,11.2,6.96,FRA Ligue 1
6,Valenciennes,2009-10,50,11.8,72,3,50.2,75.0,11.6,6.94,FRA Ligue 1
7,Monaco,2009-10,39,12.6,91,4,48.9,71.0,10.4,6.88,FRA Ligue 1
8,Saint-Etienne,2009-10,28,13.4,62,4,0.0,75.5,10,6.86,FRA Ligue 1
9,Toulouse,2009-10,36,12.6,73,5,50.6,75.2,11.2,6.85,FRA Ligue 1
10,Rennes,2009-10,52,13.8,48,6,0.0,75.4,11.8,6.85,FRA Ligue 1
11,Nancy,2009-10,46,12.3,64,6,46.9,69.8,10.6,6.83,FRA Ligue 1
12,Lens,2009-10,40,11.9,60,2,47.5,73.9,10.1,6.82,FRA Ligue 1
13,Montpellier,2009-10,50,12.3,82,6,51.0,74.2,9.6,6.81,FRA Ligue 1
14,Nice,2009-10,40,11.6,71,5,0.0,73.8,8.9,6.81,FRA Ligue 1
15,Paris Saint-Germain,2009-10,51,13.3,56,2,49.2,75.7,11.3,6.80,FRA Ligue 1
16,Sochaux,2009-10,28,11.4,57,4,0.0,76.3,8.8,6.76,FRA Ligue 1
17,Boulogne,2009-10,31,9.3,78,6,17.6,70.2,8.7,6.69,FRA Ligue 1
18,Le Mans,2009-10,38,11.2,86,8,26.6,70.8,14.9,6.68,FRA Ligue 1
19,Grenoble,2009-10,33,12.1,66,7,0.0,71.7,10.6,6.66,FRA Ligue 1
0,Lille,2010-11,68,14.8,54,1,55.5,79.8,11.9,6.91,FRA Ligue 1
1,Marseille,2010-11,61,15,60,4,0.0,76.9,13.3,6.90,FRA Ligue 1
2,Nancy,2010-11,40,14.2,62,6,0.0,73.1,12.7,6.88,FRA Ligue 1
3,Sochaux,2010-11,59,11.8,48,4,0.0,78.2,12.4,6.88,FRA Ligue 1
4,Caen,2010-11,47,10.9,82,4,0.0,73.3,9.9,6.84,FRA Ligue 1
5,Brest,2010-11,36,12,50,0,49.1,71.1,12.4,6.84,FRA Ligue 1
6,Lorient,2010-11,46,12,50,6,53.9,80.2,9,6.83,FRA Ligue 1
7,Paris Saint-Germain,2010-11,56,14.7,59,4,49.2,76.2,14.6,6.83,FRA Ligue 1
8,Rennes,2010-11,38,11.3,56,6,0.0,77.6,12.7,6.82,FRA Ligue 1
9,Bordeaux,2010-11,41,13.5,76,3,0.0,76.5,13.8,6.82,FRA Ligue 1
10,Lyon,2010-11,61,14.7,57,8,53.9,76.8,12.1,6.81,FRA Ligue 1
11,Toulouse,2010-11,38,9.7,61,2,0.0,74.1,12.5,6.79,FRA Ligue 1
12,Valenciennes,2010-11,45,11.6,67,2,49.2,74.1,13.4,6.79,FRA Ligue 1
13,Auxerre,2010-11,45,11.4,73,0,45.7,73.5,12.5,6.78,FRA Ligue 1
14,Lens,2010-11,36,12.3,54,3,0.0,72.8,15.6,6.76,FRA Ligue 1
15,Saint-Etienne,2010-11,46,12.7,64,2,49.5,76.5,10.7,6.75,FRA Ligue 1
16,Monaco,2010-11,40,11.6,75,4,0.0,72.0,13.1,6.75,FRA Ligue 1
17,Montpellier,2010-11,32,13.4,79,9,51.9,76.2,10.6,6.74,FRA Ligue 1
18,Nice,2010-11,33,10.9,79,4,47.6,76.9,9.4,6.74,FRA Ligue 1
19,Arles-Avignon,2010-11,21,9.9,68,8,0.0,71.1,13.4,6.63,FRA Ligue 1
0,Montpellier,2011-12,67,15.7,68,7,0.0,80.8,9.7,6.99,FRA Ligue 1
1,Paris Saint-Germain,2011-12,74,14,79,4,0.0,80.8,12.6,6.95,FRA Ligue 1
2,Lille,2011-12,72,14.7,66,4,0.0,83.1,10.8,6.92,FRA Ligue 1
3,Toulouse,2011-12,35,12.3,71,7,0.0,76.8,11,6.91,FRA Ligue 1
4,Marseille,2011-12,46,15.5,73,5,0.0,79.4,11.4,6.88,FRA Ligue 1
5,Rennes,2011-12,53,14.5,67,3,53.6,79.7,11.9,6.87,FRA Ligue 1
6,Bordeaux,2011-12,53,12.3,62,4,50.9,77.3,12.2,6.82,FRA Ligue 1
7,Saint-Etienne,2011-12,46,12.8,71,5,17.5,78.0,11.5,6.81,FRA Ligue 1
8,Lyon,2011-12,66,13.8,61,6,25.4,79.7,9.9,6.77,FRA Ligue 1
9,Brest,2011-12,31,11.1,73,5,21.2,74.6,10.8,6.77,FRA Ligue 1
10,Nancy,2011-12,38,11.7,60,2,0.0,73.4,11.7,6.76,FRA Ligue 1
11,Lorient,2011-12,36,11.6,66,4,23.6,80.2,8.1,6.75,FRA Ligue 1
12,Nice,2011-12,39,12.8,67,7,48.0,75.7,10.6,6.75,FRA Ligue 1
13,Auxerre,2011-12,46,11.8,85,5,0.0,73.1,13.1,6.73,FRA Ligue 1
14,Thonon Evian Grand Geneve,2011-12,53,10.3,82,6,0.0,74.4,9.4,6.70,FRA Ligue 1
15,Sochaux,2011-12,38,10.1,48,7,47.8,76.7,11.8,6.69,FRA Ligue 1
16,Caen,2011-12,39,11.1,69,6,46.7,71.7,9.3,6.69,FRA Ligue 1
17,Valenciennes,2011-12,40,13,67,4,0.0,74.3,10.5,6.67,FRA Ligue 1
18,Dijon,2011-12,38,10.6,80,7,0.0,65.2,14.4,6.66,FRA Ligue 1
19,AC Ajaccio,2011-12,40,9.6,92,9,0.0,72.8,10.2,6.64,FRA Ligue 1
0,Paris Saint-Germain,2012-13,69,13.5,71,10,0.0,85.4,13.3,7.07,FRA Ligue 1
1,Saint-Etienne,2012-13,57,12.5,56,4,0.0,80.1,15.3,6.92,FRA Ligue 1
2,Marseille,2012-13,42,13.7,50,7,0.0,80.9,13.8,6.89,FRA Ligue 1
3,Lyon,2012-13,59,12.4,64,6,0.0,81.1,12.5,6.88,FRA Ligue 1
4,Lorient,2012-13,56,12.7,52,7,0.0,78.6,12.9,6.86,FRA Ligue 1
