,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Bayern Munich,2009-10,70,14.6,44,1,0.0,83.6,6.5,7.06,GER Bundesliga
1,Werder Bremen,2009-10,70,15.6,52,2,0.0,78.4,7.2,7.06,GER Bundesliga
2,Bayer Leverkusen,2009-10,65,15.8,67,3,0.0,78.2,8.7,6.99,GER Bundesliga
3,Borussia Dortmund,2009-10,53,14.5,50,0,0.0,74.3,9.2,6.98,GER Bundesliga
4,Wolfsburg,2009-10,64,14.3,61,1,23.8,78.8,5.6,6.95,GER Bundesliga
5,Schalke 04,2009-10,54,12.1,60,1,0.0,75.0,7.8,6.95,GER Bundesliga
6,Hamburger SV,2009-10,55,14.3,56,3,0.0,79.6,5.7,6.88,GER Bundesliga
7,VfB Stuttgart,2009-10,50,14.5,71,2,0.0,77.3,8.8,6.87,GER Bundesliga
8,Hoffenheim,2009-10,44,13.5,65,3,0.0,76.8,7.2,6.83,GER Bundesliga
9,Mainz 05,2009-10,37,10.1,59,4,21.3,74.9,7,6.80,GER Bundesliga
10,Hertha Berlin,2009-10,34,12.8,57,2,0.0,74.7,8.3,6.79,GER Bundesliga
11,Eintracht Frankfurt,2009-10,50,12.1,62,5,0.0,77.5,9.4,6.77,GER Bundesliga
12,Borussia M.Gladbach,2009-10,39,13.2,48,1,0.0,75.8,7.6,6.74,GER Bundesliga
13,Nuernberg,2009-10,33,12.5,54,2,0.0,76.7,5.8,6.74,GER Bundesliga
14,FC Koln,2009-10,34,9.5,70,4,0.0,74.7,6.5,6.73,GER Bundesliga
15,Freiburg,2009-10,35,11.7,52,0,0.0,73.3,7.3,6.68,GER Bundesliga
16,Hannover 96,2009-10,45,12.2,64,3,0.0,75.1,4.9,6.68,GER Bundesliga
17,Bochum,2009-10,34,10.8,69,4,0.0,72.5,6.2,6.65,GER Bundesliga
0,Bayern Munich,2010-11,78,15,43,2,0.0,83.4,5.3,7.04,GER Bundesliga
1,Borussia Dortmund,2010-11,67,16.9,39,1,51.4,75.1,7.9,7.01,GER Bundesliga
2,Mainz 05,2010-11,52,12.4,54,1,0.0,74.1,8.8,6.94,GER Bundesliga
3,Bayer Leverkusen,2010-11,66,14,55,1,0.0,78.5,8.9,6.91,GER Bundesliga
4,Hamburger SV,2010-11,46,12.5,53,2,53.4,79.9,6.1,6.85,GER Bundesliga
5,VfB Stuttgart,2010-11,61,13.7,64,4,19.3,76.0,7.2,6.85,GER Bundesliga
6,Hoffenheim,2010-11,50,14.1,61,4,50.4,74.4,6.5,6.82,GER Bundesliga
7,Kaiserslautern,2010-11,49,13.5,59,4,0.0,72.1,9.4,6.79,GER Bundesliga
8,Werder Bremen,2010-11,46,13.5,67,4,0.0,75.9,8,6.76,GER Bundesliga
9,Schalke 04,2010-11,38,11.5,51,4,51.4,78.5,6.7,6.75,GER Bundesliga
10,Wolfsburg,2010-11,43,11.9,71,2,49.4,75.0,8,6.74,GER Bundesliga
11,Nuernberg,2010-11,46,13.5,63,3,0.0,72.6,9.2,6.72,GER Bundesliga
12,Eintracht Frankfurt,2010-11,31,11.4,73,3,50.6,75.8,8.6,6.70,GER Bundesliga
13,Borussia M.Gladbach,2010-11,48,12.8,50,8,44.9,71.1,10.7,6.69,GER Bundesliga
14,Hannover 96,2010-11,49,10.9,54,5,25.5,67.3,7.6,6.67,GER Bundesliga
15,FC Koln,2010-11,48,11.5,79,1,0.0,71.0,6.7,6.65,GER Bundesliga
16,Freiburg,2010-11,40,10.7,46,3,0.0,70.9,6.6,6.64,GER Bundesliga
17,St,2010-11,35,12.2,56,5,48.1,68.3,10.4,6.56,GER Bundesliga
0,Borussia Dortmund,2011-12,80,16.6,34,2,53.3,78.8,12.8,7.21,GER Bundesliga
1,Bayern Munich,2011-12,77,15.7,42,3,60.3,86.1,10.4,7.17,GER Bundesliga
2,Schalke 04,2011-12,75,13.7,63,2,0.0,78.9,13,7.13,GER Bundesliga
3,Borussia M.Gladbach,2011-12,49,13,49,1,54.2,80.5,13.4,7.05,GER Bundesliga
4,Werder Bremen,2011-12,49,14.9,65,5,50.8,78.7,9.1,7.02,GER Bundesliga
5,Bayer Leverkusen,2011-12,54,12.9,47,4,52.1,79.2,14.2,7.01,GER Bundesliga
6,VfB Stuttgart,2011-12,63,13.9,61,4,0.0,78.2,11.5,7.00,GER Bundesliga
7,Mainz 05,2011-12,47,12.6,49,2,48.9,74.2,11.7,6.90,GER Bundesliga
8,Freiburg,2011-12,45,12,57,1,0.0,75.2,11.2,6.85,GER Bundesliga
9,Hamburger SV,2011-12,35,13.2,64,2,52.0,78.5,12.5,6.84,GER Bundesliga
10,Wolfsburg,2011-12,44,12.4,63,4,0.0,70.9,14,6.82,GER Bundesliga
11,Hoffenheim,2011-12,41,13.4,70,3,50.0,77.8,10.7,6.82,GER Bundesliga
12,Augsburg,2011-12,36,11.4,67,2,0.0,72.3,11.8,6.82,GER Bundesliga
