,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Inter,2009-10,75,16.5,90,7,54.5,82.9,6.7,7.09,ITA Serie A
1,Roma,2009-10,68,16.2,90,3,50.5,79.7,8.7,7.07,ITA Serie A
2,AC Milan,2009-10,60,13.6,71,8,57.2,84.8,7.9,7.04,ITA Serie A
3,Napoli,2009-10,50,14.7,100,6,51.6,77.7,8.9,6.96,ITA Serie A
4,Udinese,2009-10,54,15,93,3,51.3,78.5,8.5,6.94,ITA Serie A
5,Palermo,2009-10,59,14.9,94,3,49.0,77.2,8.6,6.92,ITA Serie A
6,Cagliari,2009-10,56,10.9,82,7,0.0,74.1,12.3,6.91,ITA Serie A
7,Genoa,2009-10,57,11.1,99,8,51.5,78.3,10,6.91,ITA Serie A
8,Bari,2009-10,49,11.1,63,4,50.2,80.8,7.3,6.89,ITA Serie A
9,Lazio,2009-10,39,15.7,100,6,49.4,77.6,8,6.88,ITA Serie A
10,Parma Calcio 1913,2009-10,46,12.3,91,7,49.0,72.8,8.6,6.88,ITA Serie A
11,Sampdoria,2009-10,49,11.6,84,8,48.7,75.4,8.4,6.87,ITA Serie A
12,Juventus,2009-10,55,15.3,95,6,53.0,79.4,9.4,6.84,ITA Serie A
13,Chievo,2009-10,37,12,100,5,45.0,71.8,10.4,6.84,ITA Serie A
14,Catania,2009-10,44,11.6,96,7,46.6,73.7,9.5,6.84,ITA Serie A
15,Fiorentina,2009-10,48,16.6,81,6,50.8,75.7,8.5,6.83,ITA Serie A
16,Bologna,2009-10,42,10,72,3,46.1,75.0,9.1,6.78,ITA Serie A
17,Atalanta,2009-10,37,13.9,110,7,51.8,77.7,9.5,6.77,ITA Serie A
18,Siena,2009-10,40,13.2,100,5,48.5,76.0,9.5,6.74,ITA Serie A
19,Livorno,2009-10,27,13,88,8,0.0,77.5,8,6.70,ITA Serie A
0,AC Milan,2010-11,64,15.5,63,5,56.9,83.9,8,7.10,ITA Serie A
1,Inter,2010-11,68,17.3,56,3,0.0,85.2,6.7,7.05,ITA Serie A
2,Udinese,2010-11,68,14.7,72,7,0.0,78.6,9.7,6.97,ITA Serie A
3,Napoli,2010-11,59,13.7,93,5,0.0,79.5,10.1,6.94,ITA Serie A
4,Chievo,2010-11,38,13.4,92,4,0.0,74.7,12.3,6.90,ITA Serie A
5,Roma,2010-11,58,15.8,82,9,52.0,81.5,9.2,6.89,ITA Serie A
6,Juventus,2010-11,56,15.1,72,5,50.1,79.3,11.5,6.89,ITA Serie A
7,Lazio,2010-11,55,14.8,69,7,0.0,81.7,7.8,6.88,ITA Serie A
8,Palermo,2010-11,60,16.1,78,3,0.0,79.5,9.4,6.87,ITA Serie A
9,Genoa,2010-11,45,14.2,65,5,50.2,78.1,10.3,6.86,ITA Serie A
10,Cagliari,2010-11,41,12.8,76,0,0.0,75.2,10.8,6.82,ITA Serie A
11,Parma Calcio 1913,2010-11,42,12.4,85,7,49.3,78.3,8.1,6.81,ITA Serie A
12,Fiorentina,2010-11,48,14.3,70,5,0.0,79.6,8.5,6.77,ITA Serie A
13,Brescia,2010-11,35,13.1,94,5,0.0,79.3,7.5,6.77,ITA Serie A
14,Cesena,2010-11,39,12.2,79,8,0.0,76.7,9.7,6.77,ITA Serie A
15,Lecce,2010-11,45,12.3,81,9,0.0,72.6,10.5,6.76,ITA Serie A
16,Catania,2010-11,38,13.7,69,7,0.0,76.8,8.1,6.76,ITA Serie A
17,Sampdoria,2010-11,33,12,76,5,48.2,76.0,8.3,6.75,ITA Serie A
18,Bologna,2010-11,38,11.6,84,4,0.0,77.8,8.4,6.74,ITA Serie A
19,Bari,2010-11,28,11.1,72,7,0.0,80.4,9.1,6.68,ITA Serie A
0,Juventus,2011-12,68,19.2,69,4,58.1,85.4,10.1,7.15,ITA Serie A
1,AC Milan,2011-12,72,15.8,76,4,57.0,84.2,10.4,7.06,ITA Serie A
2,Udinese,2011-12,52,13.8,82,4,50.5,78.5,11.7,7.01,ITA Serie A
3,Napoli,2011-12,66,13.8,77,5,52.6,80.3,9.8,6.98,ITA Serie A
4,Inter,2011-12,57,15.8,61,4,0.0,82.7,9.8,6.97,ITA Serie A
5,Lazio,2011-12,56,13.2,75,9,49.3,79.3,12,6.92,ITA Serie A
6,Parma Calcio 1913,2011-12,54,13.7,80,2,47.9,76.8,12.4,6.91,ITA Serie A
7,Roma,2011-12,60,16.3,79,10,57.5,84.6,9.5,6.91,ITA Serie A
8,Bologna,2011-12,41,11.8,98,4,47.3,75.1,11,6.90,ITA Serie A
9,Fiorentina,2011-12,36,13.4,92,3,0.0,78.2,12.4,6.90,ITA Serie A
10,Cagliari,2011-12,37,12.7,79,2,50.2,79.8,12.8,6.90,ITA Serie A
11,Catania,2011-12,47,14.5,77,6,48.3,78.9,10.7,6.90,ITA Serie A
12,Chievo,2011-12,35,11.5,82,2,47.4,73.3,14.2,6.88,ITA Serie A
13,Lecce,2011-12,40,11.4,105,9,48.7,80.0,10.9,6.86,ITA Serie A
14,Atalanta,2011-12,41,10.9,97,4,49.4,78.5,11.7,6.84,ITA Serie A
15,Siena,2011-12,47,10.3,95,2,0.0,77.5,11.5,6.84,ITA Serie A
16,Genoa,2011-12,50,11.5,87,11,48.2,76.2,12.2,6.82,ITA Serie A
17,Palermo,2011-12,50,13.1,84,6,0.0,77.6,11.3,6.81,ITA Serie A
18,Novara,2011-12,35,12.4,77,6,46.7,75.8,14,6.79,ITA Serie A
19,Cesena,2011-12,24,12.1,96,10,45.4,77.7,13.4,6.74,ITA Serie A
0,Juventus,2012-13,71,18.4,77,1,28.6,85.8,12.6,7.14,ITA Serie A
1,Napoli,2012-13,74,15.2,90,1,25.6,83.0,15.5,7.10,ITA Serie A
