,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Feyenoord,2013-14,79,16.2,42,3,0.0,80.4,17.1,7.10,NED Eredivisie
1,Ajax,2013-14,67,16,31,1,59.9,85.7,13.7,7.09,NED Eredivisie
2,Vitesse,2013-14,68,18.2,61,1,58.1,84.2,15,7.02,NED Eredivisie
3,PSV Eindhoven,2013-14,59,16.7,43,2,55.3,83.3,12.8,6.99,NED Eredivisie
4,Twente,2013-14,70,17.5,50,2,54.8,84.7,12.2,6.98,NED Eredivisie
5,SC Heerenveen,2013-14,72,15.3,67,5,48.3,75.6,13.1,6.98,NED Eredivisie
6,AZ Alkmaar,2013-14,56,14.4,52,2,51.3,79.5,15.3,6.95,NED Eredivisie
7,FC Groningen,2013-14,64,12.9,68,9,23.6,76.7,11.9,6.88,NED Eredivisie
8,FC Utrecht,2013-14,45,11.5,48,6,0.0,76.9,13.4,6.81,NED Eredivisie
9,RKC Waalwijk,2013-14,43,11.4,45,6,43.9,75.5,12.7,6.80,NED Eredivisie
10,PEC Zwolle,2013-14,49,12.9,49,1,23.3,81.5,9.5,6.80,NED Eredivisie
11,NAC Breda,2013-14,45,11,56,2,46.7,75.6,13.9,6.78,NED Eredivisie
12,ADO Den Haag,2013-14,45,13.4,68,2,44.9,74.4,16.7,6.76,NED Eredivisie
13,Heracles,2013-14,45,15.2,64,5,49.2,75.6,13.3,6.76,NED Eredivisie
14,Cambuur,2013-14,37,12.2,55,4,49.7,75.4,11.6,6.75,NED Eredivisie
15,NEC Nijmegen,2013-14,57,13.3,55,7,44.0,70.8,19.1,6.74,NED Eredivisie
16,Roda,2013-14,45,11.6,62,10,21.5,78.9,13.1,6.72,NED Eredivisie
17,Go Ahead Eagles,2013-14,43,12,41,2,0.0,77.8,15.3,6.72,NED Eredivisie
0,PSV Eindhoven,2014-15,90,18.1,31,5,52.0,82.2,13.7,7.20,NED Eredivisie
1,Ajax,2014-15,64,13.6,37,1,54.5,83.0,16.6,7.09,NED Eredivisie
2,Vitesse,2014-15,75,19.3,69,2,56.0,81.5,14.8,7.03,NED Eredivisie
3,FC Utrecht,2014-15,62,14.8,56,4,50.8,78.1,20.6,6.95,NED Eredivisie
4,AZ Alkmaar,2014-15,62,14.1,50,1,48.7,74.6,16.4,6.94,NED Eredivisie
5,Feyenoord,2014-15,57,17.9,50,2,56.0,81.7,18.3,6.94,NED Eredivisie
6,SC Heerenveen,2014-15,61,13.1,65,5,49.7,75.4,14.8,6.92,NED Eredivisie
7,PEC Zwolle,2014-15,61,13.6,47,6,49.1,78.6,13.3,6.85,NED Eredivisie
8,Twente,2014-15,54,13.5,44,2,50.9,80.3,14.4,6.82,NED Eredivisie
9,Willem II,2014-15,46,12.3,45,2,49.0,76.2,19.4,6.81,NED Eredivisie
10,FC Groningen,2014-15,51,12.5,43,3,50.7,78.9,12,6.80,NED Eredivisie
11,ADO Den Haag,2014-15,48,12.5,60,4,46.7,74.6,17.8,6.77,NED Eredivisie
12,Heracles,2014-15,47,13.1,45,3,47.3,74.4,14.2,6.77,NED Eredivisie
13,Cambuur,2014-15,45,13.1,46,2,55.2,78.2,15.4,6.76,NED Eredivisie
14,NAC Breda,2014-15,37,12.6,61,3,44.7,73.9,14.1,6.75,NED Eredivisie
15,Excelsior,2014-15,46,10.5,36,3,42.6,71.9,15.6,6.73,NED Eredivisie
16,Go Ahead Eagles,2014-15,30,11.6,42,3,46.4,74.2,16.8,6.67,NED Eredivisie
17,FC Dordrecht,2014-15,25,10.4,43,6,48.7,72.8,19.4,6.63,NED Eredivisie
0,PSV Eindhoven,2015-16,88,18.1,50,1,53.8,82.2,16.9,7.15,NED Eredivisie
1,Ajax,2015-16,81,15.4,38,2,54.3,80.9,16.9,7.15,NED Eredivisie
2,Feyenoord,2015-16,62,15,55,2,54.4,79.8,16.6,6.95,NED Eredivisie
3,AZ Alkmaar,2015-16,71,16.1,45,3,49.3,75.3,13.1,6.93,NED Eredivisie
4,Vitesse,2015-16,55,14.9,44,3,56.2,81.7,13.5,6.91,NED Eredivisie
5,Heracles,2015-16,56,13.8,65,1,49.5,75.3,15.1,6.89,NED Eredivisie
6,FC Utrecht,2015-16,63,12.5,50,5,51.0,78.5,19.1,6.88,NED Eredivisie
7,Twente,2015-16,51,13.6,44,3,48.6,77.4,12.3,6.80,NED Eredivisie
8,ADO Den Haag,2015-16,48,11.2,64,2,47.3,74.8,16,6.79,NED Eredivisie
9,PEC Zwolle,2015-16,58,14.1,57,4,47.4,75.6,13.1,6.79,NED Eredivisie
10,NEC Nijmegen,2015-16,37,11.8,47,3,49.0,77.4,16.1,6.77,NED Eredivisie
11,SC Heerenveen,2015-16,46,13.1,65,3,50.5,75.8,17.2,6.75,NED Eredivisie
