,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,FC Porto,2016-17,71,16.6,65,4,57.2,81.2,16.5,7.07,POR Primeira Liga
1,Benfica,2016-17,72,16,57,2,59.5,82.9,12.2,7.02,POR Primeira Liga
2,Sporting CP,2016-17,68,12.4,81,3,59.4,82.6,14.8,6.93,POR Primeira Liga
3,Braga,2016-17,51,10.7,90,4,51.5,76.5,15.4,6.82,POR Primeira Liga
4,Rio Ave,2016-17,41,12.5,67,7,53.8,78.7,13.8,6.76,POR Primeira Liga
5,Vitoria de Guimaraes,2016-17,50,11.6,73,4,50.1,76.5,12,6.75,POR Primeira Liga
6,Maritimo,2016-17,34,11.5,80,1,47.3,72.0,12.8,6.73,POR Primeira Liga
7,Moreirense,2016-17,33,11.5,79,7,47.4,71.5,16.9,6.67,POR Primeira Liga
8,Boavista,2016-17,33,9.4,81,5,46.3,66.7,16.9,6.66,POR Primeira Liga
9,Estoril,2016-17,36,9.8,78,3,49.2,74.1,14.6,6.66,POR Primeira Liga
10,Chaves,2016-17,35,13.1,77,4,45.3,71.4,12.7,6.65,POR Primeira Liga
11,Vitoria de Setubal,2016-17,30,10.4,75,0,50.1,74.1,13.5,6.64,POR Primeira Liga
12,Pacos de Ferreira,2016-17,32,10.4,75,4,48.7,74.5,14.8,6.62,POR Primeira Liga
13,B-SAD,2016-17,27,11.7,79,4,48.7,73.5,17.1,6.58,POR Primeira Liga
14,Feirense,2016-17,31,8.9,93,6,44.2,66.8,14.2,6.54,POR Primeira Liga
15,Arouca,2016-17,33,9,83,5,47.6,71.2,15.1,6.54,POR Primeira Liga
16,Nacional,2016-17,22,12.5,84,8,48.2,71.7,12.7,6.53,POR Primeira Liga
17,Tondela,2016-17,29,10,83,9,45.4,66.8,14,6.52,POR Primeira Liga
0,FC Porto,2017-18,82,17.5,62,3,56.9,81.2,20.8,7.20,POR Primeira Liga
1,Benfica,2017-18,80,16.4,58,1,58.7,81.5,15,7.03,POR Primeira Liga
2,Sporting CP,2017-18,63,13.8,63,4,55.6,81.0,17.1,6.96,POR Primeira Liga
3,Braga,2017-18,74,14.8,76,1,52.9,79.4,14.1,6.95,POR Primeira Liga
4,Portimonense,2017-18,52,13.5,65,5,48.8,75.1,16.7,6.72,POR Primeira Liga
5,Aves,2017-18,36,11.7,73,3,46.2,71.5,16.1,6.68,POR Primeira Liga
6,Chaves,2017-18,47,12.2,57,3,53.1,81.7,12.8,6.66,POR Primeira Liga
7,Rio Ave,2017-18,40,11.5,80,7,57.6,80.6,12.7,6.65,POR Primeira Liga
8,Maritimo,2017-18,36,9.4,75,7,44.8,71.1,16.1,6.64,POR Primeira Liga
