,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Zenit St,2013-14,63,14.7,45,1,55.0,80.4,12.6,7.01,RUS Premier League
1,Lokomotiv Moscow,2013-14,49,13.6,54,5,53.0,77.9,17.6,6.97,RUS Premier League
2,FC Krasnodar,2013-14,46,14.1,62,3,49.9,74.2,16.7,6.87,RUS Premier League
3,CSKA Moscow,2013-14,48,14.6,38,2,51.6,79.1,9.5,6.86,RUS Premier League
4,Rubin Kazan,2013-14,36,13.6,60,4,50.2,78.0,13.4,6.84,RUS Premier League
5,FK Akhmat,2013-14,27,12.9,69,3,50.4,75.5,16.3,6.82,RUS Premier League
6,Spartak Moscow,2013-14,46,12.9,66,2,57.4,79.1,9.8,6.81,RUS Premier League
7,Kuban Krasnodar,2013-14,40,13.2,41,6,48.1,73.3,14.5,6.81,RUS Premier League
8,Dinamo Moscow,2013-14,51,13.8,56,3,52.6,78.3,14.4,6.80,RUS Premier League
9,FC Rostov,2013-14,40,10.5,59,6,49.6,73.6,15.1,6.77,RUS Premier League
10,Krylya Sovetov Samara,2013-14,27,10.8,53,1,47.8,72.9,12.6,6.73,RUS Premier League
11,Amkar-Perm,2013-14,36,10.9,64,4,50.2,71.0,17.2,6.73,RUS Premier League
12,Anzhi Makhachkala,2013-14,25,12,51,2,46.4,73.6,12.1,6.67,RUS Premier League
13,Tom Tomsk,2013-14,23,11.6,63,6,43.9,66.5,16.2,6.66,RUS Premier League
14,Ural,2013-14,28,11.6,55,5,46.5,75.5,12.6,6.66,RUS Premier League
15,Volga Nyzhny,2013-14,25,10.9,75,6,47.6,72.1,13.7,6.57,RUS Premier League
0,CSKA Moscow,2014-15,67,15.9,40,1,55.3,80.7,12.5,7.02,RUS Premier League
1,Zenit St,2014-15,58,14.3,57,2,55.8,81.3,14,7.00,RUS Premier League
2,FC Krasnodar,2014-15,52,12.2,59,0,54.0,78.3,13.2,6.94,RUS Premier League
3,Dinamo Moscow,2014-15,53,14.2,63,2,54.4,79.0,15.6,6.92,RUS Premier League
4,Rubin Kazan,2014-15,39,14.6,76,0,49.3,73.3,20.3,6.92,RUS Premier League
5,Lokomotiv Moscow,2014-15,27,10.7,68,6,51.4,77.6,15.4,6.80,RUS Premier League
