,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Rangers,2020-21,92,15.9,37,0,61.8,85.1,18.1,7.02,SCO Premiership
1,Celtic,2020-21,78,17.8,32,3,62.1,85.3,18.1,6.90,SCO Premiership
2,Hibernian,2020-21,48,11.5,57,1,49.3,71.3,27.9,6.78,SCO Premiership
3,Aberdeen,2020-21,36,11.3,43,3,50.5,72.8,26.8,6.66,SCO Premiership
4,Dundee United,2020-21,29,9.5,63,1,47.2,66.2,24.2,6.64,SCO Premiership
5,St,2020-21,36,12.2,53,5,46.0,65.9,31.1,6.63,SCO Premiership
6,Motherwell,2020-21,32,10.7,49,4,47.1,69.0,27,6.60,SCO Premiership
7,St,2020-21,30,11.7,51,5,47.7,67.4,25.8,6.59,SCO Premiership
8,Livingston,2020-21,42,9.7,65,1,47.5,61.9,28.6,6.57,SCO Premiership
9,Hamilton Academical,2020-21,31,8.5,52,2,42.6,60.1,27,6.56,SCO Premiership
10,Kilmarnock,2020-21,33,10.3,50,6,47.4,68.6,25.6,6.54,SCO Premiership
11,Ross County,2020-21,26,9.6,63,5,48.2,70.2,24.6,6.49,SCO Premiership
0,Celtic,2021-22,78,20.4,40,2,69.8,87.4,16.5,7.00,SCO Premiership
1,Rangers,2021-22,67,19.4,52,1,64.2,84.4,17.4,6.93,SCO Premiership
2,St,2021-22,3,10.6,10,0,42.2,61.4,26.6,6.78,SCO Premiership
3,Hearts,2021-22,48,13.2,57,3,55.5,76.2,21.5,6.76,SCO Premiership
4,Hibernian,2021-22,7,14.4,8,0,55.7,78.3,14.8,6.71,SCO Premiership
5,Livingston,2021-22,6,11.2,10,0,47.0,71.3,19.8,6.68,SCO Premiership
6,Dundee United,2021-22,31,10.3,72,2,45.9,69.1,21.7,6.66,SCO Premiership
7,Aberdeen,2021-22,3,14.4,8,1,60.8,81.6,17.4,6.61,SCO Premiership
8,Ross County,2021-22,45,9.5,78,3,41.0,65.1,24,6.61,SCO Premiership
9,Dundee FC,2021-22,5,13.2,7,0,43.0,66.0,19.2,6.59,SCO Premiership
10,Motherwell,2021-22,38,10.7,73,4,41.8,61.3,26.8,6.59,SCO Premiership
11,St,2021-22,3,10.2,12,0,50.2,70.4,27.4,6.55,SCO Premiership
