,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Fenerbahce,2014-15,60,18.1,82,8,57.1,81.5,13.4,6.94,TUR Süper Lig
1,Galatasaray,2014-15,60,16.1,78,1,54.6,81.4,11.7,6.92,TUR Süper Lig
2,Bursaspor,2014-15,69,16.6,85,9,52.7,78.2,13.5,6.91,TUR Süper Lig
3,Besiktas,2014-15,55,13.4,71,10,54.1,80.8,11.9,6.83,TUR Süper Lig
4,Istanbul Basaksehir,2014-15,48,14.6,78,3,46.4,74.8,11.6,6.81,TUR Süper Lig
5,Trabzonspor,2014-15,59,14.8,108,1,51.4,77.2,13.3,6.79,TUR Süper Lig
6,Konyaspor,2014-15,30,12.2,73,3,49.0,75.8,13.8,6.74,TUR Süper Lig
7,Sivasspor,2014-15,43,13.2,69,4,52.2,78.7,12.3,6.73,TUR Süper Lig
8,Yeni Mersin Idmanyurdu,2014-15,54,12.8,81,6,49.1,74.0,14.6,6.72,TUR Süper Lig
9,Eskisehirspor,2014-15,44,11.8,72,1,47.9,77.0,10,6.70,TUR Süper Lig
10,Genclerbirligi,2014-15,46,10.1,92,8,47.7,76.2,10.5,6.68,TUR Süper Lig
11,Akhisarspor,2014-15,42,11.3,98,5,49.4,78.2,14.9,6.68,TUR Süper Lig
12,Balikesirspor,2014-15,50,10.4,68,2,43.3,71.6,10.6,6.67,TUR Süper Lig
13,Rizespor,2014-15,40,12.1,69,5,46.7,77.1,11.1,6.65,TUR Süper Lig
14,Kasimpasa,2014-15,56,14.6,81,6,48.8,76.4,12.5,6.64,TUR Süper Lig
15,Gaziantepspor,2014-15,31,10.8,80,5,48.2,73.2,13.6,6.63,TUR Süper Lig
16,Kayseri Erciyesspor,2014-15,43,11.6,93,4,49.9,76.7,13.1,6.63,TUR Süper Lig
17,Karabukspor,2014-15,44,12.7,87,5,51.7,78.6,11.3,6.56,TUR Süper Lig
0,Besiktas,2015-16,75,14.9,63,2,55.9,81.8,13.1,6.99,TUR Süper Lig
1,Fenerbahce,2015-16,60,15.9,78,1,54.2,79.3,19,6.99,TUR Süper Lig
2,Ankaraspor,2015-16,51,13.8,75,4,47.2,72.3,15,6.85,TUR Süper Lig
3,Galatasaray,2015-16,69,13.9,87,5,55.2,82.4,12.1,6.82,TUR Süper Lig
4,Istanbul Basaksehir,2015-16,54,12.3,76,2,50.4,76.9,13.9,6.82,TUR Süper Lig
5,Kasimpasa,2015-16,52,14.2,67,5,50.4,76.2,17.4,6.81,TUR Süper Lig
6,Konyaspor,2015-16,44,9.4,69,1,49.8,74.9,16.2,6.77,TUR Süper Lig
7,Genclerbirligi,2015-16,42,11.4,74,0,47.5,74.8,16.1,6.75,TUR Süper Lig
8,Antalyaspor,2015-16,54,11.6,80,6,50.7,78.4,10.8,6.74,TUR Süper Lig
9,Akhisarspor,2015-16,42,9.6,78,3,49.1,73.6,17.6,6.73,TUR Süper Lig
10,Bursaspor,2015-16,47,12.5,89,8,50.0,75.9,14.8,6.70,TUR Süper Lig
11,Rizespor,2015-16,39,10.3,84,3,46.9,75.5,13.7,6.69,TUR Süper Lig
12,Gaziantepspor,2015-16,31,10.3,70,8,48.5,72.3,14.9,6.66,TUR Süper Lig
13,Trabzonspor,2015-16,41,12,97,12,50.0,79.3,13.3,6.66,TUR Süper Lig
14,Sivasspor,2015-16,34,12.9,77,9,49.9,74.9,13.7,6.65,TUR Süper Lig
15,Kayserispor,2015-16,25,13.2,83,8,48.2,74.7,13.3,6.59,TUR Süper Lig
16,Eskisehirspor,2015-16,40,11.6,91,6,47.5,76.5,12.6,6.59,TUR Süper Lig
