,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Real Madrid,2009-10,16,20.3,22,0,56.3,82.2,8.6,7.19,UEFA Champions League
1,Fiorentina,2009-10,18,12.6,15,2,46.0,69.4,7.9,7.17,UEFA Champions League
2,Manchester United,2009-10,21,16.2,11,2,51.8,81.6,6.1,7.15,UEFA Champions League
3,Barcelona,2009-10,19,17.2,17,1,65.5,89.2,5,7.15,UEFA Champions League
4,FC Porto,2009-10,8,21,8,2,48.2,79.7,7.7,7.11,UEFA Champions League
5,Bordeaux,2009-10,13,14.9,8,1,52.2,78.1,10.4,7.11,UEFA Champions League
6,Arsenal,2009-10,20,15.1,18,0,53.0,82.5,8.1,7.10,UEFA Champions League
7,Chelsea,2009-10,12,16.4,14,1,54.6,81.6,8.3,7.10,UEFA Champions League
8,Lyon,2009-10,17,13.8,23,2,47.7,73.9,10.8,7.04,UEFA Champions League
9,Marseille,2009-10,10,14.2,10,2,49.7,77.4,10.2,7.03,UEFA Champions League
10,Standard Liege,2009-10,7,11.8,13,1,41.4,70.6,9.3,6.99,UEFA Champions League
11,Sevilla,2009-10,13,13.8,9,0,54.6,82.0,9.3,6.98,UEFA Champions League
12,Inter,2009-10,17,12.5,30,2,44.6,76.1,6.3,6.96,UEFA Champions League
13,Bayern Munich,2009-10,20,15.8,21,3,57.2,82.3,8.8,6.95,UEFA Champions League
14,Dynamo Kyiv,2009-10,7,12,15,0,41.7,71.4,4.8,6.95,UEFA Champions League
15,CSKA Moscow,2009-10,12,11.1,19,2,47.2,77.4,5.8,6.93,UEFA Champions League
16,Liverpool,2009-10,5,15.5,3,0,57.8,79.7,13.2,6.90,UEFA Champions League
17,Juventus,2009-10,4,12.8,10,0,49.5,77.9,8.5,6.89,UEFA Champions League
18,Rubin Kazan,2009-10,4,8.2,12,0,44.1,73.9,6,6.88,UEFA Champions League
19,AC Milan,2009-10,10,12.8,17,0,51.8,80.1,8.3,6.86,UEFA Champions League
20,Olympiacos,2009-10,5,12.9,13,2,48.4,77.5,8.7,6.83,UEFA Champions League
21,Wolfsburg,2009-10,9,15.7,3,1,46.5,77.1,4.5,6.78,UEFA Champions League
22,AZ Alkmaar,2009-10,4,11.2,9,0,52.9,81.7,7.7,6.77,UEFA Champions League
23,VfB Stuttgart,2009-10,9,17,11,0,52.6,80.9,7.3,6.75,UEFA Champions League
24,APOEL Nicosia,2009-10,4,6.5,12,0,44.6,74.3,4.7,6.75,UEFA Champions League
25,Unirea Urziceni,2009-10,8,10,15,0,43.7,69.6,8,6.73,UEFA Champions League
26,Besiktas,2009-10,3,12.8,14,0,49.5,75.7,6.3,6.72,UEFA Champions League
27,Atletico Madrid,2009-10,3,17.5,12,0,52.3,79.5,5.2,6.65,UEFA Champions League
28,Maccabi Haifa,2009-10,0,11,13,2,44.1,74.3,5.3,6.59,UEFA Champions League
29,Rangers,2009-10,4,9.7,11,0,47.4,77.2,8.7,6.54,UEFA Champions League
30,FC Zuerich,2009-10,5,8.8,14,1,44.0,78.8,6.7,6.53,UEFA Champions League
31,Debrecen,2009-10,5,12.2,7,0,40.1,69.9,5.3,6.46,UEFA Champions League
0,Bayern Munich,2010-11,19,18.5,17,0,59.1,88.4,3.6,7.26,UEFA Champions League
1,Barcelona,2010-11,31,17.3,15,1,67.9,90.7,6.5,7.22,UEFA Champions League
2,Real Madrid,2010-11,25,18.8,28,3,53.9,84.1,9.5,7.16,UEFA Champions League
3,Marseille,2010-11,13,17.4,11,0,52.4,79.3,14.9,7.09,UEFA Champions League
4,Chelsea,2010-11,17,19.8,14,1,50.7,82.1,11.6,7.06,UEFA Champions League
5,Manchester United,2010-11,20,12.6,14,0,52.5,81.4,8.7,7.04,UEFA Champions League
6,Valencia,2010-11,17,16.4,11,0,56.8,83.0,10.8,7.04,UEFA Champions League
7,Arsenal,2010-11,21,11,14,2,53.1,84.6,9.3,7.00,UEFA Champions League
8,Schalke 04,2010-11,21,11.9,27,2,45.2,77.2,6.1,7.00,UEFA Champions League
9,Tottenham,2010-11,19,11.2,9,3,46.0,79.9,8.8,6.92,UEFA Champions League
10,Hapoel Tel Aviv,2010-11,7,9,14,0,46.9,80.0,6.5,6.88,UEFA Champions League
11,Shakhtar Donetsk,2010-11,19,10.8,24,0,48.7,79.4,6.3,6.88,UEFA Champions League
12,Rangers,2010-11,3,8.7,10,0,40.3,73.5,9,6.84,UEFA Champions League
13,Lyon,2010-11,12,16.8,15,0,54.7,80.8,7.9,6.83,UEFA Champions League
14,Ajax,2010-11,6,13.2,10,1,50.9,81.0,5.3,6.82,UEFA Champions League
15,AC Milan,2010-11,7,11.3,23,0,50.9,81.1,7.4,6.81,UEFA Champions League
16,FC Copenhagen,2010-11,7,10.5,12,0,48.5,81.4,8.8,6.80,UEFA Champions League
17,Inter,2010-11,19,17.1,18,1,52.3,84.0,6.7,6.80,UEFA Champions League
18,Twente,2010-11,9,15.5,10,0,49.2,79.8,8,6.79,UEFA Champions League
19,Roma,2010-11,12,15.8,14,1,48.6,81.5,8.4,6.78,UEFA Champions League
20,Spartak Moscow,2010-11,7,13,7,2,53.5,80.8,9.3,6.78,UEFA Champions League
21,Werder Bremen,2010-11,6,16.5,9,1,49.8,81.4,7.3,6.76,UEFA Champions League
22,Rubin Kazan,2010-11,2,10.7,10,0,41.8,72.5,6.7,6.71,UEFA Champions League
23,CFR Cluj,2010-11,6,11.5,12,1,38.3,75.3,5.7,6.67,UEFA Champions League
24,FC Basel 1893,2010-11,8,15.7,7,1,52.2,83.9,4.8,6.65,UEFA Champions League
25,Benfica,2010-11,7,16,12,1,47.9,77.1,7.5,6.64,UEFA Champions League
26,Braga,2010-11,5,11.5,11,0,42.6,71.3,5.8,6.61,UEFA Champions League
27,Partizan Belgrade,2010-11,2,11.2,9,1,44.7,73.5,8.3,6.51,UEFA Champions League
28,Auxerre,2010-11,3,12.2,8,2,41.8,75.4,8.2,6.48,UEFA Champions League
29,Panathinaikos,2010-11,2,8,11,1,40.4,79.4,7,6.46,UEFA Champions League
30,Zilina,2010-11,3,12.5,9,0,41.1,75.0,7,6.42,UEFA Champions League
31,Bursaspor,2010-11,2,11.3,9,0,48.2,80.5,7.5,6.36,UEFA Champions League
0,Chelsea,2011-12,25,14.8,31,1,47.6,82.5,8.7,7.19,UEFA Champions League
1,Real Madrid,2011-12,35,19.1,22,1,56.1,85.9,7.6,7.15,UEFA Champions League
2,Barcelona,2011-12,35,19.5,17,0,68.2,90.5,5.4,7.15,UEFA Champions League
3,Bayern Munich,2011-12,27,19.1,27,1,55.1,86.2,7,7.13,UEFA Champions League
4,Valencia,2011-12,12,16.7,11,0,58.5,85.1,7.8,7.04,UEFA Champions League
5,Manchester United,2011-12,11,14.5,8,1,59.2,84.5,10.5,7.00,UEFA Champions League
6,Lyon,2011-12,10,17.8,15,0,50.9,82.1,8.9,7.00,UEFA Champions League
7,Ajax,2011-12,6,17,6,0,55.0,87.1,6.8,6.95,UEFA Champions League
8,Marseille,2011-12,9,11.4,19,3,48.7,76.9,12.7,6.92,UEFA Champions League
9,Olympiacos,2011-12,8,13.2,11,0,46.0,73.5,14.8,6.92,UEFA Champions League
10,Zenit St,2011-12,10,15.4,16,1,52.5,75.9,6.9,6.91,UEFA Champions League
11,Inter,2011-12,10,12.5,16,0,46.9,77.6,8.4,6.88,UEFA Champions League
12,Napoli,2011-12,14,12.1,19,1,41.7,76.3,6,6.88,UEFA Champions League
13,Arsenal,2011-12,10,9.1,17,0,53.3,79.7,11.9,6.85,UEFA Champions League
14,Trabzonspor,2011-12,3,10.2,15,0,49.6,78.9,8,6.85,UEFA Champions League
15,AC Milan,2011-12,16,13.8,24,1,48.5,79.8,6.1,6.83,UEFA Champions League
16,Benfica,2011-12,13,15.7,23,2,48.6,78.2,10.2,6.83,UEFA Champions League
17,FC Porto,2011-12,7,21.3,17,1,53.0,78.1,8.3,6.82,UEFA Champions League
18,CSKA Moscow,2011-12,11,11.1,14,1,46.2,76.4,5.9,6.82,UEFA Champions League
