,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Bayer Leverkusen,2012-13,10,19.9,14,0,28.5,82.6,14,7.30,UEFA Europa League
1,Lazio,2012-13,20,15.7,27,2,49.0,80.5,17.6,7.08,UEFA Europa League
2,Rubin Kazan,2012-13,18,14.3,21,3,0.0,80.1,14.3,7.07,UEFA Europa League
3,Inter,2012-13,19,13.3,20,0,48.4,81.2,12.2,7.04,UEFA Europa League
4,Zenit St,2012-13,4,17.3,8,1,52.4,79.3,13,7.01,UEFA Europa League
5,Metalist Kharkiv,2012-13,9,12.4,9,0,0.0,82.1,8.9,7.01,UEFA Europa League
6,Chelsea,2012-13,17,16.3,15,0,48.9,77.8,17.6,7.00,UEFA Europa League
7,Anzhi Makhachkala,2012-13,10,12.3,18,2,0.0,80.2,11.4,7.00,UEFA Europa League
8,Borussia M.Gladbach,2012-13,14,13.3,13,0,0.0,79.2,21,6.99,UEFA Europa League
9,Levante,2012-13,14,13.6,21,1,0.0,72.5,16.8,6.97,UEFA Europa League
10,Fenerbahce,2012-13,18,12,32,1,0.0,79.1,12.6,6.95,UEFA Europa League
11,VfB Stuttgart,2012-13,13,17,20,0,0.0,82.6,11.6,6.93,UEFA Europa League
12,Atletico Madrid,2012-13,8,17.1,15,1,0.0,81.6,19.8,6.92,UEFA Europa League
13,PSV Eindhoven,2012-13,8,16,12,0,60.6,83.7,10.7,6.92,UEFA Europa League
14,Bordeaux,2012-13,14,11.7,16,0,49.6,77.7,15.6,6.92,UEFA Europa League
15,FC Basel 1893,2012-13,19,14.1,34,3,0.0,80.1,11.2,6.91,UEFA Europa League
16,Tottenham,2012-13,19,12.7,22,1,55.2,84.4,11.4,6.90,UEFA Europa League
17,Athletic Bilbao,2012-13,7,16,13,0,67.2,84.2,14.3,6.89,UEFA Europa League
18,Hannover 96,2012-13,12,12.1,22,1,0.0,77.2,19.1,6.88,UEFA Europa League
19,Rosenborg,2012-13,7,9,10,0,20.7,77.0,9.5,6.87,UEFA Europa League
20,Viktoria Plzen,2012-13,17,9.9,19,0,0.0,78.7,10.9,6.87,UEFA Europa League
21,Newcastle,2012-13,11,10.7,27,0,51.2,82.3,13.3,6.86,UEFA Europa League
22,Genk,2012-13,10,9.1,12,0,0.0,78.5,11.1,6.86,UEFA Europa League
23,Lyon,2012-13,16,15.6,15,0,56.9,79.1,12.4,6.86,UEFA Europa League
24,FC FCSB,2012-13,12,13.7,17,2,0.0,79.0,10.8,6.85,UEFA Europa League
25,Liverpool,2012-13,14,14.5,11,0,0.0,86.4,9.4,6.83,UEFA Europa League
26,Marseille,2012-13,9,15,15,0,0.0,82.7,13.8,6.83,UEFA Europa League
27,Ajax,2012-13,2,10,4,0,59.8,83.9,6,6.82,UEFA Europa League
28,Benfica,2012-13,15,11.8,23,0,50.2,76.6,14.9,6.81,UEFA Europa League
29,Molde,2012-13,6,12.3,7,0,0.0,78.2,9,6.81,UEFA Europa League
30,Dnipro,2012-13,17,14,18,2,47.2,74.9,9.9,6.80,UEFA Europa League
31,FK Neftchi,2012-13,4,11.2,14,0,0.0,79.1,10.8,6.78,UEFA Europa League
32,FC Copenhagen,2012-13,6,10.3,6,0,0.0,81.8,13.5,6.76,UEFA Europa League
33,Maritimo,2012-13,4,13.5,10,0,47.8,77.8,12.3,6.75,UEFA Europa League
34,Sparta Prague,2012-13,10,11.8,17,0,23.9,76.2,10.3,6.72,UEFA Europa League
35,BSC Young Boys,2012-13,15,14,14,0,0.0,79.4,10.8,6.71,UEFA Europa League
36,Napoli,2012-13,12,14.3,24,2,0.0,79.3,18,6.70,UEFA Europa League
37,Twente,2012-13,6,14.3,9,1,0.0,86.3,13.8,6.69,UEFA Europa League
38,Club Bruges,2012-13,6,11.8,13,0,50.4,81.4,12.5,6.69,UEFA Europa League
39,Dynamo Kyiv,2012-13,1,17.5,5,0,59.9,81.6,20,6.69,UEFA Europa League
40,Academica,2012-13,6,12.5,16,0,0.0,73.4,10.3,6.69,UEFA Europa League
41,BATE Borisov,2012-13,0,13,5,1,52.2,79.3,16,6.68,UEFA Europa League
42,Udinese,2012-13,7,13.2,16,2,0.0,75.7,13.3,6.66,UEFA Europa League
43,Sporting CP,2012-13,4,16.5,14,3,0.0,84.9,8,6.65,UEFA Europa League
44,Partizan Belgrade,2012-13,3,12.8,17,1,0.0,81.0,12.5,6.65,UEFA Europa League
45,Fehervar FC,2012-13,5,9.7,9,2,0.0,72.6,7.3,6.65,UEFA Europa League
46,AEL Limassol,2012-13,4,11.8,16,2,0.0,76.4,14.3,6.65,UEFA Europa League
47,Helsingborg,2012-13,9,12.3,7,2,0.0,71.5,13.2,6.62,UEFA Europa League
48,Maribor,2012-13,6,10.8,8,2,45.6,79.7,6.7,6.60,UEFA Europa League
49,Panathinaikos,2012-13,4,9,7,1,46.8,83.8,9.2,6.60,UEFA Europa League
50,Hapoel Tel Aviv,2012-13,4,8.5,11,2,0.0,84.3,7.8,6.59,UEFA Europa League
51,Rapid Wien,2012-13,4,14.7,6,2,0.0,79.0,8.8,6.58,UEFA Europa League
52,AIK,2012-13,5,10.5,14,0,0.0,74.5,13.2,6.58,UEFA Europa League
53,Hapoel Ironi Kiryat Shmona,2012-13,6,8.3,17,0,39.5,74.7,6.8,6.54,UEFA Europa League
54,Olympiacos,2012-13,0,12.5,11,1,60.0,83.3,12.5,6.42,UEFA Europa League
