,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Spain,2011-12,12,16.7,11,0,62.2,88.0,8.2,7.24,UEFA European Championship
1,Russia,2011-12,5,19.7,6,0,56.9,83.9,6.7,6.93,UEFA European Championship
2,England,2011-12,5,10,5,0,42.2,79.4,7.5,6.93,UEFA European Championship
3,Germany,2011-12,10,16,4,0,56.6,87.4,7.4,6.86,UEFA European Championship
4,Italy,2011-12,6,18.3,16,0,52.2,83.8,5.3,6.83,UEFA European Championship
5,Portugal,2011-12,6,16.4,12,0,45.1,76.9,8.6,6.79,UEFA European Championship
6,Croatia,2011-12,4,10.7,9,0,44.4,76.0,8.7,6.78,UEFA European Championship
7,Denmark,2011-12,4,9,4,0,48.1,82.7,5,6.75,UEFA European Championship
8,Sweden,2011-12,5,13,7,0,46.9,79.8,9.3,6.73,UEFA European Championship
9,Poland,2011-12,2,16,7,1,46.8,79.4,5,6.70,UEFA European Championship
10,France,2011-12,3,16.3,6,0,52.6,87.1,6,6.68,UEFA European Championship
11,Netherlands,2011-12,2,20,5,0,55.1,88.6,5.3,6.58,UEFA European Championship
12,Greece,2011-12,5,8,9,1,42.4,75.7,9,6.56,UEFA European Championship
13,Czech Republic,2011-12,4,9.8,7,0,48.2,77.4,7.8,6.55,UEFA European Championship
14,Ukraine,2011-12,2,12.7,5,0,52.4,81.0,7.7,6.55,UEFA European Championship
15,Ireland,2011-12,1,9.3,6,1,38.1,70.4,9.3,6.26,UEFA European Championship
0,France,2015-16,13,17.7,13,0,54.3,85.4,21.1,7.11,UEFA European Championship
1,Germany,2015-16,7,18.8,11,0,63.0,87.7,15.2,7.04,UEFA European Championship
2,Belgium,2015-16,9,19,9,0,52.1,83.9,14.8,7.03,UEFA European Championship
3,Poland,2015-16,4,13.6,11,0,46.9,78.7,19.6,6.95,UEFA European Championship
4,Croatia,2015-16,5,16.5,8,0,49.8,79.0,22.5,6.94,UEFA European Championship
5,Wales,2015-16,10,11.5,11,0,48.7,79.3,18.2,6.93,UEFA European Championship
6,Portugal,2015-16,9,17.6,13,0,51.5,83.7,15.7,6.92,UEFA European Championship
7,Switzerland,2015-16,3,17.3,6,0,56.9,85.8,16,6.87,UEFA European Championship
8,England,2015-16,4,20.5,3,0,59.1,85.6,24.5,6.85,UEFA European Championship
9,Italy,2015-16,6,9.6,18,0,46.0,78.9,13.8,6.80,UEFA European Championship
10,Spain,2015-16,5,16.3,5,0,61.9,89.0,10.8,6.72,UEFA European Championship
11,Slovakia,2015-16,3,8.3,9,0,45.5,79.2,17.3,6.72,UEFA European Championship
12,Iceland,2015-16,8,8.4,12,0,36.1,67.6,21,6.68,UEFA European Championship
13,Hungary,2015-16,6,12.8,12,0,51.9,81.3,14.3,6.62,UEFA European Championship
14,Northern Ireland,2015-16,2,5.5,6,0,36.9,62.6,20,6.62,UEFA European Championship
15,Austria,2015-16,1,13.7,5,1,52.8,78.7,19.7,6.59,UEFA European Championship
16,Romania,2015-16,2,13.3,10,0,45.1,73.0,11.7,6.57,UEFA European Championship
17,Albania,2015-16,1,9.7,8,1,42.5,77.1,14.7,6.56,UEFA European Championship
18,Turkiye,2015-16,2,8.7,7,0,46.4,76.9,16,6.53,UEFA European Championship
19,Ireland,2015-16,3,9.3,8,1,43.2,69.7,17.5,6.49,UEFA European Championship
20,Czech Republic,2015-16,2,8.3,5,0,43.5,71.4,18.3,6.49,UEFA European Championship
21,Sweden,2015-16,1,7.7,4,0,52.2,76.8,21,6.48,UEFA European Championship
22,Ukraine,2015-16,0,13,5,0,53.5,79.7,14.7,6.45,UEFA European Championship
